organism_full,x_year,icu,in,out
Acinetobacter baumannii,2015,15.296,79.952,3.849
Acinetobacter baumannii,2016,19.72,73.371,4.837
Acinetobacter baumannii,2017,20.253,72.71,4.062
Acinetobacter baumannii,2018,27.82,64.383,5.119
Acinetobacter baumannii,2019,26.945,66.03,4.671
Acinetobacter baumannii,2020,24.785,66.778,4.768
Acinetobacter baumannii,2021,25.55,66.663,4.848
Acinetobacter baumannii,2022,24.989,64.733,5.884
Acinetobacter baumannii,2023,28.801,62.706,5.952
Acinetobacter baumannii,2024,24.472,66.537,5.441
