organism_full,x_year,icu,in,out
Enterococcus faecalis,2015,5.874,80.135,11.232
Enterococcus faecalis,2016,8.105,75.169,12.15
Enterococcus faecalis,2017,6.63,76.06,10.549
Enterococcus faecalis,2018,11.702,70.079,13.249
Enterococcus faecalis,2019,9.199,75.117,11.836
Enterococcus faecalis,2020,8.421,73.864,12.22
Enterococcus faecalis,2021,8.908,73.146,12.862
Enterococcus faecalis,2022,9.208,71.414,13.622
Enterococcus faecalis,2023,10.694,69.801,15.291
Enterococcus faecalis,2024,9.254,68.984,15.765
