organism_full,x_year,icu,in,out
Klebsiella pneumoniae ,2015,8.579,79.774,9.266
Klebsiella pneumoniae ,2016,10.981,72.771,12.366
Klebsiella pneumoniae ,2017,10.197,73.003,11.757
Klebsiella pneumoniae ,2018,16.583,63.454,15.433
Klebsiella pneumoniae ,2019,15.901,67.017,13.723
Klebsiella pneumoniae ,2020,14.224,65.768,13.981
Klebsiella pneumoniae ,2021,15.549,65.354,13.967
Klebsiella pneumoniae ,2022,15.54,64.32,14.905
Klebsiella pneumoniae ,2023,16.413,62.983,15.785
Klebsiella pneumoniae ,2024,14.287,61.907,17.856
