organism_full,x_year,icu,in,out
Staphylococcus aureus,2015,6.567,78.63,11.561
Staphylococcus aureus,2016,8.827,69.572,17.215
Staphylococcus aureus,2017,7.593,69.936,15.895
Staphylococcus aureus,2018,10.528,61.024,22.333
Staphylococcus aureus,2019,10.074,67.342,18.035
Staphylococcus aureus,2020,9.415,64.756,18.387
Staphylococcus aureus,2021,9.966,64.132,18.608
Staphylococcus aureus,2022,9.954,60.832,20.598
Staphylococcus aureus,2023,10.513,61.804,20.844
Staphylococcus aureus,2024,9.734,59.661,22.439
