year,month,resistant_drug_name,drug_count,total_records_in_month,percentage,organism_full
2015,1,ceftazidime,646,5988,10.79,Acinetobacter baumannii
2015,1,ciprofloxacin,638,5988,10.65,Acinetobacter baumannii
2015,1,meropenem,620,5988,10.35,Acinetobacter baumannii
2015,1,gentamicin,592,5988,9.89,Acinetobacter baumannii
2015,1,piperacillin/tazobactam,537,5988,8.97,Acinetobacter baumannii
2015,1,amikacin,530,5988,8.85,Acinetobacter baumannii
2015,1,trimethoprim/sulfamethoxazole,511,5988,8.53,Acinetobacter baumannii
2015,1,imipenem,473,5988,7.9,Acinetobacter baumannii
2015,1,cefotaxime,391,5988,6.53,Acinetobacter baumannii
2015,1,levofloxacin,303,5988,5.06,Acinetobacter baumannii
2015,1,ceftriaxone,274,5988,4.58,Acinetobacter baumannii
2015,1,ampicillin/sulbactam,227,5988,3.79,Acinetobacter baumannii
2015,1,cefepime,139,5988,2.32,Acinetobacter baumannii
2015,1,,107,5988,1.79,Acinetobacter baumannii
2015,2,ceftazidime,553,5151,10.74,Acinetobacter baumannii
2015,2,ciprofloxacin,547,5151,10.62,Acinetobacter baumannii
2015,2,meropenem,536,5151,10.41,Acinetobacter baumannii
2015,2,gentamicin,497,5151,9.65,Acinetobacter baumannii
2015,2,amikacin,468,5151,9.09,Acinetobacter baumannii
2015,2,piperacillin/tazobactam,465,5151,9.03,Acinetobacter baumannii
2015,2,trimethoprim/sulfamethoxazole,432,5151,8.39,Acinetobacter baumannii
2015,2,imipenem,416,5151,8.08,Acinetobacter baumannii
2015,2,cefotaxime,318,5151,6.17,Acinetobacter baumannii
2015,2,levofloxacin,261,5151,5.07,Acinetobacter baumannii
2015,2,ceftriaxone,244,5151,4.74,Acinetobacter baumannii
2015,2,ampicillin/sulbactam,194,5151,3.77,Acinetobacter baumannii
2015,2,cefepime,112,5151,2.17,Acinetobacter baumannii
2015,2,,108,5151,2.1,Acinetobacter baumannii
2015,3,ceftazidime,605,5729,10.56,Acinetobacter baumannii
2015,3,ciprofloxacin,599,5729,10.46,Acinetobacter baumannii
2015,3,meropenem,576,5729,10.05,Acinetobacter baumannii
2015,3,gentamicin,563,5729,9.83,Acinetobacter baumannii
2015,3,amikacin,505,5729,8.81,Acinetobacter baumannii
2015,3,piperacillin/tazobactam,505,5729,8.81,Acinetobacter baumannii
2015,3,trimethoprim/sulfamethoxazole,495,5729,8.64,Acinetobacter baumannii
2015,3,imipenem,456,5729,7.96,Acinetobacter baumannii
2015,3,cefotaxime,371,5729,6.48,Acinetobacter baumannii
2015,3,levofloxacin,326,5729,5.69,Acinetobacter baumannii
2015,3,ceftriaxone,284,5729,4.96,Acinetobacter baumannii
2015,3,ampicillin/sulbactam,220,5729,3.84,Acinetobacter baumannii
2015,3,cefepime,134,5729,2.34,Acinetobacter baumannii
2015,3,,90,5729,1.57,Acinetobacter baumannii
2015,4,ciprofloxacin,574,5211,11.02,Acinetobacter baumannii
2015,4,ceftazidime,569,5211,10.92,Acinetobacter baumannii
2015,4,meropenem,555,5211,10.65,Acinetobacter baumannii
2015,4,gentamicin,480,5211,9.21,Acinetobacter baumannii
2015,4,piperacillin/tazobactam,471,5211,9.04,Acinetobacter baumannii
2015,4,trimethoprim/sulfamethoxazole,463,5211,8.89,Acinetobacter baumannii
2015,4,amikacin,436,5211,8.37,Acinetobacter baumannii
2015,4,imipenem,427,5211,8.19,Acinetobacter baumannii
2015,4,cefotaxime,359,5211,6.89,Acinetobacter baumannii
2015,4,levofloxacin,236,5211,4.53,Acinetobacter baumannii
2015,4,ceftriaxone,222,5211,4.26,Acinetobacter baumannii
2015,4,ampicillin/sulbactam,190,5211,3.65,Acinetobacter baumannii
2015,4,cefepime,122,5211,2.34,Acinetobacter baumannii
2015,4,,107,5211,2.05,Acinetobacter baumannii
2015,5,ceftazidime,521,4933,10.56,Acinetobacter baumannii
2015,5,meropenem,501,4933,10.16,Acinetobacter baumannii
2015,5,ciprofloxacin,496,4933,10.05,Acinetobacter baumannii
