Bacteria,Drug_Class,ACF_Lag12,Seasonal_Strength,Has_Seasonality
Acinetobacter Baumannii,amikacin,0.46666686578602995,0.499764732118526,True
Acinetobacter Baumannii,ampicillin/sulbactam,0.11340612078650797,0.13451590856152618,False
Acinetobacter Baumannii,cefepime,0.7685201542246249,0.1889732055946337,True
Acinetobacter Baumannii,cefotaxime,0.20846233308913698,0.1241025557157801,False
Acinetobacter Baumannii,ceftazidime,0.6237283415670836,0.17859029458676867,True
Acinetobacter Baumannii,ceftriaxone,0.34593231264274615,0.12530447136922895,False
Acinetobacter Baumannii,ciprofloxacin,0.5952442702760489,0.18290535208970116,True
Acinetobacter Baumannii,gentamicin,0.6306881769503169,0.1810188070398081,True
Acinetobacter Baumannii,imipenem,0.0039720278624184955,0.14385376214898637,False
Acinetobacter Baumannii,levofloxacin,0.17681250174890023,0.21808475201869115,False
Acinetobacter Baumannii,meropenem,0.4976336669942776,0.12263195812073358,True
Acinetobacter Baumannii,piperacillin/tazobactam,0.6032299946487295,0.34743877548851654,True
Acinetobacter Baumannii,trimethoprim/sulfamethoxazole,0.43324509918848364,0.25542095726259473,True
Enterococcus Faecalis,ampicillin,0.7668667098208837,0.007678490395267801,True
Enterococcus Faecalis,chloramphenicol,0.24801056381957698,0.07251964868676164,False
Enterococcus Faecalis,ciprofloxacin,0.6594866049645405,0.0,True
Enterococcus Faecalis,erythromycin,0.060863613455828885,0.005396161599051208,False
Enterococcus Faecalis,levofloxacin,0.6911351272972991,0.015184536087328615,True
Enterococcus Faecalis,norfloxacin,0.1371012520061335,0.0,False
Enterococcus Faecalis,penicillin,0.7187413218678208,0.0,True
Enterococcus Faecalis,teicoplanin,0.6302040614567648,0.0,True
Enterococcus Faecalis,tetracycline,-0.048645993762401286,0.08068491731574534,False
Enterococcus Faecium,ampicillin,0.046814891136608014,0.0,False
Enterococcus Faecium,chloramphenicol,0.47593359902912846,0.0,True
Enterococcus Faecium,ciprofloxacin,0.04293499466710149,0.0,False
Enterococcus Faecium,erythromycin,0.0358228393778628,0.0,False
Enterococcus Faecium,levofloxacin,0.031271797997875335,0.12956285142677804,False
Enterococcus Faecium,norfloxacin,0.36527130440587924,0.0,False
Enterococcus Faecium,penicillin,0.6425662992358316,0.0,True
Enterococcus Faecium,teicoplanin,0.6419737437502627,0.005549028062344474,True
Enterococcus Faecium,tetracycline,0.09576594174785708,0.18212012499707253,False
Enterococcus Faecium,vancomycin,0.6814488222184906,0.031487291549021745,True
Escherichia Coli,amikacin,0.12450951883372965,0.015018934606924828,False
Escherichia Coli,amoxicillin/clavulanic acid,0.41560151787989064,0.3236844757118219,True
Escherichia Coli,ampicillin,0.3881651714791263,0.08431727412653311,False
Escherichia Coli,ampicillin/sulbactam,-0.02757842601401147,0.0,False
Escherichia Coli,cefepime,0.7116968405054643,0.3279262601345374,True
Escherichia Coli,ceftazidime,0.4240798685075979,0.0,True
Escherichia Coli,ceftriaxone,0.36356155815865815,0.2189896106107032,False
Escherichia Coli,cefuroxime,0.17182844772215472,0.349730962362932,True
Escherichia Coli,ciprofloxacin,0.5148963898956784,0.2411800432533704,True
Escherichia Coli,ertapenem,0.6316849605194854,0.021666083920152346,True
Escherichia Coli,gentamicin,0.6685132206407092,0.3861577940538825,True
Escherichia Coli,imipenem,0.4410305066504284,0.04733292262396316,True
Escherichia Coli,levofloxacin,0.724874298515937,0.4944620418474056,True
Escherichia Coli,meropenem,0.48921280875902756,0.0,True
Escherichia Coli,norfloxacin,0.7484759120991563,0.1963950944948638,True
Escherichia Coli,piperacillin/tazobactam,0.3994590366496885,0.09577468237434617,False
Escherichia Coli,trimethoprim/sulfamethoxazole,0.44067877827796664,0.15003947132560913,True
Klebsiella Pneumoniae,amikacin,0.40353637383193797,0.09625630285257714,True
Klebsiella Pneumoniae,amoxicillin/clavulanic acid,0.25073914013652,0.41316054761104215,True
