year,month,resistant_drug_name,drug_count,total_records_in_month,percentage,organism_full
2015,5,chloramphenicol,1,3,33.33,Enterococcus faecalis
2015,5,erythromycin,1,3,33.33,Enterococcus faecalis
2015,5,tetracycline,1,3,33.33,Enterococcus faecalis
2020,1,tetracycline,37,178,20.79,Enterococcus faecalis
2020,1,erythromycin,31,178,17.42,Enterococcus faecalis
2020,1,ciprofloxacin,30,178,16.85,Enterococcus faecalis
2020,1,norfloxacin,30,178,16.85,Enterococcus faecalis
2020,1,levofloxacin,28,178,15.73,Enterococcus faecalis
2020,1,chloramphenicol,14,178,7.87,Enterococcus faecalis
2020,1,penicillin,4,178,2.25,Enterococcus faecalis
2020,1,ampicillin,2,178,1.12,Enterococcus faecalis
2020,1,,2,178,1.12,Enterococcus faecalis
2020,2,tetracycline,36,139,25.9,Enterococcus faecalis
2020,2,erythromycin,20,139,14.39,Enterococcus faecalis
2020,2,ciprofloxacin,19,139,13.67,Enterococcus faecalis
2020,2,chloramphenicol,18,139,12.95,Enterococcus faecalis
2020,2,levofloxacin,18,139,12.95,Enterococcus faecalis
2020,2,norfloxacin,16,139,11.51,Enterococcus faecalis
2020,2,penicillin,6,139,4.32,Enterococcus faecalis
2020,2,,4,139,2.88,Enterococcus faecalis
2020,2,ampicillin,2,139,1.44,Enterococcus faecalis
2020,3,tetracycline,22,112,19.64,Enterococcus faecalis
2020,3,ciprofloxacin,18,112,16.07,Enterococcus faecalis
2020,3,erythromycin,18,112,16.07,Enterococcus faecalis
2020,3,levofloxacin,18,112,16.07,Enterococcus faecalis
2020,3,norfloxacin,18,112,16.07,Enterococcus faecalis
2020,3,chloramphenicol,14,112,12.5,Enterococcus faecalis
2020,3,penicillin,2,112,1.79,Enterococcus faecalis
2020,3,,2,112,1.79,Enterococcus faecalis
2020,4,ciprofloxacin,1,2,50.0,Enterococcus faecalis
2020,4,teicoplanin,1,2,50.0,Enterococcus faecalis
2020,6,ciprofloxacin,5,25,20.0,Enterococcus faecalis
2020,6,erythromycin,5,25,20.0,Enterococcus faecalis
2020,6,levofloxacin,5,25,20.0,Enterococcus faecalis
2020,6,tetracycline,5,25,20.0,Enterococcus faecalis
2020,6,penicillin,3,25,12.0,Enterococcus faecalis
2020,6,chloramphenicol,2,25,8.0,Enterococcus faecalis
2020,7,chloramphenicol,1,2,50.0,Enterococcus faecalis
2020,7,tetracycline,1,2,50.0,Enterococcus faecalis
2020,8,tetracycline,3,9,33.33,Enterococcus faecalis
2020,8,chloramphenicol,2,9,22.22,Enterococcus faecalis
2020,8,erythromycin,2,9,22.22,Enterococcus faecalis
2020,8,ciprofloxacin,1,9,11.11,Enterococcus faecalis
2020,8,levofloxacin,1,9,11.11,Enterococcus faecalis
2020,9,tetracycline,5,18,27.78,Enterococcus faecalis
2020,9,erythromycin,4,18,22.22,Enterococcus faecalis
2020,9,ciprofloxacin,3,18,16.67,Enterococcus faecalis
2020,9,levofloxacin,3,18,16.67,Enterococcus faecalis
2020,9,penicillin,2,18,11.11,Enterococcus faecalis
2020,9,chloramphenicol,1,18,5.56,Enterococcus faecalis
2020,12,erythromycin,4,13,30.77,Enterococcus faecalis
2020,12,tetracycline,3,13,23.08,Enterococcus faecalis
2020,12,ciprofloxacin,2,13,15.38,Enterococcus faecalis
2020,12,levofloxacin,2,13,15.38,Enterococcus faecalis
2020,12,penicillin,2,13,15.38,Enterococcus faecalis
2021,1,tetracycline,3,11,27.27,Enterococcus faecalis
2021,1,erythromycin,2,11,18.18,Enterococcus faecalis
2021,1,,2,11,18.18,Enterococcus faecalis
2021,1,chloramphenicol,1,11,9.09,Enterococcus faecalis
2021,1,ciprofloxacin,1,11,9.09,Enterococcus faecalis
2021,1,levofloxacin,1,11,9.09,Enterococcus faecalis
2021,1,penicillin,1,11,9.09,Enterococcus faecalis
2021,2,ciprofloxacin,1,5,20.0,Enterococcus faecalis
2021,2,erythromycin,1,5,20.0,Enterococcus faecalis
2021,2,levofloxacin,1,5,20.0,Enterococcus faecalis
2021,2,penicillin,1,5,20.0,Enterococcus faecalis
2021,2,tetracycline,1,5,20.0,Enterococcus faecalis
2021,3,tetracycline,2,7,28.57,Enterococcus faecalis
2021,3,ciprofloxacin,1,7,14.29,Enterococcus faecalis
2021,3,erythromycin,1,7,14.29,Enterococcus faecalis
2021,3,levofloxacin,1,7,14.29,Enterococcus faecalis
2021,3,penicillin,1,7,14.29,Enterococcus faecalis
2021,3,,1,7,14.29,Enterococcus faecalis
2021,4,tetracycline,7,29,24.14,Enterococcus faecalis
2021,4,ciprofloxacin,5,29,17.24,Enterococcus faecalis
2021,4,erythromycin,5,29,17.24,Enterococcus faecalis
2021,4,levofloxacin,5,29,17.24,Enterococcus faecalis
2021,4,penicillin,4,29,13.79,Enterococcus faecalis
