year,month,resistant_drug_name,drug_count,total_records_in_month,percentage,organism_full
2015,5,ampicillin,1,5,20.0,Enterococcus faecium
2015,5,ciprofloxacin,1,5,20.0,Enterococcus faecium
2015,5,erythromycin,1,5,20.0,Enterococcus faecium
2015,5,levofloxacin,1,5,20.0,Enterococcus faecium
2015,5,tetracycline,1,5,20.0,Enterococcus faecium
2019,8,ampicillin,1,6,16.67,Enterococcus faecium
2019,8,ciprofloxacin,1,6,16.67,Enterococcus faecium
2019,8,erythromycin,1,6,16.67,Enterococcus faecium
2019,8,levofloxacin,1,6,16.67,Enterococcus faecium
2019,8,penicillin,1,6,16.67,Enterococcus faecium
2019,8,tetracycline,1,6,16.67,Enterococcus faecium
2020,1,ampicillin,27,174,15.52,Enterococcus faecium
2020,1,erythromycin,27,174,15.52,Enterococcus faecium
2020,1,penicillin,27,174,15.52,Enterococcus faecium
2020,1,ciprofloxacin,25,174,14.37,Enterococcus faecium
2020,1,levofloxacin,25,174,14.37,Enterococcus faecium
2020,1,norfloxacin,24,174,13.79,Enterococcus faecium
2020,1,tetracycline,17,174,9.77,Enterococcus faecium
2020,1,teicoplanin,1,174,0.57,Enterococcus faecium
2020,1,vancomycin,1,174,0.57,Enterococcus faecium
2020,2,erythromycin,30,199,15.08,Enterococcus faecium
2020,2,penicillin,30,199,15.08,Enterococcus faecium
2020,2,ampicillin,28,199,14.07,Enterococcus faecium
2020,2,ciprofloxacin,28,199,14.07,Enterococcus faecium
2020,2,levofloxacin,28,199,14.07,Enterococcus faecium
2020,2,norfloxacin,26,199,13.07,Enterococcus faecium
2020,2,tetracycline,25,199,12.56,Enterococcus faecium
2020,2,teicoplanin,2,199,1.01,Enterococcus faecium
2020,2,vancomycin,2,199,1.01,Enterococcus faecium
2020,3,ciprofloxacin,10,60,16.67,Enterococcus faecium
2020,3,erythromycin,10,60,16.67,Enterococcus faecium
2020,3,levofloxacin,10,60,16.67,Enterococcus faecium
2020,3,norfloxacin,10,60,16.67,Enterococcus faecium
2020,3,ampicillin,8,60,13.33,Enterococcus faecium
2020,3,penicillin,8,60,13.33,Enterococcus faecium
2020,3,tetracycline,4,60,6.67,Enterococcus faecium
2020,4,ampicillin,1,8,12.5,Enterococcus faecium
2020,4,chloramphenicol,1,8,12.5,Enterococcus faecium
2020,4,ciprofloxacin,1,8,12.5,Enterococcus faecium
2020,4,erythromycin,1,8,12.5,Enterococcus faecium
2020,4,penicillin,1,8,12.5,Enterococcus faecium
2020,4,teicoplanin,1,8,12.5,Enterococcus faecium
2020,4,tetracycline,1,8,12.5,Enterococcus faecium
2020,4,vancomycin,1,8,12.5,Enterococcus faecium
2020,6,ampicillin,1,6,16.67,Enterococcus faecium
2020,6,ciprofloxacin,1,6,16.67,Enterococcus faecium
2020,6,erythromycin,1,6,16.67,Enterococcus faecium
2020,6,levofloxacin,1,6,16.67,Enterococcus faecium
2020,6,penicillin,1,6,16.67,Enterococcus faecium
2020,6,tetracycline,1,6,16.67,Enterococcus faecium
2020,12,ampicillin,1,10,10.0,Enterococcus faecium
2020,12,chloramphenicol,1,10,10.0,Enterococcus faecium
2020,12,ciprofloxacin,1,10,10.0,Enterococcus faecium
2020,12,erythromycin,1,10,10.0,Enterococcus faecium
2020,12,levofloxacin,1,10,10.0,Enterococcus faecium
2020,12,norfloxacin,1,10,10.0,Enterococcus faecium
2020,12,penicillin,1,10,10.0,Enterococcus faecium
2020,12,teicoplanin,1,10,10.0,Enterococcus faecium
2020,12,tetracycline,1,10,10.0,Enterococcus faecium
2020,12,vancomycin,1,10,10.0,Enterococcus faecium
2021,1,ampicillin,1,6,16.67,Enterococcus faecium
2021,1,ciprofloxacin,1,6,16.67,Enterococcus faecium
2021,1,erythromycin,1,6,16.67,Enterococcus faecium
2021,1,levofloxacin,1,6,16.67,Enterococcus faecium
2021,1,penicillin,1,6,16.67,Enterococcus faecium
2021,1,tetracycline,1,6,16.67,Enterococcus faecium
2021,2,teicoplanin,2,12,16.67,Enterococcus faecium
2021,2,vancomycin,2,12,16.67,Enterococcus faecium
2021,2,ampicillin,1,12,8.33,Enterococcus faecium
2021,2,chloramphenicol,1,12,8.33,Enterococcus faecium
2021,2,ciprofloxacin,1,12,8.33,Enterococcus faecium
2021,2,erythromycin,1,12,8.33,Enterococcus faecium
2021,2,levofloxacin,1,12,8.33,Enterococcus faecium
2021,2,norfloxacin,1,12,8.33,Enterococcus faecium
2021,2,penicillin,1,12,8.33,Enterococcus faecium
2021,2,tetracycline,1,12,8.33,Enterococcus faecium
2021,3,ampicillin,1,9,11.11,Enterococcus faecium
2021,3,ciprofloxacin,1,9,11.11,Enterococcus faecium
2021,3,erythromycin,1,9,11.11,Enterococcus faecium
2021,3,levofloxacin,1,9,11.11,Enterococcus faecium
2021,3,penicillin,1,9,11.11,Enterococcus faecium
2021,3,teicoplanin,1,9,11.11,Enterococcus faecium
2021,3,tetracycline,1,9,11.11,Enterococcus faecium
2021,3,vancomycin,1,9,11.11,Enterococcus faecium
2021,3,,1,9,11.11,Enterococcus faecium
2021,6,ampicillin,2,16,12.5,Enterococcus faecium
2021,6,ciprofloxacin,2,16,12.5,Enterococcus faecium
2021,6,erythromycin,2,16,12.5,Enterococcus faecium
2021,6,levofloxacin,2,16,12.5,Enterococcus faecium
2021,6,penicillin,2,16,12.5,Enterococcus faecium
2021,6,tetracycline,2,16,12.5,Enterococcus faecium
2021,6,chloramphenicol,1,16,6.25,Enterococcus faecium
2021,6,norfloxacin,1,16,6.25,Enterococcus faecium
2021,6,teicoplanin,1,16,6.25,Enterococcus faecium
2021,6,vancomycin,1,16,6.25,Enterococcus faecium
2021,7,ampicillin,2,16,12.5,Enterococcus faecium
2021,7,ciprofloxacin,2,16,12.5,Enterococcus faecium
2021,7,erythromycin,2,16,12.5,Enterococcus faecium
2021,7,levofloxacin,2,16,12.5,Enterococcus faecium
2021,7,penicillin,2,16,12.5,Enterococcus faecium
2021,7,tetracycline,2,16,12.5,Enterococcus faecium
2021,7,chloramphenicol,1,16,6.25,Enterococcus faecium
2021,7,norfloxacin,1,16,6.25,Enterococcus faecium
2021,7,teicoplanin,1,16,6.25,Enterococcus faecium
2021,7,vancomycin,1,16,6.25,Enterococcus faecium
2021,8,,2,2,100.0,Enterococcus faecium
2021,10,ampicillin,1,7,14.29,Enterococcus faecium
2021,10,ciprofloxacin,1,7,14.29,Enterococcus faecium
2021,10,erythromycin,1,7,14.29,Enterococcus faecium
2021,10,levofloxacin,1,7,14.29,Enterococcus faecium
2021,10,penicillin,1,7,14.29,Enterococcus faecium
2021,10,tetracycline,1,7,14.29,Enterococcus faecium
2021,10,vancomycin,1,7,14.29,Enterococcus faecium
2021,11,ampicillin,1,6,16.67,Enterococcus faecium
2021,11,ciprofloxacin,1,6,16.67,Enterococcus faecium
2021,11,erythromycin,1,6,16.67,Enterococcus faecium
2021,11,levofloxacin,1,6,16.67,Enterococcus faecium
2021,11,penicillin,1,6,16.67,Enterococcus faecium
2021,11,tetracycline,1,6,16.67,Enterococcus faecium
2022,6,ampicillin,1,6,16.67,Enterococcus faecium
2022,6,ciprofloxacin,1,6,16.67,Enterococcus faecium
2022,6,erythromycin,1,6,16.67,Enterococcus faecium
2022,6,levofloxacin,1,6,16.67,Enterococcus faecium
