year,month,resistant_drug_name,drug_count,total_records_in_month,percentage,organism_full
2015,1,ampicillin,1461,6520,22.41,Escherichia coli
2015,1,trimethoprim/sulfamethoxazole,962,6520,14.75,Escherichia coli
2015,1,ciprofloxacin,811,6520,12.44,Escherichia coli
2015,1,gentamicin,591,6520,9.06,Escherichia coli
2015,1,norfloxacin,509,6520,7.81,Escherichia coli
2015,1,ceftriaxone,480,6520,7.36,Escherichia coli
2015,1,ceftazidime,430,6520,6.6,Escherichia coli
2015,1,amoxicillin/clavulanic acid,307,6520,4.71,Escherichia coli
2015,1,cefuroxime,282,6520,4.33,Escherichia coli
2015,1,levofloxacin,263,6520,4.03,Escherichia coli
2015,1,,139,6520,2.13,Escherichia coli
2015,1,cefepime,106,6520,1.63,Escherichia coli
2015,1,piperacillin/tazobactam,77,6520,1.18,Escherichia coli
2015,1,ampicillin/sulbactam,62,6520,0.95,Escherichia coli
2015,1,amikacin,31,6520,0.48,Escherichia coli
2015,1,imipenem,6,6520,0.09,Escherichia coli
2015,1,meropenem,2,6520,0.03,Escherichia coli
2015,1,ertapenem,1,6520,0.02,Escherichia coli
2015,2,ampicillin,1336,6149,21.73,Escherichia coli
2015,2,trimethoprim/sulfamethoxazole,914,6149,14.86,Escherichia coli
2015,2,ciprofloxacin,787,6149,12.8,Escherichia coli
2015,2,gentamicin,523,6149,8.51,Escherichia coli
2015,2,norfloxacin,476,6149,7.74,Escherichia coli
2015,2,ceftriaxone,475,6149,7.72,Escherichia coli
2015,2,ceftazidime,412,6149,6.7,Escherichia coli
2015,2,cefuroxime,270,6149,4.39,Escherichia coli
2015,2,amoxicillin/clavulanic acid,249,6149,4.05,Escherichia coli
2015,2,levofloxacin,247,6149,4.02,Escherichia coli
2015,2,,143,6149,2.33,Escherichia coli
2015,2,cefepime,94,6149,1.53,Escherichia coli
2015,2,piperacillin/tazobactam,84,6149,1.37,Escherichia coli
2015,2,ampicillin/sulbactam,73,6149,1.19,Escherichia coli
2015,2,amikacin,49,6149,0.8,Escherichia coli
2015,2,imipenem,8,6149,0.13,Escherichia coli
2015,2,meropenem,7,6149,0.11,Escherichia coli
2015,2,ertapenem,2,6149,0.03,Escherichia coli
2015,3,ampicillin,1231,5670,21.71,Escherichia coli
2015,3,trimethoprim/sulfamethoxazole,830,5670,14.64,Escherichia coli
2015,3,ciprofloxacin,726,5670,12.8,Escherichia coli
2015,3,gentamicin,504,5670,8.89,Escherichia coli
2015,3,norfloxacin,478,5670,8.43,Escherichia coli
2015,3,ceftriaxone,446,5670,7.87,Escherichia coli
2015,3,ceftazidime,312,5670,5.5,Escherichia coli
2015,3,cefuroxime,281,5670,4.96,Escherichia coli
2015,3,levofloxacin,261,5670,4.6,Escherichia coli
2015,3,amoxicillin/clavulanic acid,258,5670,4.55,Escherichia coli
2015,3,,133,5670,2.35,Escherichia coli
2015,3,piperacillin/tazobactam,71,5670,1.25,Escherichia coli
2015,3,cefepime,56,5670,0.99,Escherichia coli
2015,3,ampicillin/sulbactam,44,5670,0.78,Escherichia coli
2015,3,amikacin,28,5670,0.49,Escherichia coli
2015,3,imipenem,4,5670,0.07,Escherichia coli
2015,3,meropenem,4,5670,0.07,Escherichia coli
2015,3,ertapenem,3,5670,0.05,Escherichia coli
2015,4,ampicillin,1298,5847,22.2,Escherichia coli
2015,4,trimethoprim/sulfamethoxazole,860,5847,14.71,Escherichia coli
2015,4,ciprofloxacin,728,5847,12.45,Escherichia coli
2015,4,gentamicin,488,5847,8.35,Escherichia coli
2015,4,ceftriaxone,462,5847,7.9,Escherichia coli
2015,4,norfloxacin,437,5847,7.47,Escherichia coli
2015,4,ceftazidime,351,5847,6.0,Escherichia coli
2015,4,amoxicillin/clavulanic acid,302,5847,5.17,Escherichia coli
2015,4,cefuroxime,267,5847,4.57,Escherichia coli
2015,4,levofloxacin,230,5847,3.93,Escherichia coli
2015,4,,122,5847,2.09,Escherichia coli
2015,4,piperacillin/tazobactam,92,5847,1.57,Escherichia coli
2015,4,cefepime,87,5847,1.49,Escherichia coli
2015,4,ampicillin/sulbactam,65,5847,1.11,Escherichia coli
2015,4,amikacin,40,5847,0.68,Escherichia coli
2015,4,meropenem,8,5847,0.14,Escherichia coli
2015,4,imipenem,6,5847,0.1,Escherichia coli
2015,4,ertapenem,4,5847,0.07,Escherichia coli
2015,5,ampicillin,1353,6134,22.06,Escherichia coli
2015,5,trimethoprim/sulfamethoxazole,893,6134,14.56,Escherichia coli
2015,5,ciprofloxacin,778,6134,12.68,Escherichia coli
2015,5,gentamicin,571,6134,9.31,Escherichia coli
2015,5,ceftriaxone,445,6134,7.25,Escherichia coli
2015,5,norfloxacin,422,6134,6.88,Escherichia coli
2015,5,ceftazidime,415,6134,6.77,Escherichia coli
2015,5,amoxicillin/clavulanic acid,296,6134,4.83,Escherichia coli
2015,5,cefuroxime,268,6134,4.37,Escherichia coli
2015,5,levofloxacin,251,6134,4.09,Escherichia coli
2015,5,,155,6134,2.53,Escherichia coli
2015,5,piperacillin/tazobactam,97,6134,1.58,Escherichia coli
2015,5,cefepime,84,6134,1.37,Escherichia coli
2015,5,ampicillin/sulbactam,57,6134,0.93,Escherichia coli
2015,5,amikacin,35,6134,0.57,Escherichia coli
2015,5,imipenem,8,6134,0.13,Escherichia coli
2015,5,meropenem,5,6134,0.08,Escherichia coli
2015,5,ertapenem,1,6134,0.02,Escherichia coli
2015,6,ampicillin,1301,6027,21.59,Escherichia coli
2015,6,trimethoprim/sulfamethoxazole,880,6027,14.6,Escherichia coli
2015,6,ciprofloxacin,749,6027,12.43,Escherichia coli
2015,6,gentamicin,524,6027,8.69,Escherichia coli
2015,6,ceftriaxone,475,6027,7.88,Escherichia coli
2015,6,ceftazidime,422,6027,7.0,Escherichia coli
2015,6,norfloxacin,407,6027,6.75,Escherichia coli
2015,6,amoxicillin/clavulanic acid,312,6027,5.18,Escherichia coli
2015,6,cefuroxime,282,6027,4.68,Escherichia coli
2015,6,levofloxacin,240,6027,3.98,Escherichia coli
2015,6,,123,6027,2.04,Escherichia coli
2015,6,piperacillin/tazobactam,115,6027,1.91,Escherichia coli
2015,6,cefepime,76,6027,1.26,Escherichia coli
2015,6,ampicillin/sulbactam,66,6027,1.1,Escherichia coli
2015,6,amikacin,33,6027,0.55,Escherichia coli
