year,month,resistant_drug_name,drug_count,total_records_in_month,percentage,organism_full
2015,1,ampicillin,906,3066,29.55,Klebsiella pneumoniae
2015,1,trimethoprim/sulfamethoxazole,343,3066,11.19,Klebsiella pneumoniae
2015,1,ciprofloxacin,336,3066,10.96,Klebsiella pneumoniae
2015,1,ceftazidime,265,3066,8.64,Klebsiella pneumoniae
2015,1,ceftriaxone,233,3066,7.6,Klebsiella pneumoniae
2015,1,amoxicillin/clavulanic acid,217,3066,7.08,Klebsiella pneumoniae
2015,1,gentamicin,171,3066,5.58,Klebsiella pneumoniae
2015,1,piperacillin/tazobactam,131,3066,4.27,Klebsiella pneumoniae
2015,1,cefuroxime,128,3066,4.17,Klebsiella pneumoniae
2015,1,norfloxacin,84,3066,2.74,Klebsiella pneumoniae
2015,1,levofloxacin,74,3066,2.41,Klebsiella pneumoniae
2015,1,cefepime,64,3066,2.09,Klebsiella pneumoniae
2015,1,ampicillin/sulbactam,41,3066,1.34,Klebsiella pneumoniae
2015,1,amikacin,23,3066,0.75,Klebsiella pneumoniae
2015,1,imipenem,23,3066,0.75,Klebsiella pneumoniae
2015,1,meropenem,20,3066,0.65,Klebsiella pneumoniae
2015,1,ertapenem,7,3066,0.23,Klebsiella pneumoniae
2015,2,ampicillin,852,2741,31.08,Klebsiella pneumoniae
2015,2,trimethoprim/sulfamethoxazole,321,2741,11.71,Klebsiella pneumoniae
2015,2,ciprofloxacin,291,2741,10.62,Klebsiella pneumoniae
2015,2,ceftazidime,225,2741,8.21,Klebsiella pneumoniae
2015,2,ceftriaxone,202,2741,7.37,Klebsiella pneumoniae
2015,2,amoxicillin/clavulanic acid,175,2741,6.38,Klebsiella pneumoniae
2015,2,gentamicin,159,2741,5.8,Klebsiella pneumoniae
2015,2,cefuroxime,119,2741,4.34,Klebsiella pneumoniae
2015,2,piperacillin/tazobactam,118,2741,4.3,Klebsiella pneumoniae
2015,2,norfloxacin,79,2741,2.88,Klebsiella pneumoniae
2015,2,levofloxacin,59,2741,2.15,Klebsiella pneumoniae
