year,month,resistant_drug_name,drug_count,total_records_in_month,percentage,organism_full
2016,1,,55,97,56.7,Pseudomonas aeruginosa
2016,1,imipenem,10,97,10.31,Pseudomonas aeruginosa
2016,1,ceftazidime,9,97,9.28,Pseudomonas aeruginosa
2016,1,ciprofloxacin,6,97,6.19,Pseudomonas aeruginosa
2016,1,meropenem,6,97,6.19,Pseudomonas aeruginosa
2016,1,gentamicin,5,97,5.15,Pseudomonas aeruginosa
2016,1,piperacillin/tazobactam,4,97,4.12,Pseudomonas aeruginosa
2016,1,amikacin,2,97,2.06,Pseudomonas aeruginosa
2016,2,,39,163,23.93,Pseudomonas aeruginosa
2016,2,ceftazidime,21,163,12.88,Pseudomonas aeruginosa
2016,2,imipenem,21,163,12.88,Pseudomonas aeruginosa
2016,2,meropenem,19,163,11.66,Pseudomonas aeruginosa
2016,2,ciprofloxacin,17,163,10.43,Pseudomonas aeruginosa
2016,2,gentamicin,17,163,10.43,Pseudomonas aeruginosa
2016,2,piperacillin/tazobactam,15,163,9.2,Pseudomonas aeruginosa
2016,2,amikacin,13,163,7.98,Pseudomonas aeruginosa
2016,2,colistin,1,163,0.61,Pseudomonas aeruginosa
2016,3,,32,182,17.58,Pseudomonas aeruginosa
2016,3,ceftazidime,30,182,16.48,Pseudomonas aeruginosa
2016,3,imipenem,23,182,12.64,Pseudomonas aeruginosa
2016,3,meropenem,21,182,11.54,Pseudomonas aeruginosa
2016,3,gentamicin,18,182,9.89,Pseudomonas aeruginosa
2016,3,ciprofloxacin,17,182,9.34,Pseudomonas aeruginosa
2016,3,amikacin,16,182,8.79,Pseudomonas aeruginosa
2016,3,piperacillin/tazobactam,15,182,8.24,Pseudomonas aeruginosa
2016,3,levofloxacin,8,182,4.4,Pseudomonas aeruginosa
2016,3,cefepime,2,182,1.1,Pseudomonas aeruginosa
2016,4,,28,151,18.54,Pseudomonas aeruginosa
2016,4,ceftazidime,22,151,14.57,Pseudomonas aeruginosa
2016,4,imipenem,20,151,13.25,Pseudomonas aeruginosa
2016,4,ciprofloxacin,17,151,11.26,Pseudomonas aeruginosa
2016,4,gentamicin,16,151,10.6,Pseudomonas aeruginosa
2016,4,meropenem,16,151,10.6,Pseudomonas aeruginosa
2016,4,amikacin,11,151,7.28,Pseudomonas aeruginosa
2016,4,levofloxacin,11,151,7.28,Pseudomonas aeruginosa
2016,4,piperacillin/tazobactam,10,151,6.62,Pseudomonas aeruginosa
2016,5,,23,96,23.96,Pseudomonas aeruginosa
2016,5,imipenem,15,96,15.62,Pseudomonas aeruginosa
2016,5,meropenem,14,96,14.58,Pseudomonas aeruginosa
2016,5,ceftazidime,11,96,11.46,Pseudomonas aeruginosa
2016,5,ciprofloxacin,11,96,11.46,Pseudomonas aeruginosa
2016,5,gentamicin,9,96,9.38,Pseudomonas aeruginosa
2016,5,amikacin,8,96,8.33,Pseudomonas aeruginosa
2016,5,piperacillin/tazobactam,5,96,5.21,Pseudomonas aeruginosa
2016,6,,38,81,46.91,Pseudomonas aeruginosa
2016,6,ceftazidime,8,81,9.88,Pseudomonas aeruginosa
2016,6,ciprofloxacin,7,81,8.64,Pseudomonas aeruginosa
2016,6,gentamicin,5,81,6.17,Pseudomonas aeruginosa
2016,6,imipenem,5,81,6.17,Pseudomonas aeruginosa
2016,6,meropenem,5,81,6.17,Pseudomonas aeruginosa
2016,6,piperacillin/tazobactam,5,81,6.17,Pseudomonas aeruginosa
2016,6,amikacin,4,81,4.94,Pseudomonas aeruginosa
2016,6,levofloxacin,4,81,4.94,Pseudomonas aeruginosa
2016,7,,28,122,22.95,Pseudomonas aeruginosa
2016,7,ceftazidime,14,122,11.48,Pseudomonas aeruginosa
2016,7,ciprofloxacin,14,122,11.48,Pseudomonas aeruginosa
2016,7,levofloxacin,13,122,10.66,Pseudomonas aeruginosa
2016,7,imipenem,12,122,9.84,Pseudomonas aeruginosa
2016,7,meropenem,12,122,9.84,Pseudomonas aeruginosa
2016,7,piperacillin/tazobactam,11,122,9.02,Pseudomonas aeruginosa
2016,7,gentamicin,9,122,7.38,Pseudomonas aeruginosa
2016,7,amikacin,8,122,6.56,Pseudomonas aeruginosa
2016,7,cefepime,1,122,0.82,Pseudomonas aeruginosa
2016,8,,38,192,19.79,Pseudomonas aeruginosa
2016,8,ceftazidime,26,192,13.54,Pseudomonas aeruginosa
2016,8,imipenem,23,192,11.98,Pseudomonas aeruginosa
2016,8,meropenem,22,192,11.46,Pseudomonas aeruginosa
2016,8,ciprofloxacin,18,192,9.38,Pseudomonas aeruginosa
2016,8,gentamicin,18,192,9.38,Pseudomonas aeruginosa
2016,8,piperacillin/tazobactam,17,192,8.85,Pseudomonas aeruginosa
2016,8,levofloxacin,16,192,8.33,Pseudomonas aeruginosa
2016,8,amikacin,11,192,5.73,Pseudomonas aeruginosa
2016,8,colistin,3,192,1.56,Pseudomonas aeruginosa
2016,9,,40,153,26.14,Pseudomonas aeruginosa
2016,9,ceftazidime,21,153,13.73,Pseudomonas aeruginosa
2016,9,meropenem,17,153,11.11,Pseudomonas aeruginosa
2016,9,gentamicin,16,153,10.46,Pseudomonas aeruginosa
2016,9,imipenem,16,153,10.46,Pseudomonas aeruginosa
2016,9,ciprofloxacin,14,153,9.15,Pseudomonas aeruginosa
2016,9,amikacin,11,153,7.19,Pseudomonas aeruginosa
2016,9,piperacillin/tazobactam,11,153,7.19,Pseudomonas aeruginosa
2016,9,levofloxacin,7,153,4.58,Pseudomonas aeruginosa
2016,10,,26,116,22.41,Pseudomonas aeruginosa
2016,10,imipenem,15,116,12.93,Pseudomonas aeruginosa
2016,10,ceftazidime,14,116,12.07,Pseudomonas aeruginosa
2016,10,ciprofloxacin,12,116,10.34,Pseudomonas aeruginosa
2016,10,gentamicin,12,116,10.34,Pseudomonas aeruginosa
2016,10,meropenem,12,116,10.34,Pseudomonas aeruginosa
2016,10,piperacillin/tazobactam,11,116,9.48,Pseudomonas aeruginosa
2016,10,levofloxacin,9,116,7.76,Pseudomonas aeruginosa
2016,10,amikacin,5,116,4.31,Pseudomonas aeruginosa
2016,11,,21,118,17.8,Pseudomonas aeruginosa
2016,11,ceftazidime,20,118,16.95,Pseudomonas aeruginosa
2016,11,ciprofloxacin,15,118,12.71,Pseudomonas aeruginosa
2016,11,imipenem,15,118,12.71,Pseudomonas aeruginosa
2016,11,meropenem,14,118,11.86,Pseudomonas aeruginosa
2016,11,piperacillin/tazobactam,11,118,9.32,Pseudomonas aeruginosa
2016,11,gentamicin,10,118,8.47,Pseudomonas aeruginosa
2016,11,levofloxacin,8,118,6.78,Pseudomonas aeruginosa
2016,11,amikacin,4,118,3.39,Pseudomonas aeruginosa
2016,12,amikacin,1,7,14.29,Pseudomonas aeruginosa
2016,12,cefepime,1,7,14.29,Pseudomonas aeruginosa
2016,12,ceftazidime,1,7,14.29,Pseudomonas aeruginosa
2016,12,ciprofloxacin,1,7,14.29,Pseudomonas aeruginosa
2016,12,imipenem,1,7,14.29,Pseudomonas aeruginosa
2016,12,meropenem,1,7,14.29,Pseudomonas aeruginosa
2016,12,piperacillin/tazobactam,1,7,14.29,Pseudomonas aeruginosa
2017,1,cefepime,2,14,14.29,Pseudomonas aeruginosa
2017,1,ceftazidime,2,14,14.29,Pseudomonas aeruginosa
2017,1,ciprofloxacin,2,14,14.29,Pseudomonas aeruginosa
2017,1,imipenem,2,14,14.29,Pseudomonas aeruginosa
2017,1,meropenem,2,14,14.29,Pseudomonas aeruginosa
2017,1,piperacillin/tazobactam,2,14,14.29,Pseudomonas aeruginosa
2017,1,amikacin,1,14,7.14,Pseudomonas aeruginosa
2017,1,levofloxacin,1,14,7.14,Pseudomonas aeruginosa
2017,2,amikacin,1,6,16.67,Pseudomonas aeruginosa
2017,2,ceftazidime,1,6,16.67,Pseudomonas aeruginosa
2017,2,ciprofloxacin,1,6,16.67,Pseudomonas aeruginosa
2017,2,imipenem,1,6,16.67,Pseudomonas aeruginosa
2017,2,meropenem,1,6,16.67,Pseudomonas aeruginosa
2017,2,piperacillin/tazobactam,1,6,16.67,Pseudomonas aeruginosa
2017,4,ceftazidime,2,9,22.22,Pseudomonas aeruginosa
2017,4,ciprofloxacin,2,9,22.22,Pseudomonas aeruginosa
2017,4,meropenem,2,9,22.22,Pseudomonas aeruginosa
2017,4,piperacillin/tazobactam,2,9,22.22,Pseudomonas aeruginosa
