Bacteria,Specimen,Drug_Name,ACF_Lag12,Seasonal_Strength,Has_Seasonality
Acinetobacter baumannii,bl,Sensitive/None,0.4341290209532278,0.4728868222963817,True
Acinetobacter baumannii,bl,amikacin,0.1413614286096241,0.11753637070371326,False
Acinetobacter baumannii,bl,ampicillin/sulbactam,0.06299983276789331,0.2594812510026945,False
Acinetobacter baumannii,bl,cefepime,0.7523539639547605,0.2802420214766974,True
Acinetobacter baumannii,bl,cefotaxime,0.1606898913675309,0.19007631293544502,False
Acinetobacter baumannii,bl,ceftazidime,0.4898607339804978,0.2460218939083214,False
Acinetobacter baumannii,bl,ceftriaxone,0.03553007926996592,0.0,False
Acinetobacter baumannii,bl,ciprofloxacin,0.25969101132550415,0.20226721220109778,False
Acinetobacter baumannii,bl,gentamicin,0.3916618403591836,0.10932809533771226,False
Acinetobacter baumannii,bl,imipenem,-0.03597568100337406,0.31763411531075103,True
Acinetobacter baumannii,bl,levofloxacin,0.33854170103282444,0.24456686454512855,False
Acinetobacter baumannii,bl,meropenem,0.0398757326419422,0.008680353814006225,False
Acinetobacter baumannii,bl,piperacillin/tazobactam,0.09928215667467363,0.2946204247184162,False
Acinetobacter baumannii,bl,trimethoprim/sulfamethoxazole,0.30450614582545277,0.3028983218379506,True
Acinetobacter baumannii,sp,Sensitive/None,0.6564338088525591,0.7037615257267329,True
Acinetobacter baumannii,sp,amikacin,0.3769116113981151,0.47556213546285175,True
Acinetobacter baumannii,sp,ampicillin/sulbactam,0.19601020455705642,0.1582380230932109,False
Acinetobacter baumannii,sp,cefepime,0.7665499011743322,0.16214801114003197,True
Acinetobacter baumannii,sp,cefotaxime,0.3774138611967089,0.2198325282631557,False
Acinetobacter baumannii,sp,ceftazidime,0.6596486900237918,0.17183448557942027,True
Acinetobacter baumannii,sp,ceftriaxone,0.3372116870035449,0.09627491307553959,False
Acinetobacter baumannii,sp,ciprofloxacin,0.6458249579853593,0.17745280507824734,True
Acinetobacter baumannii,sp,gentamicin,0.5994616474419514,0.30650141113735396,True
Acinetobacter baumannii,sp,imipenem,-0.318643275935857,0.1501806029454822,False
Acinetobacter baumannii,sp,levofloxacin,0.21938423314028305,0.37855311994883656,True
Acinetobacter baumannii,sp,meropenem,0.5148165257990097,0.127809651658518,True
Acinetobacter baumannii,sp,piperacillin/tazobactam,0.459358989234917,0.35774077620452627,True
Acinetobacter baumannii,sp,trimethoprim/sulfamethoxazole,0.5018062214549632,0.3819367850368358,True
Acinetobacter baumannii,ur,Sensitive/None,0.01885885964396898,0.3046037026492099,True
Acinetobacter baumannii,ur,amikacin,0.2443348981347375,0.18379723169080575,False
Acinetobacter baumannii,ur,ampicillin/sulbactam,0.23336861689888083,0.1823960645598729,False
Acinetobacter baumannii,ur,cefepime,0.71506691152317,0.06533238510353667,True
Acinetobacter baumannii,ur,cefotaxime,0.30419676368229565,0.21313894939978595,False
Acinetobacter baumannii,ur,ceftazidime,0.5469742340727002,0.18616248179736639,True
Acinetobacter baumannii,ur,ceftriaxone,0.306975619554678,0.07787545239083926,False
Acinetobacter baumannii,ur,ciprofloxacin,0.18484778238997165,0.14190400549757676,False
Acinetobacter baumannii,ur,gentamicin,0.5079598144028169,0.21165240398203977,True
Acinetobacter baumannii,ur,imipenem,0.26545576486755373,0.07497787476399875,False
Acinetobacter baumannii,ur,levofloxacin,0.07601802902682644,0.032188955345152204,False
Acinetobacter baumannii,ur,meropenem,-0.18062853247658417,0.07802348801214432,False
Acinetobacter baumannii,ur,piperacillin/tazobactam,0.5281749776518588,0.25958506335785403,True
Acinetobacter baumannii,ur,trimethoprim/sulfamethoxazole,0.10616655127242726,0.1343640599736755,False
Escherichia coli,bl,Sensitive/None,0.4739857779206822,0.28347184411272786,False
Escherichia coli,bl,amikacin,0.22638729430568508,0.20459901749844622,False
Escherichia coli,bl,amoxicillin/clavulanic acid,0.32281287942640935,0.2437398940750548,False
Escherichia coli,bl,ampicillin,0.4588613392198125,0.4921134464614827,True
Escherichia coli,bl,ampicillin/sulbactam,0.25922517590059674,0.0,False
Escherichia coli,bl,cefepime,0.588662855146128,0.21592629157214338,True
Escherichia coli,bl,ceftazidime,0.521421588155413,0.280835465192216,True
Escherichia coli,bl,ceftriaxone,0.12865517030608606,0.19310278416571314,False
Escherichia coli,bl,cefuroxime,0.21058640030228268,0.12795484105190535,False
Escherichia coli,bl,ciprofloxacin,0.10043438259978243,0.3323064293108333,True
