organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Acinetobacter baumannii,2015,1,bl,gentamicin,18,155,11.61
Acinetobacter baumannii,2015,1,bl,amikacin,16,155,10.32
Acinetobacter baumannii,2015,1,bl,ceftazidime,16,155,10.32
Acinetobacter baumannii,2015,1,bl,ciprofloxacin,15,155,9.68
Acinetobacter baumannii,2015,1,bl,piperacillin/tazobactam,15,155,9.68
Acinetobacter baumannii,2015,1,bl,imipenem,14,155,9.03
Acinetobacter baumannii,2015,1,bl,meropenem,14,155,9.03
Acinetobacter baumannii,2015,1,bl,trimethoprim/sulfamethoxazole,14,155,9.03
Acinetobacter baumannii,2015,1,bl,levofloxacin,11,155,7.1
Acinetobacter baumannii,2015,1,bl,cefotaxime,6,155,3.87
Acinetobacter baumannii,2015,1,bl,,6,155,3.87
Acinetobacter baumannii,2015,1,bl,ceftriaxone,5,155,3.23
Acinetobacter baumannii,2015,1,bl,cefepime,3,155,1.94
Acinetobacter baumannii,2015,1,bl,ampicillin/sulbactam,2,155,1.29
Acinetobacter baumannii,2015,2,bl,amikacin,17,147,11.56
Acinetobacter baumannii,2015,2,bl,ceftazidime,16,147,10.88
Acinetobacter baumannii,2015,2,bl,gentamicin,16,147,10.88
Acinetobacter baumannii,2015,2,bl,meropenem,15,147,10.2
Acinetobacter baumannii,2015,2,bl,ciprofloxacin,14,147,9.52
Acinetobacter baumannii,2015,2,bl,piperacillin/tazobactam,13,147,8.84
Acinetobacter baumannii,2015,2,bl,trimethoprim/sulfamethoxazole,13,147,8.84
Acinetobacter baumannii,2015,2,bl,imipenem,11,147,7.48
Acinetobacter baumannii,2015,2,bl,cefotaxime,8,147,5.44
Acinetobacter baumannii,2015,2,bl,,8,147,5.44
Acinetobacter baumannii,2015,2,bl,ceftriaxone,6,147,4.08
Acinetobacter baumannii,2015,2,bl,cefepime,4,147,2.72
Acinetobacter baumannii,2015,2,bl,ampicillin/sulbactam,3,147,2.04
Acinetobacter baumannii,2015,2,bl,levofloxacin,3,147,2.04
Acinetobacter baumannii,2015,3,bl,ceftazidime,17,167,10.18
Acinetobacter baumannii,2015,3,bl,gentamicin,16,167,9.58
Acinetobacter baumannii,2015,3,bl,meropenem,16,167,9.58
Acinetobacter baumannii,2015,3,bl,ciprofloxacin,15,167,8.98
Acinetobacter baumannii,2015,3,bl,trimethoprim/sulfamethoxazole,15,167,8.98
Acinetobacter baumannii,2015,3,bl,imipenem,14,167,8.38
Acinetobacter baumannii,2015,3,bl,amikacin,13,167,7.78
Acinetobacter baumannii,2015,3,bl,piperacillin/tazobactam,13,167,7.78
Acinetobacter baumannii,2015,3,bl,cefotaxime,11,167,6.59
Acinetobacter baumannii,2015,3,bl,ampicillin/sulbactam,9,167,5.39
Acinetobacter baumannii,2015,3,bl,ceftriaxone,9,167,5.39
Acinetobacter baumannii,2015,3,bl,,7,167,4.19
Acinetobacter baumannii,2015,3,bl,cefepime,6,167,3.59
Acinetobacter baumannii,2015,3,bl,levofloxacin,6,167,3.59
Acinetobacter baumannii,2015,4,bl,ciprofloxacin,16,142,11.27
Acinetobacter baumannii,2015,4,bl,ceftazidime,15,142,10.56
Acinetobacter baumannii,2015,4,bl,meropenem,15,142,10.56
Acinetobacter baumannii,2015,4,bl,gentamicin,14,142,9.86
Acinetobacter baumannii,2015,4,bl,imipenem,14,142,9.86
Acinetobacter baumannii,2015,4,bl,amikacin,12,142,8.45
Acinetobacter baumannii,2015,4,bl,piperacillin/tazobactam,12,142,8.45
Acinetobacter baumannii,2015,4,bl,trimethoprim/sulfamethoxazole,12,142,8.45
Acinetobacter baumannii,2015,4,bl,cefotaxime,11,142,7.75
Acinetobacter baumannii,2015,4,bl,ceftriaxone,7,142,4.93
Acinetobacter baumannii,2015,4,bl,levofloxacin,4,142,2.82
Acinetobacter baumannii,2015,4,bl,,4,142,2.82
Acinetobacter baumannii,2015,4,bl,ampicillin/sulbactam,3,142,2.11
Acinetobacter baumannii,2015,4,bl,cefepime,3,142,2.11
Acinetobacter baumannii,2015,5,bl,ciprofloxacin,17,162,10.49
Acinetobacter baumannii,2015,5,bl,gentamicin,17,162,10.49
Acinetobacter baumannii,2015,5,bl,ceftazidime,16,162,9.88
Acinetobacter baumannii,2015,5,bl,meropenem,15,162,9.26
Acinetobacter baumannii,2015,5,bl,trimethoprim/sulfamethoxazole,15,162,9.26
Acinetobacter baumannii,2015,5,bl,amikacin,14,162,8.64
Acinetobacter baumannii,2015,5,bl,imipenem,13,162,8.02
Acinetobacter baumannii,2015,5,bl,piperacillin/tazobactam,13,162,8.02
Acinetobacter baumannii,2015,5,bl,cefotaxime,11,162,6.79
Acinetobacter baumannii,2015,5,bl,,11,162,6.79
Acinetobacter baumannii,2015,5,bl,ceftriaxone,10,162,6.17
Acinetobacter baumannii,2015,5,bl,levofloxacin,6,162,3.7
Acinetobacter baumannii,2015,5,bl,ampicillin/sulbactam,2,162,1.23
Acinetobacter baumannii,2015,5,bl,cefepime,2,162,1.23
Acinetobacter baumannii,2015,6,bl,ceftazidime,13,113,11.5
Acinetobacter baumannii,2015,6,bl,ciprofloxacin,12,113,10.62
Acinetobacter baumannii,2015,6,bl,meropenem,12,113,10.62
Acinetobacter baumannii,2015,6,bl,gentamicin,10,113,8.85
Acinetobacter baumannii,2015,6,bl,piperacillin/tazobactam,9,113,7.96
Acinetobacter baumannii,2015,6,bl,,9,113,7.96
Acinetobacter baumannii,2015,6,bl,amikacin,8,113,7.08
Acinetobacter baumannii,2015,6,bl,cefotaxime,8,113,7.08
Acinetobacter baumannii,2015,6,bl,imipenem,8,113,7.08
Acinetobacter baumannii,2015,6,bl,trimethoprim/sulfamethoxazole,8,113,7.08
Acinetobacter baumannii,2015,6,bl,ampicillin/sulbactam,6,113,5.31
Acinetobacter baumannii,2015,6,bl,ceftriaxone,6,113,5.31
Acinetobacter baumannii,2015,6,bl,levofloxacin,4,113,3.54
Acinetobacter baumannii,2015,7,bl,ceftazidime,22,203,10.84
Acinetobacter baumannii,2015,7,bl,ciprofloxacin,21,203,10.34
Acinetobacter baumannii,2015,7,bl,meropenem,20,203,9.85
Acinetobacter baumannii,2015,7,bl,gentamicin,19,203,9.36
Acinetobacter baumannii,2015,7,bl,imipenem,19,203,9.36
Acinetobacter baumannii,2015,7,bl,trimethoprim/sulfamethoxazole,18,203,8.87
Acinetobacter baumannii,2015,7,bl,amikacin,16,203,7.88
Acinetobacter baumannii,2015,7,bl,piperacillin/tazobactam,15,203,7.39
Acinetobacter baumannii,2015,7,bl,cefotaxime,14,203,6.9
Acinetobacter baumannii,2015,7,bl,,13,203,6.4
Acinetobacter baumannii,2015,7,bl,ampicillin/sulbactam,8,203,3.94
Acinetobacter baumannii,2015,7,bl,ceftriaxone,8,203,3.94
Acinetobacter baumannii,2015,7,bl,cefepime,5,203,2.46
Acinetobacter baumannii,2015,7,bl,levofloxacin,5,203,2.46
Acinetobacter baumannii,2015,8,bl,ceftazidime,24,222,10.81
Acinetobacter baumannii,2015,8,bl,gentamicin,23,222,10.36
Acinetobacter baumannii,2015,8,bl,ciprofloxacin,21,222,9.46
Acinetobacter baumannii,2015,8,bl,meropenem,21,222,9.46
Acinetobacter baumannii,2015,8,bl,trimethoprim/sulfamethoxazole,21,222,9.46
Acinetobacter baumannii,2015,8,bl,imipenem,20,222,9.01
Acinetobacter baumannii,2015,8,bl,piperacillin/tazobactam,18,222,8.11
Acinetobacter baumannii,2015,8,bl,amikacin,16,222,7.21
Acinetobacter baumannii,2015,8,bl,,15,222,6.76
Acinetobacter baumannii,2015,8,bl,ceftriaxone,14,222,6.31
Acinetobacter baumannii,2015,8,bl,cefotaxime,11,222,4.95
Acinetobacter baumannii,2015,8,bl,levofloxacin,9,222,4.05
Acinetobacter baumannii,2015,8,bl,ampicillin/sulbactam,6,222,2.7
Acinetobacter baumannii,2015,8,bl,cefepime,3,222,1.35
Acinetobacter baumannii,2015,9,bl,trimethoprim/sulfamethoxazole,17,159,10.69
