organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Acinetobacter baumannii,2015,1,sp,ceftazidime,434,4080,10.64
Acinetobacter baumannii,2015,1,sp,ciprofloxacin,431,4080,10.56
Acinetobacter baumannii,2015,1,sp,meropenem,418,4080,10.25
Acinetobacter baumannii,2015,1,sp,gentamicin,408,4080,10.0
Acinetobacter baumannii,2015,1,sp,amikacin,369,4080,9.04
Acinetobacter baumannii,2015,1,sp,imipenem,362,4080,8.87
Acinetobacter baumannii,2015,1,sp,trimethoprim/sulfamethoxazole,347,4080,8.5
Acinetobacter baumannii,2015,1,sp,piperacillin/tazobactam,346,4080,8.48
Acinetobacter baumannii,2015,1,sp,cefotaxime,239,4080,5.86
Acinetobacter baumannii,2015,1,sp,ceftriaxone,198,4080,4.85
Acinetobacter baumannii,2015,1,sp,levofloxacin,189,4080,4.63
Acinetobacter baumannii,2015,1,sp,ampicillin/sulbactam,165,4080,4.04
Acinetobacter baumannii,2015,1,sp,cefepime,111,4080,2.72
Acinetobacter baumannii,2015,1,sp,,63,4080,1.54
Acinetobacter baumannii,2015,2,sp,ceftazidime,357,3341,10.69
Acinetobacter baumannii,2015,2,sp,ciprofloxacin,356,3341,10.66
Acinetobacter baumannii,2015,2,sp,meropenem,350,3341,10.48
Acinetobacter baumannii,2015,2,sp,gentamicin,330,3341,9.88
Acinetobacter baumannii,2015,2,sp,imipenem,298,3341,8.92
Acinetobacter baumannii,2015,2,sp,piperacillin/tazobactam,294,3341,8.8
Acinetobacter baumannii,2015,2,sp,amikacin,292,3341,8.74
Acinetobacter baumannii,2015,2,sp,trimethoprim/sulfamethoxazole,275,3341,8.23
Acinetobacter baumannii,2015,2,sp,cefotaxime,195,3341,5.84
Acinetobacter baumannii,2015,2,sp,ceftriaxone,160,3341,4.79
Acinetobacter baumannii,2015,2,sp,levofloxacin,156,3341,4.67
Acinetobacter baumannii,2015,2,sp,ampicillin/sulbactam,127,3341,3.8
Acinetobacter baumannii,2015,2,sp,cefepime,87,3341,2.6
Acinetobacter baumannii,2015,2,sp,,64,3341,1.92
Acinetobacter baumannii,2015,3,sp,ciprofloxacin,398,3734,10.66
Acinetobacter baumannii,2015,3,sp,ceftazidime,397,3734,10.63
Acinetobacter baumannii,2015,3,sp,meropenem,385,3734,10.31
Acinetobacter baumannii,2015,3,sp,gentamicin,361,3734,9.67
Acinetobacter baumannii,2015,3,sp,imipenem,332,3734,8.89
Acinetobacter baumannii,2015,3,sp,amikacin,330,3734,8.84
Acinetobacter baumannii,2015,3,sp,piperacillin/tazobactam,314,3734,8.41
Acinetobacter baumannii,2015,3,sp,trimethoprim/sulfamethoxazole,312,3734,8.36
Acinetobacter baumannii,2015,3,sp,cefotaxime,213,3734,5.7
Acinetobacter baumannii,2015,3,sp,levofloxacin,195,3734,5.22
Acinetobacter baumannii,2015,3,sp,ceftriaxone,182,3734,4.87
Acinetobacter baumannii,2015,3,sp,ampicillin/sulbactam,159,3734,4.26
Acinetobacter baumannii,2015,3,sp,cefepime,97,3734,2.6
Acinetobacter baumannii,2015,3,sp,,59,3734,1.58
Acinetobacter baumannii,2015,4,sp,ciprofloxacin,376,3394,11.08
Acinetobacter baumannii,2015,4,sp,ceftazidime,370,3394,10.9
Acinetobacter baumannii,2015,4,sp,meropenem,360,3394,10.61
Acinetobacter baumannii,2015,4,sp,gentamicin,307,3394,9.05
Acinetobacter baumannii,2015,4,sp,trimethoprim/sulfamethoxazole,304,3394,8.96
Acinetobacter baumannii,2015,4,sp,imipenem,303,3394,8.93
Acinetobacter baumannii,2015,4,sp,piperacillin/tazobactam,296,3394,8.72
Acinetobacter baumannii,2015,4,sp,amikacin,294,3394,8.66
Acinetobacter baumannii,2015,4,sp,cefotaxime,209,3394,6.16
Acinetobacter baumannii,2015,4,sp,ceftriaxone,144,3394,4.24
Acinetobacter baumannii,2015,4,sp,levofloxacin,143,3394,4.21
Acinetobacter baumannii,2015,4,sp,ampicillin/sulbactam,129,3394,3.8
Acinetobacter baumannii,2015,4,sp,cefepime,87,3394,2.56
Acinetobacter baumannii,2015,4,sp,,72,3394,2.12
Acinetobacter baumannii,2015,5,sp,ceftazidime,302,2861,10.56
Acinetobacter baumannii,2015,5,sp,ciprofloxacin,300,2861,10.49
Acinetobacter baumannii,2015,5,sp,meropenem,291,2861,10.17
Acinetobacter baumannii,2015,5,sp,gentamicin,273,2861,9.54
Acinetobacter baumannii,2015,5,sp,trimethoprim/sulfamethoxazole,254,2861,8.88
Acinetobacter baumannii,2015,5,sp,piperacillin/tazobactam,253,2861,8.84
Acinetobacter baumannii,2015,5,sp,amikacin,239,2861,8.35
Acinetobacter baumannii,2015,5,sp,imipenem,231,2861,8.07
Acinetobacter baumannii,2015,5,sp,cefotaxime,198,2861,6.92
Acinetobacter baumannii,2015,5,sp,ceftriaxone,158,2861,5.52
Acinetobacter baumannii,2015,5,sp,levofloxacin,138,2861,4.82
Acinetobacter baumannii,2015,5,sp,ampicillin/sulbactam,98,2861,3.43
Acinetobacter baumannii,2015,5,sp,,75,2861,2.62
Acinetobacter baumannii,2015,5,sp,cefepime,51,2861,1.78
Acinetobacter baumannii,2015,6,sp,ceftazidime,353,3281,10.76
Acinetobacter baumannii,2015,6,sp,meropenem,347,3281,10.58
Acinetobacter baumannii,2015,6,sp,ciprofloxacin,333,3281,10.15
Acinetobacter baumannii,2015,6,sp,gentamicin,305,3281,9.3
Acinetobacter baumannii,2015,6,sp,trimethoprim/sulfamethoxazole,299,3281,9.11
Acinetobacter baumannii,2015,6,sp,amikacin,285,3281,8.69
Acinetobacter baumannii,2015,6,sp,imipenem,282,3281,8.59
Acinetobacter baumannii,2015,6,sp,piperacillin/tazobactam,277,3281,8.44
Acinetobacter baumannii,2015,6,sp,cefotaxime,213,3281,6.49
Acinetobacter baumannii,2015,6,sp,ceftriaxone,155,3281,4.72
Acinetobacter baumannii,2015,6,sp,levofloxacin,152,3281,4.63
Acinetobacter baumannii,2015,6,sp,ampicillin/sulbactam,122,3281,3.72
Acinetobacter baumannii,2015,6,sp,,95,3281,2.9
Acinetobacter baumannii,2015,6,sp,cefepime,63,3281,1.92
Acinetobacter baumannii,2015,7,sp,ceftazidime,353,3386,10.43
Acinetobacter baumannii,2015,7,sp,ciprofloxacin,353,3386,10.43
Acinetobacter baumannii,2015,7,sp,meropenem,346,3386,10.22
Acinetobacter baumannii,2015,7,sp,gentamicin,304,3386,8.98
Acinetobacter baumannii,2015,7,sp,piperacillin/tazobactam,301,3386,8.89
Acinetobacter baumannii,2015,7,sp,trimethoprim/sulfamethoxazole,296,3386,8.74
Acinetobacter baumannii,2015,7,sp,imipenem,279,3386,8.24
Acinetobacter baumannii,2015,7,sp,amikacin,271,3386,8.0
Acinetobacter baumannii,2015,7,sp,cefotaxime,249,3386,7.35
Acinetobacter baumannii,2015,7,sp,levofloxacin,179,3386,5.29
Acinetobacter baumannii,2015,7,sp,ceftriaxone,164,3386,4.84
Acinetobacter baumannii,2015,7,sp,ampicillin/sulbactam,130,3386,3.84
Acinetobacter baumannii,2015,7,sp,,91,3386,2.69
Acinetobacter baumannii,2015,7,sp,cefepime,70,3386,2.07
Acinetobacter baumannii,2015,8,sp,ceftazidime,369,3438,10.73
Acinetobacter baumannii,2015,8,sp,meropenem,357,3438,10.38
Acinetobacter baumannii,2015,8,sp,ciprofloxacin,356,3438,10.35
Acinetobacter baumannii,2015,8,sp,imipenem,313,3438,9.1
Acinetobacter baumannii,2015,8,sp,gentamicin,310,3438,9.02
Acinetobacter baumannii,2015,8,sp,trimethoprim/sulfamethoxazole,284,3438,8.26
Acinetobacter baumannii,2015,8,sp,piperacillin/tazobactam,282,3438,8.2
Acinetobacter baumannii,2015,8,sp,amikacin,276,3438,8.03
Acinetobacter baumannii,2015,8,sp,cefotaxime,204,3438,5.93
Acinetobacter baumannii,2015,8,sp,ceftriaxone,187,3438,5.44
Acinetobacter baumannii,2015,8,sp,levofloxacin,177,3438,5.15
Acinetobacter baumannii,2015,8,sp,ampicillin/sulbactam,157,3438,4.57
Acinetobacter baumannii,2015,8,sp,,93,3438,2.71
Acinetobacter baumannii,2015,8,sp,cefepime,73,3438,2.12
Acinetobacter baumannii,2015,9,sp,ceftazidime,358,3347,10.7
Acinetobacter baumannii,2015,9,sp,ciprofloxacin,347,3347,10.37
Acinetobacter baumannii,2015,9,sp,meropenem,334,3347,9.98
Acinetobacter baumannii,2015,9,sp,gentamicin,321,3347,9.59
Acinetobacter baumannii,2015,9,sp,trimethoprim/sulfamethoxazole,307,3347,9.17
Acinetobacter baumannii,2015,9,sp,imipenem,289,3347,8.63
Acinetobacter baumannii,2015,9,sp,piperacillin/tazobactam,288,3347,8.6
Acinetobacter baumannii,2015,9,sp,amikacin,267,3347,7.98
Acinetobacter baumannii,2015,9,sp,cefotaxime,225,3347,6.72
Acinetobacter baumannii,2015,9,sp,ceftriaxone,178,3347,5.32
Acinetobacter baumannii,2015,9,sp,levofloxacin,153,3347,4.57
Acinetobacter baumannii,2015,9,sp,ampicillin/sulbactam,115,3347,3.44
Acinetobacter baumannii,2015,9,sp,,97,3347,2.9
Acinetobacter baumannii,2015,9,sp,cefepime,68,3347,2.03
Acinetobacter baumannii,2015,10,sp,ceftazidime,373,3568,10.45
Acinetobacter baumannii,2015,10,sp,ciprofloxacin,362,3568,10.15
Acinetobacter baumannii,2015,10,sp,meropenem,351,3568,9.84
Acinetobacter baumannii,2015,10,sp,gentamicin,349,3568,9.78
Acinetobacter baumannii,2015,10,sp,trimethoprim/sulfamethoxazole,320,3568,8.97
Acinetobacter baumannii,2015,10,sp,amikacin,304,3568,8.52
Acinetobacter baumannii,2015,10,sp,imipenem,303,3568,8.49
Acinetobacter baumannii,2015,10,sp,piperacillin/tazobactam,300,3568,8.41
Acinetobacter baumannii,2015,10,sp,cefotaxime,239,3568,6.7
Acinetobacter baumannii,2015,10,sp,ceftriaxone,189,3568,5.3
Acinetobacter baumannii,2015,10,sp,levofloxacin,179,3568,5.02
Acinetobacter baumannii,2015,10,sp,ampicillin/sulbactam,132,3568,3.7
Acinetobacter baumannii,2015,10,sp,,108,3568,3.03
Acinetobacter baumannii,2015,10,sp,cefepime,59,3568,1.65
Acinetobacter baumannii,2015,11,sp,ceftazidime,340,3191,10.65
Acinetobacter baumannii,2015,11,sp,ciprofloxacin,322,3191,10.09
Acinetobacter baumannii,2015,11,sp,meropenem,320,3191,10.03
Acinetobacter baumannii,2015,11,sp,gentamicin,297,3191,9.31
Acinetobacter baumannii,2015,11,sp,trimethoprim/sulfamethoxazole,294,3191,9.21
Acinetobacter baumannii,2015,11,sp,piperacillin/tazobactam,281,3191,8.81
Acinetobacter baumannii,2015,11,sp,imipenem,267,3191,8.37
Acinetobacter baumannii,2015,11,sp,amikacin,249,3191,7.8
Acinetobacter baumannii,2015,11,sp,cefotaxime,195,3191,6.11
Acinetobacter baumannii,2015,11,sp,ceftriaxone,191,3191,5.99
Acinetobacter baumannii,2015,11,sp,levofloxacin,191,3191,5.99
Acinetobacter baumannii,2015,11,sp,ampicillin/sulbactam,115,3191,3.6
Acinetobacter baumannii,2015,11,sp,,74,3191,2.32
