organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Acinetobacter baumannii,2015,1,ur,ceftazidime,16,147,10.88
Acinetobacter baumannii,2015,1,ur,ciprofloxacin,16,147,10.88
Acinetobacter baumannii,2015,1,ur,meropenem,16,147,10.88
Acinetobacter baumannii,2015,1,ur,trimethoprim/sulfamethoxazole,16,147,10.88
Acinetobacter baumannii,2015,1,ur,cefotaxime,15,147,10.2
Acinetobacter baumannii,2015,1,ur,piperacillin/tazobactam,15,147,10.2
Acinetobacter baumannii,2015,1,ur,gentamicin,12,147,8.16
Acinetobacter baumannii,2015,1,ur,amikacin,10,147,6.8
Acinetobacter baumannii,2015,1,ur,imipenem,8,147,5.44
Acinetobacter baumannii,2015,1,ur,levofloxacin,8,147,5.44
Acinetobacter baumannii,2015,1,ur,ceftriaxone,6,147,4.08
Acinetobacter baumannii,2015,1,ur,cefepime,4,147,2.72
Acinetobacter baumannii,2015,1,ur,,3,147,2.04
Acinetobacter baumannii,2015,1,ur,ampicillin/sulbactam,2,147,1.36
Acinetobacter baumannii,2015,2,ur,ciprofloxacin,23,198,11.62
Acinetobacter baumannii,2015,2,ur,ceftazidime,21,198,10.61
Acinetobacter baumannii,2015,2,ur,cefotaxime,19,198,9.6
Acinetobacter baumannii,2015,2,ur,trimethoprim/sulfamethoxazole,19,198,9.6
Acinetobacter baumannii,2015,2,ur,gentamicin,17,198,8.59
Acinetobacter baumannii,2015,2,ur,amikacin,16,198,8.08
Acinetobacter baumannii,2015,2,ur,piperacillin/tazobactam,16,198,8.08
Acinetobacter baumannii,2015,2,ur,meropenem,15,198,7.58
Acinetobacter baumannii,2015,2,ur,imipenem,14,198,7.07
Acinetobacter baumannii,2015,2,ur,levofloxacin,13,198,6.57
Acinetobacter baumannii,2015,2,ur,ceftriaxone,11,198,5.56
Acinetobacter baumannii,2015,2,ur,cefepime,6,198,3.03
Acinetobacter baumannii,2015,2,ur,,6,198,3.03
Acinetobacter baumannii,2015,2,ur,ampicillin/sulbactam,2,198,1.01
Acinetobacter baumannii,2015,3,ur,ceftazidime,31,292,10.62
Acinetobacter baumannii,2015,3,ur,gentamicin,29,292,9.93
Acinetobacter baumannii,2015,3,ur,meropenem,29,292,9.93
Acinetobacter baumannii,2015,3,ur,trimethoprim/sulfamethoxazole,29,292,9.93
Acinetobacter baumannii,2015,3,ur,ciprofloxacin,28,292,9.59
Acinetobacter baumannii,2015,3,ur,piperacillin/tazobactam,28,292,9.59
Acinetobacter baumannii,2015,3,ur,amikacin,24,292,8.22
Acinetobacter baumannii,2015,3,ur,cefotaxime,21,292,7.19
Acinetobacter baumannii,2015,3,ur,imipenem,19,292,6.51
Acinetobacter baumannii,2015,3,ur,levofloxacin,19,292,6.51
Acinetobacter baumannii,2015,3,ur,ceftriaxone,14,292,4.79
Acinetobacter baumannii,2015,3,ur,cefepime,9,292,3.08
Acinetobacter baumannii,2015,3,ur,ampicillin/sulbactam,7,292,2.4
Acinetobacter baumannii,2015,3,ur,,5,292,1.71
Acinetobacter baumannii,2015,4,ur,ciprofloxacin,22,188,11.7
Acinetobacter baumannii,2015,4,ur,ceftazidime,21,188,11.17
Acinetobacter baumannii,2015,4,ur,meropenem,20,188,10.64
Acinetobacter baumannii,2015,4,ur,gentamicin,17,188,9.04
Acinetobacter baumannii,2015,4,ur,piperacillin/tazobactam,17,188,9.04
Acinetobacter baumannii,2015,4,ur,cefotaxime,15,188,7.98
Acinetobacter baumannii,2015,4,ur,trimethoprim/sulfamethoxazole,15,188,7.98
Acinetobacter baumannii,2015,4,ur,imipenem,14,188,7.45
Acinetobacter baumannii,2015,4,ur,amikacin,12,188,6.38
Acinetobacter baumannii,2015,4,ur,cefepime,9,188,4.79
Acinetobacter baumannii,2015,4,ur,ceftriaxone,9,188,4.79
Acinetobacter baumannii,2015,4,ur,levofloxacin,8,188,4.26
Acinetobacter baumannii,2015,4,ur,ampicillin/sulbactam,6,188,3.19
Acinetobacter baumannii,2015,4,ur,,3,188,1.6
Acinetobacter baumannii,2015,5,ur,ceftazidime,31,291,10.65
Acinetobacter baumannii,2015,5,ur,piperacillin/tazobactam,29,291,9.97
Acinetobacter baumannii,2015,5,ur,cefotaxime,28,291,9.62
Acinetobacter baumannii,2015,5,ur,ciprofloxacin,28,291,9.62
Acinetobacter baumannii,2015,5,ur,gentamicin,28,291,9.62
Acinetobacter baumannii,2015,5,ur,meropenem,27,291,9.28
Acinetobacter baumannii,2015,5,ur,trimethoprim/sulfamethoxazole,26,291,8.93
Acinetobacter baumannii,2015,5,ur,imipenem,24,291,8.25
Acinetobacter baumannii,2015,5,ur,amikacin,22,291,7.56
Acinetobacter baumannii,2015,5,ur,ceftriaxone,17,291,5.84
Acinetobacter baumannii,2015,5,ur,levofloxacin,13,291,4.47
Acinetobacter baumannii,2015,5,ur,cefepime,8,291,2.75
Acinetobacter baumannii,2015,5,ur,ampicillin/sulbactam,5,291,1.72
Acinetobacter baumannii,2015,5,ur,,5,291,1.72
Acinetobacter baumannii,2015,6,ur,ciprofloxacin,43,383,11.23
Acinetobacter baumannii,2015,6,ur,ceftazidime,42,383,10.97
