organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Escherichia coli,2015,1,bl,ampicillin,233,930,25.05
Escherichia coli,2015,1,bl,trimethoprim/sulfamethoxazole,151,930,16.24
Escherichia coli,2015,1,bl,ciprofloxacin,114,930,12.26
Escherichia coli,2015,1,bl,ceftriaxone,82,930,8.82
Escherichia coli,2015,1,bl,gentamicin,81,930,8.71
Escherichia coli,2015,1,bl,ceftazidime,64,930,6.88
Escherichia coli,2015,1,bl,levofloxacin,51,930,5.48
Escherichia coli,2015,1,bl,amoxicillin/clavulanic acid,49,930,5.27
Escherichia coli,2015,1,bl,cefuroxime,36,930,3.87
Escherichia coli,2015,1,bl,,23,930,2.47
Escherichia coli,2015,1,bl,ampicillin/sulbactam,12,930,1.29
Escherichia coli,2015,1,bl,cefepime,11,930,1.18
Escherichia coli,2015,1,bl,norfloxacin,10,930,1.08
Escherichia coli,2015,1,bl,piperacillin/tazobactam,9,930,0.97
Escherichia coli,2015,1,bl,amikacin,4,930,0.43
Escherichia coli,2015,2,bl,ampicillin,198,749,26.44
Escherichia coli,2015,2,bl,trimethoprim/sulfamethoxazole,128,749,17.09
Escherichia coli,2015,2,bl,ciprofloxacin,99,749,13.22
Escherichia coli,2015,2,bl,ceftriaxone,57,749,7.61
Escherichia coli,2015,2,bl,gentamicin,56,749,7.48
Escherichia coli,2015,2,bl,ceftazidime,55,749,7.34
Escherichia coli,2015,2,bl,cefuroxime,35,749,4.67
Escherichia coli,2015,2,bl,levofloxacin,34,749,4.54
Escherichia coli,2015,2,bl,amoxicillin/clavulanic acid,28,749,3.74
Escherichia coli,2015,2,bl,,26,749,3.47
Escherichia coli,2015,2,bl,piperacillin/tazobactam,11,749,1.47
Escherichia coli,2015,2,bl,ampicillin/sulbactam,6,749,0.8
Escherichia coli,2015,2,bl,norfloxacin,6,749,0.8
Escherichia coli,2015,2,bl,amikacin,5,749,0.67
Escherichia coli,2015,2,bl,cefepime,3,749,0.4
Escherichia coli,2015,2,bl,imipenem,1,749,0.13
Escherichia coli,2015,2,bl,meropenem,1,749,0.13
Escherichia coli,2015,3,bl,ampicillin,188,743,25.3
Escherichia coli,2015,3,bl,trimethoprim/sulfamethoxazole,131,743,17.63
Escherichia coli,2015,3,bl,ciprofloxacin,96,743,12.92
Escherichia coli,2015,3,bl,gentamicin,67,743,9.02
Escherichia coli,2015,3,bl,ceftriaxone,57,743,7.67
Escherichia coli,2015,3,bl,amoxicillin/clavulanic acid,37,743,4.98
Escherichia coli,2015,3,bl,ceftazidime,36,743,4.85
Escherichia coli,2015,3,bl,cefuroxime,36,743,4.85
Escherichia coli,2015,3,bl,levofloxacin,35,743,4.71
Escherichia coli,2015,3,bl,,33,743,4.44
Escherichia coli,2015,3,bl,piperacillin/tazobactam,8,743,1.08
Escherichia coli,2015,3,bl,ampicillin/sulbactam,6,743,0.81
Escherichia coli,2015,3,bl,cefepime,5,743,0.67
Escherichia coli,2015,3,bl,amikacin,4,743,0.54
Escherichia coli,2015,3,bl,norfloxacin,4,743,0.54
Escherichia coli,2015,4,bl,ampicillin,187,703,26.6
Escherichia coli,2015,4,bl,trimethoprim/sulfamethoxazole,116,703,16.5
Escherichia coli,2015,4,bl,ciprofloxacin,95,703,13.51
Escherichia coli,2015,4,bl,gentamicin,61,703,8.68
Escherichia coli,2015,4,bl,ceftriaxone,54,703,7.68
Escherichia coli,2015,4,bl,ceftazidime,44,703,6.26
Escherichia coli,2015,4,bl,amoxicillin/clavulanic acid,33,703,4.69
Escherichia coli,2015,4,bl,cefuroxime,29,703,4.13
Escherichia coli,2015,4,bl,levofloxacin,25,703,3.56
Escherichia coli,2015,4,bl,,23,703,3.27
Escherichia coli,2015,4,bl,piperacillin/tazobactam,10,703,1.42
Escherichia coli,2015,4,bl,norfloxacin,8,703,1.14
Escherichia coli,2015,4,bl,ampicillin/sulbactam,7,703,1.0
Escherichia coli,2015,4,bl,cefepime,6,703,0.85
Escherichia coli,2015,4,bl,amikacin,4,703,0.57
Escherichia coli,2015,4,bl,imipenem,1,703,0.14
Escherichia coli,2015,5,bl,ampicillin,203,821,24.73
Escherichia coli,2015,5,bl,trimethoprim/sulfamethoxazole,117,821,14.25
Escherichia coli,2015,5,bl,ciprofloxacin,111,821,13.52
Escherichia coli,2015,5,bl,gentamicin,87,821,10.6
Escherichia coli,2015,5,bl,ceftriaxone,58,821,7.06
Escherichia coli,2015,5,bl,amoxicillin/clavulanic acid,50,821,6.09
Escherichia coli,2015,5,bl,ceftazidime,50,821,6.09
Escherichia coli,2015,5,bl,cefuroxime,39,821,4.75
Escherichia coli,2015,5,bl,levofloxacin,37,821,4.51
Escherichia coli,2015,5,bl,,32,821,3.9
Escherichia coli,2015,5,bl,piperacillin/tazobactam,10,821,1.22
Escherichia coli,2015,5,bl,ampicillin/sulbactam,9,821,1.1
Escherichia coli,2015,5,bl,norfloxacin,5,821,0.61
Escherichia coli,2015,5,bl,amikacin,4,821,0.49
Escherichia coli,2015,5,bl,cefepime,4,821,0.49
Escherichia coli,2015,5,bl,meropenem,3,821,0.37
Escherichia coli,2015,5,bl,imipenem,2,821,0.24
Escherichia coli,2015,6,bl,ampicillin,186,791,23.51
Escherichia coli,2015,6,bl,trimethoprim/sulfamethoxazole,130,791,16.43
Escherichia coli,2015,6,bl,ciprofloxacin,97,791,12.26
Escherichia coli,2015,6,bl,gentamicin,71,791,8.98
Escherichia coli,2015,6,bl,ceftriaxone,58,791,7.33
Escherichia coli,2015,6,bl,ceftazidime,55,791,6.95
Escherichia coli,2015,6,bl,amoxicillin/clavulanic acid,45,791,5.69
Escherichia coli,2015,6,bl,levofloxacin,35,791,4.42
Escherichia coli,2015,6,bl,cefuroxime,25,791,3.16
Escherichia coli,2015,6,bl,,25,791,3.16
Escherichia coli,2015,6,bl,piperacillin/tazobactam,23,791,2.91
Escherichia coli,2015,6,bl,amikacin,10,791,1.26
Escherichia coli,2015,6,bl,norfloxacin,10,791,1.26
Escherichia coli,2015,6,bl,ampicillin/sulbactam,9,791,1.14
Escherichia coli,2015,6,bl,cefepime,7,791,0.88
Escherichia coli,2015,6,bl,imipenem,4,791,0.51
Escherichia coli,2015,6,bl,meropenem,1,791,0.13
Escherichia coli,2015,7,bl,ampicillin,214,918,23.31
Escherichia coli,2015,7,bl,trimethoprim/sulfamethoxazole,147,918,16.01
Escherichia coli,2015,7,bl,ciprofloxacin,128,918,13.94
Escherichia coli,2015,7,bl,gentamicin,92,918,10.02
Escherichia coli,2015,7,bl,ceftriaxone,67,918,7.3
Escherichia coli,2015,7,bl,levofloxacin,54,918,5.88
Escherichia coli,2015,7,bl,ceftazidime,53,918,5.77
Escherichia coli,2015,7,bl,amoxicillin/clavulanic acid,39,918,4.25
Escherichia coli,2015,7,bl,,34,918,3.7
Escherichia coli,2015,7,bl,cefuroxime,31,918,3.38
Escherichia coli,2015,7,bl,norfloxacin,15,918,1.63
Escherichia coli,2015,7,bl,piperacillin/tazobactam,13,918,1.42
Escherichia coli,2015,7,bl,ampicillin/sulbactam,12,918,1.31
Escherichia coli,2015,7,bl,cefepime,10,918,1.09
Escherichia coli,2015,7,bl,amikacin,4,918,0.44
Escherichia coli,2015,7,bl,imipenem,2,918,0.22
Escherichia coli,2015,7,bl,meropenem,2,918,0.22
Escherichia coli,2015,7,bl,ertapenem,1,918,0.11
Escherichia coli,2015,8,bl,ampicillin,219,827,26.48
Escherichia coli,2015,8,bl,trimethoprim/sulfamethoxazole,146,827,17.65
Escherichia coli,2015,8,bl,ciprofloxacin,100,827,12.09
Escherichia coli,2015,8,bl,gentamicin,85,827,10.28
Escherichia coli,2015,8,bl,ceftriaxone,60,827,7.26
Escherichia coli,2015,8,bl,ceftazidime,52,827,6.29
Escherichia coli,2015,8,bl,amoxicillin/clavulanic acid,37,827,4.47
Escherichia coli,2015,8,bl,levofloxacin,36,827,4.35
Escherichia coli,2015,8,bl,,27,827,3.26
Escherichia coli,2015,8,bl,cefuroxime,26,827,3.14
Escherichia coli,2015,8,bl,piperacillin/tazobactam,10,827,1.21
Escherichia coli,2015,8,bl,cefepime,7,827,0.85
Escherichia coli,2015,8,bl,ampicillin/sulbactam,5,827,0.6
Escherichia coli,2015,8,bl,amikacin,4,827,0.48
Escherichia coli,2015,8,bl,imipenem,4,827,0.48
Escherichia coli,2015,8,bl,meropenem,4,827,0.48
Escherichia coli,2015,8,bl,norfloxacin,3,827,0.36
Escherichia coli,2015,8,bl,ertapenem,2,827,0.24
Escherichia coli,2015,9,bl,ampicillin,221,899,24.58
Escherichia coli,2015,9,bl,trimethoprim/sulfamethoxazole,153,899,17.02
Escherichia coli,2015,9,bl,ciprofloxacin,109,899,12.12
Escherichia coli,2015,9,bl,gentamicin,90,899,10.01
Escherichia coli,2015,9,bl,ceftriaxone,77,899,8.57
Escherichia coli,2015,9,bl,ceftazidime,61,899,6.79
Escherichia coli,2015,9,bl,cefuroxime,44,899,4.89
Escherichia coli,2015,9,bl,amoxicillin/clavulanic acid,39,899,4.34
