organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Escherichia coli,2015,1,sp,ampicillin,109,505,21.58
Escherichia coli,2015,1,sp,trimethoprim/sulfamethoxazole,78,505,15.45
Escherichia coli,2015,1,sp,ciprofloxacin,68,505,13.47
Escherichia coli,2015,1,sp,ceftriaxone,51,505,10.1
Escherichia coli,2015,1,sp,gentamicin,43,505,8.51
Escherichia coli,2015,1,sp,ceftazidime,37,505,7.33
Escherichia coli,2015,1,sp,cefuroxime,27,505,5.35
Escherichia coli,2015,1,sp,amoxicillin/clavulanic acid,26,505,5.15
Escherichia coli,2015,1,sp,levofloxacin,21,505,4.16
Escherichia coli,2015,1,sp,,13,505,2.57
Escherichia coli,2015,1,sp,ampicillin/sulbactam,8,505,1.58
Escherichia coli,2015,1,sp,norfloxacin,8,505,1.58
Escherichia coli,2015,1,sp,cefepime,7,505,1.39
Escherichia coli,2015,1,sp,piperacillin/tazobactam,5,505,0.99
Escherichia coli,2015,1,sp,amikacin,3,505,0.59
Escherichia coli,2015,1,sp,imipenem,1,505,0.2
Escherichia coli,2015,2,sp,ampicillin,121,578,20.93
Escherichia coli,2015,2,sp,trimethoprim/sulfamethoxazole,84,578,14.53
Escherichia coli,2015,2,sp,ciprofloxacin,77,578,13.32
Escherichia coli,2015,2,sp,gentamicin,53,578,9.17
Escherichia coli,2015,2,sp,ceftriaxone,51,578,8.82
Escherichia coli,2015,2,sp,ceftazidime,46,578,7.96
Escherichia coli,2015,2,sp,amoxicillin/clavulanic acid,30,578,5.19
Escherichia coli,2015,2,sp,cefuroxime,29,578,5.02
Escherichia coli,2015,2,sp,levofloxacin,27,578,4.67
Escherichia coli,2015,2,sp,ampicillin/sulbactam,13,578,2.25
Escherichia coli,2015,2,sp,cefepime,12,578,2.08
Escherichia coli,2015,2,sp,,11,578,1.9
Escherichia coli,2015,2,sp,norfloxacin,8,578,1.38
Escherichia coli,2015,2,sp,piperacillin/tazobactam,7,578,1.21
Escherichia coli,2015,2,sp,amikacin,4,578,0.69
Escherichia coli,2015,2,sp,imipenem,2,578,0.35
Escherichia coli,2015,2,sp,meropenem,2,578,0.35
Escherichia coli,2015,2,sp,ertapenem,1,578,0.17
Escherichia coli,2015,3,sp,ampicillin,95,465,20.43
Escherichia coli,2015,3,sp,ciprofloxacin,68,465,14.62
Escherichia coli,2015,3,sp,trimethoprim/sulfamethoxazole,65,465,13.98
Escherichia coli,2015,3,sp,ceftriaxone,50,465,10.75
Escherichia coli,2015,3,sp,gentamicin,42,465,9.03
Escherichia coli,2015,3,sp,levofloxacin,33,465,7.1
Escherichia coli,2015,3,sp,ceftazidime,28,465,6.02
Escherichia coli,2015,3,sp,amoxicillin/clavulanic acid,25,465,5.38
Escherichia coli,2015,3,sp,cefuroxime,20,465,4.3
Escherichia coli,2015,3,sp,,12,465,2.58
Escherichia coli,2015,3,sp,cefepime,10,465,2.15
Escherichia coli,2015,3,sp,piperacillin/tazobactam,7,465,1.51
Escherichia coli,2015,3,sp,ampicillin/sulbactam,3,465,0.65
Escherichia coli,2015,3,sp,norfloxacin,3,465,0.65
Escherichia coli,2015,3,sp,amikacin,2,465,0.43
Escherichia coli,2015,3,sp,ertapenem,1,465,0.22
Escherichia coli,2015,3,sp,meropenem,1,465,0.22
Escherichia coli,2015,4,sp,ampicillin,104,523,19.89
Escherichia coli,2015,4,sp,ciprofloxacin,67,523,12.81
Escherichia coli,2015,4,sp,trimethoprim/sulfamethoxazole,59,523,11.28
Escherichia coli,2015,4,sp,ceftriaxone,51,523,9.75
Escherichia coli,2015,4,sp,gentamicin,50,523,9.56
Escherichia coli,2015,4,sp,ceftazidime,39,523,7.46
Escherichia coli,2015,4,sp,amoxicillin/clavulanic acid,33,523,6.31
Escherichia coli,2015,4,sp,cefuroxime,29,523,5.54
Escherichia coli,2015,4,sp,levofloxacin,25,523,4.78
Escherichia coli,2015,4,sp,cefepime,20,523,3.82
Escherichia coli,2015,4,sp,,12,523,2.29
Escherichia coli,2015,4,sp,ampicillin/sulbactam,9,523,1.72
Escherichia coli,2015,4,sp,amikacin,8,523,1.53
Escherichia coli,2015,4,sp,piperacillin/tazobactam,7,523,1.34
Escherichia coli,2015,4,sp,norfloxacin,5,523,0.96
Escherichia coli,2015,4,sp,imipenem,2,523,0.38
Escherichia coli,2015,4,sp,meropenem,2,523,0.38
Escherichia coli,2015,4,sp,ertapenem,1,523,0.19
Escherichia coli,2015,5,sp,ampicillin,103,520,19.81
Escherichia coli,2015,5,sp,trimethoprim/sulfamethoxazole,73,520,14.04
Escherichia coli,2015,5,sp,ciprofloxacin,68,520,13.08
Escherichia coli,2015,5,sp,gentamicin,49,520,9.42
Escherichia coli,2015,5,sp,ceftazidime,44,520,8.46
Escherichia coli,2015,5,sp,amoxicillin/clavulanic acid,42,520,8.08
Escherichia coli,2015,5,sp,ceftriaxone,42,520,8.08
Escherichia coli,2015,5,sp,cefuroxime,32,520,6.15
Escherichia coli,2015,5,sp,levofloxacin,23,520,4.42
Escherichia coli,2015,5,sp,cefepime,15,520,2.88
