organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Escherichia coli,2015,1,ur,ampicillin,626,2931,21.36
Escherichia coli,2015,1,ur,trimethoprim/sulfamethoxazole,433,2931,14.77
Escherichia coli,2015,1,ur,norfloxacin,384,2931,13.1
Escherichia coli,2015,1,ur,ciprofloxacin,344,2931,11.74
Escherichia coli,2015,1,ur,gentamicin,259,2931,8.84
Escherichia coli,2015,1,ur,ceftriaxone,183,2931,6.24
Escherichia coli,2015,1,ur,ceftazidime,180,2931,6.14
Escherichia coli,2015,1,ur,amoxicillin/clavulanic acid,122,2931,4.16
Escherichia coli,2015,1,ur,cefuroxime,113,2931,3.86
Escherichia coli,2015,1,ur,levofloxacin,111,2931,3.79
Escherichia coli,2015,1,ur,,61,2931,2.08
Escherichia coli,2015,1,ur,piperacillin/tazobactam,38,2931,1.3
Escherichia coli,2015,1,ur,cefepime,33,2931,1.13
Escherichia coli,2015,1,ur,ampicillin/sulbactam,25,2931,0.85
Escherichia coli,2015,1,ur,amikacin,14,2931,0.48
Escherichia coli,2015,1,ur,imipenem,3,2931,0.1
Escherichia coli,2015,1,ur,ertapenem,1,2931,0.03
Escherichia coli,2015,1,ur,meropenem,1,2931,0.03
Escherichia coli,2015,2,ur,ampicillin,571,2794,20.44
Escherichia coli,2015,2,ur,trimethoprim/sulfamethoxazole,387,2794,13.85
Escherichia coli,2015,2,ur,norfloxacin,373,2794,13.35
Escherichia coli,2015,2,ur,ciprofloxacin,338,2794,12.1
Escherichia coli,2015,2,ur,gentamicin,245,2794,8.77
Escherichia coli,2015,2,ur,ceftriaxone,200,2794,7.16
Escherichia coli,2015,2,ur,ceftazidime,181,2794,6.48
Escherichia coli,2015,2,ur,levofloxacin,111,2794,3.97
Escherichia coli,2015,2,ur,cefuroxime,104,2794,3.72
Escherichia coli,2015,2,ur,amoxicillin/clavulanic acid,102,2794,3.65
Escherichia coli,2015,2,ur,,54,2794,1.93
Escherichia coli,2015,2,ur,cefepime,36,2794,1.29
