organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Enterococcus faecalis,2015,5,bl,chloramphenicol,1,3,33.33
Enterococcus faecalis,2015,5,bl,erythromycin,1,3,33.33
Enterococcus faecalis,2015,5,bl,tetracycline,1,3,33.33
Enterococcus faecalis,2020,1,bl,chloramphenicol,4,24,16.67
Enterococcus faecalis,2020,1,bl,ciprofloxacin,4,24,16.67
Enterococcus faecalis,2020,1,bl,erythromycin,4,24,16.67
Enterococcus faecalis,2020,1,bl,levofloxacin,4,24,16.67
Enterococcus faecalis,2020,1,bl,norfloxacin,4,24,16.67
Enterococcus faecalis,2020,1,bl,tetracycline,4,24,16.67
Enterococcus faecalis,2020,2,bl,,2,2,100.0
Enterococcus faecalis,2021,3,bl,,1,1,100.0
Enterococcus faecalis,2021,4,bl,ampicillin,1,7,14.29
Enterococcus faecalis,2021,4,bl,ciprofloxacin,1,7,14.29
Enterococcus faecalis,2021,4,bl,erythromycin,1,7,14.29
Enterococcus faecalis,2021,4,bl,levofloxacin,1,7,14.29
Enterococcus faecalis,2021,4,bl,norfloxacin,1,7,14.29
Enterococcus faecalis,2021,4,bl,penicillin,1,7,14.29
Enterococcus faecalis,2021,4,bl,tetracycline,1,7,14.29
Enterococcus faecalis,2021,5,bl,,1,1,100.0
Enterococcus faecalis,2021,8,bl,,1,1,100.0
