organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Enterococcus faecalis,2020,1,ur,tetracycline,31,142,21.83
Enterococcus faecalis,2020,1,ur,erythromycin,25,142,17.61
Enterococcus faecalis,2020,1,ur,ciprofloxacin,24,142,16.9
Enterococcus faecalis,2020,1,ur,norfloxacin,24,142,16.9
Enterococcus faecalis,2020,1,ur,levofloxacin,22,142,15.49
Enterococcus faecalis,2020,1,ur,chloramphenicol,8,142,5.63
Enterococcus faecalis,2020,1,ur,penicillin,4,142,2.82
Enterococcus faecalis,2020,1,ur,ampicillin,2,142,1.41
Enterococcus faecalis,2020,1,ur,,2,142,1.41
Enterococcus faecalis,2020,2,ur,tetracycline,31,128,24.22
Enterococcus faecalis,2020,2,ur,erythromycin,20,128,15.62
Enterococcus faecalis,2020,2,ur,ciprofloxacin,18,128,14.06
Enterococcus faecalis,2020,2,ur,levofloxacin,18,128,14.06
Enterococcus faecalis,2020,2,ur,chloramphenicol,17,128,13.28
Enterococcus faecalis,2020,2,ur,norfloxacin,16,128,12.5
Enterococcus faecalis,2020,2,ur,penicillin,6,128,4.69
Enterococcus faecalis,2020,2,ur,ampicillin,2,128,1.56
Enterococcus faecalis,2020,3,ur,tetracycline,18,84,21.43
Enterococcus faecalis,2020,3,ur,ciprofloxacin,14,84,16.67
Enterococcus faecalis,2020,3,ur,erythromycin,14,84,16.67
Enterococcus faecalis,2020,3,ur,levofloxacin,14,84,16.67
Enterococcus faecalis,2020,3,ur,norfloxacin,14,84,16.67
Enterococcus faecalis,2020,3,ur,chloramphenicol,10,84,11.9
Enterococcus faecalis,2020,4,ur,ciprofloxacin,1,2,50.0
Enterococcus faecalis,2020,4,ur,teicoplanin,1,2,50.0
Enterococcus faecalis,2020,6,ur,ciprofloxacin,5,25,20.0
Enterococcus faecalis,2020,6,ur,erythromycin,5,25,20.0
Enterococcus faecalis,2020,6,ur,levofloxacin,5,25,20.0
Enterococcus faecalis,2020,6,ur,tetracycline,5,25,20.0
Enterococcus faecalis,2020,6,ur,penicillin,3,25,12.0
Enterococcus faecalis,2020,6,ur,chloramphenicol,2,25,8.0
Enterococcus faecalis,2020,7,ur,chloramphenicol,1,2,50.0
Enterococcus faecalis,2020,7,ur,tetracycline,1,2,50.0
Enterococcus faecalis,2020,8,ur,tetracycline,3,9,33.33
Enterococcus faecalis,2020,8,ur,chloramphenicol,2,9,22.22
Enterococcus faecalis,2020,8,ur,erythromycin,2,9,22.22
Enterococcus faecalis,2020,8,ur,ciprofloxacin,1,9,11.11
Enterococcus faecalis,2020,8,ur,levofloxacin,1,9,11.11
Enterococcus faecalis,2020,9,ur,tetracycline,5,18,27.78
Enterococcus faecalis,2020,9,ur,erythromycin,4,18,22.22
Enterococcus faecalis,2020,9,ur,ciprofloxacin,3,18,16.67
Enterococcus faecalis,2020,9,ur,levofloxacin,3,18,16.67
Enterococcus faecalis,2020,9,ur,penicillin,2,18,11.11
Enterococcus faecalis,2020,9,ur,chloramphenicol,1,18,5.56
Enterococcus faecalis,2020,12,ur,erythromycin,4,13,30.77
Enterococcus faecalis,2020,12,ur,tetracycline,3,13,23.08
Enterococcus faecalis,2020,12,ur,ciprofloxacin,2,13,15.38
Enterococcus faecalis,2020,12,ur,levofloxacin,2,13,15.38
Enterococcus faecalis,2020,12,ur,penicillin,2,13,15.38
Enterococcus faecalis,2021,1,ur,tetracycline,3,11,27.27
Enterococcus faecalis,2021,1,ur,erythromycin,2,11,18.18
Enterococcus faecalis,2021,1,ur,,2,11,18.18
Enterococcus faecalis,2021,1,ur,chloramphenicol,1,11,9.09
Enterococcus faecalis,2021,1,ur,ciprofloxacin,1,11,9.09
Enterococcus faecalis,2021,1,ur,levofloxacin,1,11,9.09
Enterococcus faecalis,2021,1,ur,penicillin,1,11,9.09
Enterococcus faecalis,2021,2,ur,ciprofloxacin,1,5,20.0
Enterococcus faecalis,2021,2,ur,erythromycin,1,5,20.0
Enterococcus faecalis,2021,2,ur,levofloxacin,1,5,20.0
Enterococcus faecalis,2021,2,ur,penicillin,1,5,20.0
Enterococcus faecalis,2021,2,ur,tetracycline,1,5,20.0
Enterococcus faecalis,2021,3,ur,tetracycline,2,6,33.33
Enterococcus faecalis,2021,3,ur,ciprofloxacin,1,6,16.67
Enterococcus faecalis,2021,3,ur,erythromycin,1,6,16.67
Enterococcus faecalis,2021,3,ur,levofloxacin,1,6,16.67
Enterococcus faecalis,2021,3,ur,penicillin,1,6,16.67
Enterococcus faecalis,2021,4,ur,tetracycline,6,22,27.27
Enterococcus faecalis,2021,4,ur,ciprofloxacin,4,22,18.18
Enterococcus faecalis,2021,4,ur,erythromycin,4,22,18.18
Enterococcus faecalis,2021,4,ur,levofloxacin,4,22,18.18
Enterococcus faecalis,2021,4,ur,penicillin,3,22,13.64
Enterococcus faecalis,2021,4,ur,chloramphenicol,1,22,4.55
Enterococcus faecalis,2021,5,ur,ciprofloxacin,2,7,28.57
Enterococcus faecalis,2021,5,ur,tetracycline,2,7,28.57
Enterococcus faecalis,2021,5,ur,chloramphenicol,1,7,14.29
Enterococcus faecalis,2021,5,ur,erythromycin,1,7,14.29
Enterococcus faecalis,2021,5,ur,levofloxacin,1,7,14.29
Enterococcus faecalis,2021,6,ur,ciprofloxacin,1,5,20.0
Enterococcus faecalis,2021,6,ur,erythromycin,1,5,20.0
Enterococcus faecalis,2021,6,ur,levofloxacin,1,5,20.0
Enterococcus faecalis,2021,6,ur,penicillin,1,5,20.0
Enterococcus faecalis,2021,6,ur,tetracycline,1,5,20.0
Enterococcus faecalis,2021,7,ur,ciprofloxacin,2,9,22.22
Enterococcus faecalis,2021,7,ur,erythromycin,2,9,22.22
Enterococcus faecalis,2021,7,ur,levofloxacin,2,9,22.22
Enterococcus faecalis,2021,7,ur,tetracycline,2,9,22.22
Enterococcus faecalis,2021,7,ur,penicillin,1,9,11.11
Enterococcus faecalis,2023,1,ur,ciprofloxacin,2,8,25.0
Enterococcus faecalis,2023,1,ur,erythromycin,2,8,25.0
Enterococcus faecalis,2023,1,ur,levofloxacin,2,8,25.0
Enterococcus faecalis,2023,1,ur,tetracycline,2,8,25.0
Enterococcus faecalis,2024,1,ur,erythromycin,1,2,50.0
Enterococcus faecalis,2024,1,ur,tetracycline,1,2,50.0
Enterococcus faecalis,2024,3,ur,ciprofloxacin,1,4,25.0
Enterococcus faecalis,2024,3,ur,erythromycin,1,4,25.0
Enterococcus faecalis,2024,3,ur,levofloxacin,1,4,25.0
Enterococcus faecalis,2024,3,ur,penicillin,1,4,25.0
Enterococcus faecalis,2024,4,ur,tetracycline,3,10,30.0
Enterococcus faecalis,2024,4,ur,ciprofloxacin,2,10,20.0
Enterococcus faecalis,2024,4,ur,levofloxacin,2,10,20.0
Enterococcus faecalis,2024,4,ur,penicillin,2,10,20.0
Enterococcus faecalis,2024,4,ur,erythromycin,1,10,10.0
Enterococcus faecalis,2024,5,ur,levofloxacin,1,2,50.0
Enterococcus faecalis,2024,5,ur,tetracycline,1,2,50.0
Enterococcus faecalis,2024,6,ur,erythromycin,1,2,50.0
Enterococcus faecalis,2024,6,ur,tetracycline,1,2,50.0
Enterococcus faecalis,2024,7,ur,chloramphenicol,1,3,33.33
Enterococcus faecalis,2024,7,ur,erythromycin,1,3,33.33
Enterococcus faecalis,2024,7,ur,tetracycline,1,3,33.33
Enterococcus faecalis,2024,8,ur,chloramphenicol,1,5,20.0
Enterococcus faecalis,2024,8,ur,ciprofloxacin,1,5,20.0
Enterococcus faecalis,2024,8,ur,erythromycin,1,5,20.0
Enterococcus faecalis,2024,8,ur,levofloxacin,1,5,20.0
Enterococcus faecalis,2024,8,ur,tetracycline,1,5,20.0
Enterococcus faecalis,2024,12,ur,ciprofloxacin,1,4,25.0
Enterococcus faecalis,2024,12,ur,erythromycin,1,4,25.0
Enterococcus faecalis,2024,12,ur,teicoplanin,1,4,25.0
Enterococcus faecalis,2024,12,ur,tetracycline,1,4,25.0
