organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Enterococcus faecium,2015,5,bl,ampicillin,1,5,20.0
Enterococcus faecium,2015,5,bl,ciprofloxacin,1,5,20.0
Enterococcus faecium,2015,5,bl,erythromycin,1,5,20.0
Enterococcus faecium,2015,5,bl,levofloxacin,1,5,20.0
Enterococcus faecium,2015,5,bl,tetracycline,1,5,20.0
Enterococcus faecium,2020,1,bl,ampicillin,2,12,16.67
Enterococcus faecium,2020,1,bl,ciprofloxacin,2,12,16.67
Enterococcus faecium,2020,1,bl,erythromycin,2,12,16.67
Enterococcus faecium,2020,1,bl,levofloxacin,2,12,16.67
Enterococcus faecium,2020,1,bl,norfloxacin,2,12,16.67
Enterococcus faecium,2020,1,bl,penicillin,2,12,16.67
Enterococcus faecium,2021,2,bl,teicoplanin,1,2,50.0
Enterococcus faecium,2021,2,bl,vancomycin,1,2,50.0
Enterococcus faecium,2021,3,bl,ampicillin,1,9,11.11
Enterococcus faecium,2021,3,bl,ciprofloxacin,1,9,11.11
Enterococcus faecium,2021,3,bl,erythromycin,1,9,11.11
Enterococcus faecium,2021,3,bl,levofloxacin,1,9,11.11
Enterococcus faecium,2021,3,bl,penicillin,1,9,11.11
Enterococcus faecium,2021,3,bl,teicoplanin,1,9,11.11
Enterococcus faecium,2021,3,bl,tetracycline,1,9,11.11
Enterococcus faecium,2021,3,bl,vancomycin,1,9,11.11
Enterococcus faecium,2021,3,bl,,1,9,11.11
Enterococcus faecium,2021,8,bl,,2,2,100.0
Enterococcus faecium,2022,6,bl,ampicillin,1,6,16.67
Enterococcus faecium,2022,6,bl,ciprofloxacin,1,6,16.67
Enterococcus faecium,2022,6,bl,erythromycin,1,6,16.67
Enterococcus faecium,2022,6,bl,levofloxacin,1,6,16.67
Enterococcus faecium,2022,6,bl,penicillin,1,6,16.67
Enterococcus faecium,2022,6,bl,tetracycline,1,6,16.67
Enterococcus faecium,2024,8,bl,ampicillin,1,6,16.67
Enterococcus faecium,2024,8,bl,ciprofloxacin,1,6,16.67
Enterococcus faecium,2024,8,bl,erythromycin,1,6,16.67
Enterococcus faecium,2024,8,bl,levofloxacin,1,6,16.67
Enterococcus faecium,2024,8,bl,penicillin,1,6,16.67
Enterococcus faecium,2024,8,bl,tetracycline,1,6,16.67
Enterococcus faecium,2024,9,bl,ampicillin,1,8,12.5
Enterococcus faecium,2024,9,bl,ciprofloxacin,1,8,12.5
Enterococcus faecium,2024,9,bl,erythromycin,1,8,12.5
Enterococcus faecium,2024,9,bl,levofloxacin,1,8,12.5
Enterococcus faecium,2024,9,bl,penicillin,1,8,12.5
Enterococcus faecium,2024,9,bl,teicoplanin,1,8,12.5
Enterococcus faecium,2024,9,bl,tetracycline,1,8,12.5
Enterococcus faecium,2024,9,bl,vancomycin,1,8,12.5
