organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Enterococcus faecium,2020,1,ps,ampicillin,2,12,16.67
Enterococcus faecium,2020,1,ps,ciprofloxacin,2,12,16.67
Enterococcus faecium,2020,1,ps,erythromycin,2,12,16.67
Enterococcus faecium,2020,1,ps,levofloxacin,2,12,16.67
Enterococcus faecium,2020,1,ps,norfloxacin,2,12,16.67
Enterococcus faecium,2020,1,ps,penicillin,2,12,16.67
Enterococcus faecium,2020,3,ps,ampicillin,2,12,16.67
Enterococcus faecium,2020,3,ps,ciprofloxacin,2,12,16.67
Enterococcus faecium,2020,3,ps,erythromycin,2,12,16.67
Enterococcus faecium,2020,3,ps,levofloxacin,2,12,16.67
Enterococcus faecium,2020,3,ps,norfloxacin,2,12,16.67
Enterococcus faecium,2020,3,ps,penicillin,2,12,16.67
Enterococcus faecium,2024,10,ps,ampicillin,1,6,16.67
Enterococcus faecium,2024,10,ps,ciprofloxacin,1,6,16.67
Enterococcus faecium,2024,10,ps,erythromycin,1,6,16.67
Enterococcus faecium,2024,10,ps,levofloxacin,1,6,16.67
Enterococcus faecium,2024,10,ps,penicillin,1,6,16.67
Enterococcus faecium,2024,10,ps,tetracycline,1,6,16.67
