organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Enterococcus faecium,2019,8,ur,ampicillin,1,6,16.67
Enterococcus faecium,2019,8,ur,ciprofloxacin,1,6,16.67
Enterococcus faecium,2019,8,ur,erythromycin,1,6,16.67
Enterococcus faecium,2019,8,ur,levofloxacin,1,6,16.67
Enterococcus faecium,2019,8,ur,penicillin,1,6,16.67
Enterococcus faecium,2019,8,ur,tetracycline,1,6,16.67
Enterococcus faecium,2020,1,ur,ampicillin,20,128,15.62
Enterococcus faecium,2020,1,ur,erythromycin,20,128,15.62
Enterococcus faecium,2020,1,ur,penicillin,20,128,15.62
Enterococcus faecium,2020,1,ur,ciprofloxacin,18,128,14.06
Enterococcus faecium,2020,1,ur,levofloxacin,18,128,14.06
Enterococcus faecium,2020,1,ur,norfloxacin,18,128,14.06
Enterococcus faecium,2020,1,ur,tetracycline,14,128,10.94
Enterococcus faecium,2020,2,ur,erythromycin,30,197,15.23
Enterococcus faecium,2020,2,ur,penicillin,30,197,15.23
Enterococcus faecium,2020,2,ur,ampicillin,28,197,14.21
Enterococcus faecium,2020,2,ur,ciprofloxacin,28,197,14.21
Enterococcus faecium,2020,2,ur,levofloxacin,28,197,14.21
Enterococcus faecium,2020,2,ur,norfloxacin,26,197,13.2
Enterococcus faecium,2020,2,ur,tetracycline,23,197,11.68
Enterococcus faecium,2020,2,ur,teicoplanin,2,197,1.02
Enterococcus faecium,2020,2,ur,vancomycin,2,197,1.02
Enterococcus faecium,2020,3,ur,ciprofloxacin,8,48,16.67
Enterococcus faecium,2020,3,ur,erythromycin,8,48,16.67
Enterococcus faecium,2020,3,ur,levofloxacin,8,48,16.67
Enterococcus faecium,2020,3,ur,norfloxacin,8,48,16.67
Enterococcus faecium,2020,3,ur,ampicillin,6,48,12.5
Enterococcus faecium,2020,3,ur,penicillin,6,48,12.5
Enterococcus faecium,2020,3,ur,tetracycline,4,48,8.33
Enterococcus faecium,2020,4,ur,ampicillin,1,8,12.5
Enterococcus faecium,2020,4,ur,chloramphenicol,1,8,12.5
Enterococcus faecium,2020,4,ur,ciprofloxacin,1,8,12.5
Enterococcus faecium,2020,4,ur,erythromycin,1,8,12.5
Enterococcus faecium,2020,4,ur,penicillin,1,8,12.5
Enterococcus faecium,2020,4,ur,teicoplanin,1,8,12.5
Enterococcus faecium,2020,4,ur,tetracycline,1,8,12.5
Enterococcus faecium,2020,4,ur,vancomycin,1,8,12.5
Enterococcus faecium,2020,6,ur,ampicillin,1,6,16.67
Enterococcus faecium,2020,6,ur,ciprofloxacin,1,6,16.67
Enterococcus faecium,2020,6,ur,erythromycin,1,6,16.67
Enterococcus faecium,2020,6,ur,levofloxacin,1,6,16.67
Enterococcus faecium,2020,6,ur,penicillin,1,6,16.67
Enterococcus faecium,2020,6,ur,tetracycline,1,6,16.67
Enterococcus faecium,2021,1,ur,ampicillin,1,6,16.67
Enterococcus faecium,2021,1,ur,ciprofloxacin,1,6,16.67
Enterococcus faecium,2021,1,ur,erythromycin,1,6,16.67
Enterococcus faecium,2021,1,ur,levofloxacin,1,6,16.67
Enterococcus faecium,2021,1,ur,penicillin,1,6,16.67
Enterococcus faecium,2021,1,ur,tetracycline,1,6,16.67
Enterococcus faecium,2021,2,ur,ampicillin,1,10,10.0
Enterococcus faecium,2021,2,ur,chloramphenicol,1,10,10.0
Enterococcus faecium,2021,2,ur,ciprofloxacin,1,10,10.0
Enterococcus faecium,2021,2,ur,erythromycin,1,10,10.0
Enterococcus faecium,2021,2,ur,levofloxacin,1,10,10.0
Enterococcus faecium,2021,2,ur,norfloxacin,1,10,10.0
Enterococcus faecium,2021,2,ur,penicillin,1,10,10.0
Enterococcus faecium,2021,2,ur,teicoplanin,1,10,10.0
Enterococcus faecium,2021,2,ur,tetracycline,1,10,10.0
Enterococcus faecium,2021,2,ur,vancomycin,1,10,10.0
Enterococcus faecium,2021,6,ur,ampicillin,2,16,12.5
Enterococcus faecium,2021,6,ur,ciprofloxacin,2,16,12.5
Enterococcus faecium,2021,6,ur,erythromycin,2,16,12.5
Enterococcus faecium,2021,6,ur,levofloxacin,2,16,12.5
Enterococcus faecium,2021,6,ur,penicillin,2,16,12.5
Enterococcus faecium,2021,6,ur,tetracycline,2,16,12.5
Enterococcus faecium,2021,6,ur,chloramphenicol,1,16,6.25
Enterococcus faecium,2021,6,ur,norfloxacin,1,16,6.25
Enterococcus faecium,2021,6,ur,teicoplanin,1,16,6.25
Enterococcus faecium,2021,6,ur,vancomycin,1,16,6.25
Enterococcus faecium,2021,7,ur,ampicillin,2,16,12.5
Enterococcus faecium,2021,7,ur,ciprofloxacin,2,16,12.5
Enterococcus faecium,2021,7,ur,erythromycin,2,16,12.5
Enterococcus faecium,2021,7,ur,levofloxacin,2,16,12.5
Enterococcus faecium,2021,7,ur,penicillin,2,16,12.5
Enterococcus faecium,2021,7,ur,tetracycline,2,16,12.5
Enterococcus faecium,2021,7,ur,chloramphenicol,1,16,6.25
Enterococcus faecium,2021,7,ur,norfloxacin,1,16,6.25
Enterococcus faecium,2021,7,ur,teicoplanin,1,16,6.25
Enterococcus faecium,2021,7,ur,vancomycin,1,16,6.25
Enterococcus faecium,2021,10,ur,ampicillin,1,7,14.29
Enterococcus faecium,2021,10,ur,ciprofloxacin,1,7,14.29
Enterococcus faecium,2021,10,ur,erythromycin,1,7,14.29
Enterococcus faecium,2021,10,ur,levofloxacin,1,7,14.29
Enterococcus faecium,2021,10,ur,penicillin,1,7,14.29
Enterococcus faecium,2021,10,ur,tetracycline,1,7,14.29
Enterococcus faecium,2021,10,ur,vancomycin,1,7,14.29
Enterococcus faecium,2021,11,ur,ampicillin,1,6,16.67
Enterococcus faecium,2021,11,ur,ciprofloxacin,1,6,16.67
Enterococcus faecium,2021,11,ur,erythromycin,1,6,16.67
Enterococcus faecium,2021,11,ur,levofloxacin,1,6,16.67
Enterococcus faecium,2021,11,ur,penicillin,1,6,16.67
Enterococcus faecium,2021,11,ur,tetracycline,1,6,16.67
Enterococcus faecium,2022,7,ur,ampicillin,2,15,13.33
Enterococcus faecium,2022,7,ur,ciprofloxacin,2,15,13.33
Enterococcus faecium,2022,7,ur,erythromycin,2,15,13.33
Enterococcus faecium,2022,7,ur,levofloxacin,2,15,13.33
Enterococcus faecium,2022,7,ur,penicillin,2,15,13.33
Enterococcus faecium,2022,7,ur,teicoplanin,2,15,13.33
Enterococcus faecium,2022,7,ur,vancomycin,2,15,13.33
Enterococcus faecium,2022,7,ur,tetracycline,1,15,6.67
Enterococcus faecium,2023,10,ur,ampicillin,1,6,16.67
Enterococcus faecium,2023,10,ur,ciprofloxacin,1,6,16.67
Enterococcus faecium,2023,10,ur,erythromycin,1,6,16.67
Enterococcus faecium,2023,10,ur,levofloxacin,1,6,16.67
Enterococcus faecium,2023,10,ur,penicillin,1,6,16.67
Enterococcus faecium,2023,10,ur,tetracycline,1,6,16.67
Enterococcus faecium,2024,1,ur,ampicillin,1,8,12.5
Enterococcus faecium,2024,1,ur,ciprofloxacin,1,8,12.5
Enterococcus faecium,2024,1,ur,erythromycin,1,8,12.5
Enterococcus faecium,2024,1,ur,levofloxacin,1,8,12.5
Enterococcus faecium,2024,1,ur,penicillin,1,8,12.5
Enterococcus faecium,2024,1,ur,teicoplanin,1,8,12.5
Enterococcus faecium,2024,1,ur,tetracycline,1,8,12.5
Enterococcus faecium,2024,1,ur,vancomycin,1,8,12.5
Enterococcus faecium,2024,3,ur,ampicillin,1,6,16.67
Enterococcus faecium,2024,3,ur,ciprofloxacin,1,6,16.67
Enterococcus faecium,2024,3,ur,erythromycin,1,6,16.67
Enterococcus faecium,2024,3,ur,levofloxacin,1,6,16.67
Enterococcus faecium,2024,3,ur,penicillin,1,6,16.67
Enterococcus faecium,2024,3,ur,vancomycin,1,6,16.67
