organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Klebsiella pneumoniae,2015,1,bl,ampicillin,84,203,41.38
Klebsiella pneumoniae,2015,1,bl,ciprofloxacin,20,203,9.85
Klebsiella pneumoniae,2015,1,bl,trimethoprim/sulfamethoxazole,20,203,9.85
Klebsiella pneumoniae,2015,1,bl,ceftazidime,17,203,8.37
Klebsiella pneumoniae,2015,1,bl,ceftriaxone,17,203,8.37
Klebsiella pneumoniae,2015,1,bl,amoxicillin/clavulanic acid,11,203,5.42
Klebsiella pneumoniae,2015,1,bl,gentamicin,8,203,3.94
Klebsiella pneumoniae,2015,1,bl,piperacillin/tazobactam,7,203,3.45
Klebsiella pneumoniae,2015,1,bl,ampicillin/sulbactam,4,203,1.97
Klebsiella pneumoniae,2015,1,bl,cefepime,4,203,1.97
Klebsiella pneumoniae,2015,1,bl,cefuroxime,4,203,1.97
Klebsiella pneumoniae,2015,1,bl,levofloxacin,3,203,1.48
Klebsiella pneumoniae,2015,1,bl,norfloxacin,3,203,1.48
Klebsiella pneumoniae,2015,1,bl,amikacin,1,203,0.49
Klebsiella pneumoniae,2015,2,bl,ampicillin,89,201,44.28
Klebsiella pneumoniae,2015,2,bl,trimethoprim/sulfamethoxazole,20,201,9.95
Klebsiella pneumoniae,2015,2,bl,ciprofloxacin,19,201,9.45
Klebsiella pneumoniae,2015,2,bl,amoxicillin/clavulanic acid,15,201,7.46
Klebsiella pneumoniae,2015,2,bl,ceftriaxone,14,201,6.97
Klebsiella pneumoniae,2015,2,bl,ceftazidime,13,201,6.47
Klebsiella pneumoniae,2015,2,bl,cefuroxime,9,201,4.48
Klebsiella pneumoniae,2015,2,bl,gentamicin,9,201,4.48
Klebsiella pneumoniae,2015,2,bl,piperacillin/tazobactam,6,201,2.99
Klebsiella pneumoniae,2015,2,bl,levofloxacin,2,201,1.0
Klebsiella pneumoniae,2015,2,bl,amikacin,1,201,0.5
Klebsiella pneumoniae,2015,2,bl,ampicillin/sulbactam,1,201,0.5
Klebsiella pneumoniae,2015,2,bl,cefepime,1,201,0.5
Klebsiella pneumoniae,2015,2,bl,imipenem,1,201,0.5
Klebsiella pneumoniae,2015,2,bl,meropenem,1,201,0.5
Klebsiella pneumoniae,2015,3,bl,ampicillin,64,153,41.83
Klebsiella pneumoniae,2015,3,bl,trimethoprim/sulfamethoxazole,16,153,10.46
Klebsiella pneumoniae,2015,3,bl,ceftriaxone,12,153,7.84
Klebsiella pneumoniae,2015,3,bl,ciprofloxacin,12,153,7.84
Klebsiella pneumoniae,2015,3,bl,amoxicillin/clavulanic acid,11,153,7.19
Klebsiella pneumoniae,2015,3,bl,ceftazidime,11,153,7.19
Klebsiella pneumoniae,2015,3,bl,gentamicin,7,153,4.58
Klebsiella pneumoniae,2015,3,bl,piperacillin/tazobactam,7,153,4.58
