organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Klebsiella pneumoniae,2015,1,sp,ampicillin,405,1355,29.89
Klebsiella pneumoniae,2015,1,sp,ciprofloxacin,157,1355,11.59
Klebsiella pneumoniae,2015,1,sp,trimethoprim/sulfamethoxazole,144,1355,10.63
Klebsiella pneumoniae,2015,1,sp,ceftazidime,120,1355,8.86
Klebsiella pneumoniae,2015,1,sp,ceftriaxone,117,1355,8.63
Klebsiella pneumoniae,2015,1,sp,amoxicillin/clavulanic acid,87,1355,6.42
Klebsiella pneumoniae,2015,1,sp,gentamicin,75,1355,5.54
Klebsiella pneumoniae,2015,1,sp,piperacillin/tazobactam,60,1355,4.43
Klebsiella pneumoniae,2015,1,sp,cefuroxime,47,1355,3.47
Klebsiella pneumoniae,2015,1,sp,levofloxacin,41,1355,3.03
Klebsiella pneumoniae,2015,1,sp,cefepime,33,1355,2.44
Klebsiella pneumoniae,2015,1,sp,ampicillin/sulbactam,26,1355,1.92
Klebsiella pneumoniae,2015,1,sp,norfloxacin,12,1355,0.89
Klebsiella pneumoniae,2015,1,sp,imipenem,11,1355,0.81
Klebsiella pneumoniae,2015,1,sp,amikacin,9,1355,0.66
Klebsiella pneumoniae,2015,1,sp,meropenem,7,1355,0.52
Klebsiella pneumoniae,2015,1,sp,ertapenem,4,1355,0.3
Klebsiella pneumoniae,2015,2,sp,ampicillin,385,1186,32.46
Klebsiella pneumoniae,2015,2,sp,trimethoprim/sulfamethoxazole,140,1186,11.8
Klebsiella pneumoniae,2015,2,sp,ciprofloxacin,125,1186,10.54
Klebsiella pneumoniae,2015,2,sp,ceftriaxone,108,1186,9.11
Klebsiella pneumoniae,2015,2,sp,ceftazidime,105,1186,8.85
Klebsiella pneumoniae,2015,2,sp,amoxicillin/clavulanic acid,70,1186,5.9
Klebsiella pneumoniae,2015,2,sp,gentamicin,61,1186,5.14
Klebsiella pneumoniae,2015,2,sp,piperacillin/tazobactam,52,1186,4.38
Klebsiella pneumoniae,2015,2,sp,cefuroxime,40,1186,3.37
Klebsiella pneumoniae,2015,2,sp,ampicillin/sulbactam,30,1186,2.53
Klebsiella pneumoniae,2015,2,sp,levofloxacin,28,1186,2.36
Klebsiella pneumoniae,2015,2,sp,cefepime,18,1186,1.52
Klebsiella pneumoniae,2015,2,sp,norfloxacin,11,1186,0.93
Klebsiella pneumoniae,2015,2,sp,amikacin,5,1186,0.42
Klebsiella pneumoniae,2015,2,sp,imipenem,3,1186,0.25
Klebsiella pneumoniae,2015,2,sp,meropenem,3,1186,0.25
Klebsiella pneumoniae,2015,2,sp,ertapenem,2,1186,0.17
Klebsiella pneumoniae,2015,3,sp,ampicillin,337,1086,31.03
Klebsiella pneumoniae,2015,3,sp,trimethoprim/sulfamethoxazole,120,1086,11.05
Klebsiella pneumoniae,2015,3,sp,ciprofloxacin,116,1086,10.68
Klebsiella pneumoniae,2015,3,sp,ceftriaxone,93,1086,8.56
Klebsiella pneumoniae,2015,3,sp,ceftazidime,91,1086,8.38
Klebsiella pneumoniae,2015,3,sp,amoxicillin/clavulanic acid,70,1086,6.45
Klebsiella pneumoniae,2015,3,sp,cefuroxime,52,1086,4.79
Klebsiella pneumoniae,2015,3,sp,gentamicin,51,1086,4.7
Klebsiella pneumoniae,2015,3,sp,piperacillin/tazobactam,51,1086,4.7
Klebsiella pneumoniae,2015,3,sp,levofloxacin,37,1086,3.41
Klebsiella pneumoniae,2015,3,sp,cefepime,22,1086,2.03
Klebsiella pneumoniae,2015,3,sp,ampicillin/sulbactam,19,1086,1.75
Klebsiella pneumoniae,2015,3,sp,imipenem,9,1086,0.83
Klebsiella pneumoniae,2015,3,sp,amikacin,7,1086,0.64
Klebsiella pneumoniae,2015,3,sp,meropenem,6,1086,0.55
Klebsiella pneumoniae,2015,3,sp,norfloxacin,4,1086,0.37
Klebsiella pneumoniae,2015,3,sp,ertapenem,1,1086,0.09
Klebsiella pneumoniae,2015,4,sp,ampicillin,366,1270,28.82
Klebsiella pneumoniae,2015,4,sp,ciprofloxacin,145,1270,11.42
Klebsiella pneumoniae,2015,4,sp,trimethoprim/sulfamethoxazole,137,1270,10.79
Klebsiella pneumoniae,2015,4,sp,ceftazidime,104,1270,8.19
Klebsiella pneumoniae,2015,4,sp,ceftriaxone,100,1270,7.87
Klebsiella pneumoniae,2015,4,sp,amoxicillin/clavulanic acid,94,1270,7.4
Klebsiella pneumoniae,2015,4,sp,gentamicin,74,1270,5.83
Klebsiella pneumoniae,2015,4,sp,piperacillin/tazobactam,64,1270,5.04
Klebsiella pneumoniae,2015,4,sp,cefuroxime,62,1270,4.88
Klebsiella pneumoniae,2015,4,sp,levofloxacin,36,1270,2.83
Klebsiella pneumoniae,2015,4,sp,cefepime,30,1270,2.36
Klebsiella pneumoniae,2015,4,sp,ampicillin/sulbactam,23,1270,1.81
Klebsiella pneumoniae,2015,4,sp,norfloxacin,10,1270,0.79
