organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Klebsiella pneumoniae,2015,1,ur,ampicillin,164,596,27.52
Klebsiella pneumoniae,2015,1,ur,trimethoprim/sulfamethoxazole,74,596,12.42
Klebsiella pneumoniae,2015,1,ur,ciprofloxacin,60,596,10.07
Klebsiella pneumoniae,2015,1,ur,norfloxacin,53,596,8.89
Klebsiella pneumoniae,2015,1,ur,ceftazidime,48,596,8.05
Klebsiella pneumoniae,2015,1,ur,amoxicillin/clavulanic acid,46,596,7.72
Klebsiella pneumoniae,2015,1,ur,ceftriaxone,41,596,6.88
Klebsiella pneumoniae,2015,1,ur,gentamicin,29,596,4.87
Klebsiella pneumoniae,2015,1,ur,piperacillin/tazobactam,23,596,3.86
Klebsiella pneumoniae,2015,1,ur,cefuroxime,22,596,3.69
Klebsiella pneumoniae,2015,1,ur,levofloxacin,12,596,2.01
Klebsiella pneumoniae,2015,1,ur,cefepime,10,596,1.68
Klebsiella pneumoniae,2015,1,ur,imipenem,5,596,0.84
Klebsiella pneumoniae,2015,1,ur,ampicillin/sulbactam,3,596,0.5
Klebsiella pneumoniae,2015,1,ur,meropenem,3,596,0.5
Klebsiella pneumoniae,2015,1,ur,amikacin,2,596,0.34
Klebsiella pneumoniae,2015,1,ur,ertapenem,1,596,0.17
Klebsiella pneumoniae,2015,2,ur,ampicillin,127,537,23.65
Klebsiella pneumoniae,2015,2,ur,trimethoprim/sulfamethoxazole,66,537,12.29
Klebsiella pneumoniae,2015,2,ur,ciprofloxacin,54,537,10.06
Klebsiella pneumoniae,2015,2,ur,norfloxacin,50,537,9.31
Klebsiella pneumoniae,2015,2,ur,ceftazidime,45,537,8.38
Klebsiella pneumoniae,2015,2,ur,amoxicillin/clavulanic acid,38,537,7.08
Klebsiella pneumoniae,2015,2,ur,gentamicin,38,537,7.08
Klebsiella pneumoniae,2015,2,ur,ceftriaxone,33,537,6.15
Klebsiella pneumoniae,2015,2,ur,piperacillin/tazobactam,21,537,3.91
Klebsiella pneumoniae,2015,2,ur,cefuroxime,17,537,3.17
Klebsiella pneumoniae,2015,2,ur,levofloxacin,16,537,2.98
Klebsiella pneumoniae,2015,2,ur,ampicillin/sulbactam,9,537,1.68
Klebsiella pneumoniae,2015,2,ur,cefepime,8,537,1.49
Klebsiella pneumoniae,2015,2,ur,meropenem,6,537,1.12
Klebsiella pneumoniae,2015,2,ur,amikacin,4,537,0.74
Klebsiella pneumoniae,2015,2,ur,imipenem,4,537,0.74
Klebsiella pneumoniae,2015,2,ur,ertapenem,1,537,0.19
Klebsiella pneumoniae,2015,3,ur,ampicillin,138,597,23.12
Klebsiella pneumoniae,2015,3,ur,trimethoprim/sulfamethoxazole,75,597,12.56
Klebsiella pneumoniae,2015,3,ur,ciprofloxacin,63,597,10.55
Klebsiella pneumoniae,2015,3,ur,norfloxacin,53,597,8.88
Klebsiella pneumoniae,2015,3,ur,ceftazidime,48,597,8.04
Klebsiella pneumoniae,2015,3,ur,ceftriaxone,42,597,7.04
Klebsiella pneumoniae,2015,3,ur,amoxicillin/clavulanic acid,37,597,6.2
Klebsiella pneumoniae,2015,3,ur,piperacillin/tazobactam,30,597,5.03
Klebsiella pneumoniae,2015,3,ur,gentamicin,28,597,4.69
Klebsiella pneumoniae,2015,3,ur,cefuroxime,27,597,4.52
Klebsiella pneumoniae,2015,3,ur,levofloxacin,21,597,3.52
Klebsiella pneumoniae,2015,3,ur,cefepime,14,597,2.35
Klebsiella pneumoniae,2015,3,ur,ampicillin/sulbactam,6,597,1.01
Klebsiella pneumoniae,2015,3,ur,imipenem,6,597,1.01
Klebsiella pneumoniae,2015,3,ur,meropenem,6,597,1.01
Klebsiella pneumoniae,2015,3,ur,amikacin,3,597,0.5
Klebsiella pneumoniae,2015,4,ur,ampicillin,140,576,24.31
Klebsiella pneumoniae,2015,4,ur,trimethoprim/sulfamethoxazole,71,576,12.33
Klebsiella pneumoniae,2015,4,ur,ciprofloxacin,58,576,10.07
Klebsiella pneumoniae,2015,4,ur,norfloxacin,51,576,8.85
Klebsiella pneumoniae,2015,4,ur,ceftazidime,44,576,7.64
Klebsiella pneumoniae,2015,4,ur,ceftriaxone,35,576,6.08
Klebsiella pneumoniae,2015,4,ur,amoxicillin/clavulanic acid,34,576,5.9
Klebsiella pneumoniae,2015,4,ur,gentamicin,32,576,5.56
Klebsiella pneumoniae,2015,4,ur,piperacillin/tazobactam,23,576,3.99
Klebsiella pneumoniae,2015,4,ur,cefuroxime,22,576,3.82
Klebsiella pneumoniae,2015,4,ur,levofloxacin,20,576,3.47
Klebsiella pneumoniae,2015,4,ur,cefepime,17,576,2.95
Klebsiella pneumoniae,2015,4,ur,meropenem,9,576,1.56
Klebsiella pneumoniae,2015,4,ur,imipenem,8,576,1.39
Klebsiella pneumoniae,2015,4,ur,amikacin,7,576,1.22
Klebsiella pneumoniae,2015,4,ur,ertapenem,4,576,0.69
Klebsiella pneumoniae,2015,4,ur,ampicillin/sulbactam,1,576,0.17
Klebsiella pneumoniae,2015,5,ur,ampicillin,152,582,26.12
Klebsiella pneumoniae,2015,5,ur,trimethoprim/sulfamethoxazole,65,582,11.17
Klebsiella pneumoniae,2015,5,ur,ciprofloxacin,62,582,10.65
Klebsiella pneumoniae,2015,5,ur,ceftazidime,50,582,8.59
Klebsiella pneumoniae,2015,5,ur,norfloxacin,43,582,7.39
Klebsiella pneumoniae,2015,5,ur,ceftriaxone,39,582,6.7
Klebsiella pneumoniae,2015,5,ur,amoxicillin/clavulanic acid,38,582,6.53
Klebsiella pneumoniae,2015,5,ur,gentamicin,32,582,5.5
Klebsiella pneumoniae,2015,5,ur,piperacillin/tazobactam,31,582,5.33
Klebsiella pneumoniae,2015,5,ur,cefuroxime,20,582,3.44
Klebsiella pneumoniae,2015,5,ur,levofloxacin,13,582,2.23
Klebsiella pneumoniae,2015,5,ur,cefepime,11,582,1.89
Klebsiella pneumoniae,2015,5,ur,imipenem,8,582,1.37
Klebsiella pneumoniae,2015,5,ur,meropenem,8,582,1.37
Klebsiella pneumoniae,2015,5,ur,ampicillin/sulbactam,5,582,0.86
Klebsiella pneumoniae,2015,5,ur,amikacin,3,582,0.52
Klebsiella pneumoniae,2015,5,ur,ertapenem,2,582,0.34
Klebsiella pneumoniae,2015,6,ur,ampicillin,130,536,24.25
Klebsiella pneumoniae,2015,6,ur,trimethoprim/sulfamethoxazole,61,536,11.38
Klebsiella pneumoniae,2015,6,ur,ciprofloxacin,58,536,10.82
Klebsiella pneumoniae,2015,6,ur,ceftazidime,54,536,10.07
Klebsiella pneumoniae,2015,6,ur,norfloxacin,47,536,8.77
Klebsiella pneumoniae,2015,6,ur,ceftriaxone,45,536,8.4
Klebsiella pneumoniae,2015,6,ur,gentamicin,35,536,6.53
Klebsiella pneumoniae,2015,6,ur,amoxicillin/clavulanic acid,28,536,5.22
Klebsiella pneumoniae,2015,6,ur,piperacillin/tazobactam,27,536,5.04
Klebsiella pneumoniae,2015,6,ur,cefuroxime,16,536,2.99
Klebsiella pneumoniae,2015,6,ur,levofloxacin,13,536,2.43
Klebsiella pneumoniae,2015,6,ur,ampicillin/sulbactam,7,536,1.31
Klebsiella pneumoniae,2015,6,ur,cefepime,7,536,1.31
Klebsiella pneumoniae,2015,6,ur,imipenem,3,536,0.56
Klebsiella pneumoniae,2015,6,ur,meropenem,3,536,0.56
Klebsiella pneumoniae,2015,6,ur,amikacin,2,536,0.37
Klebsiella pneumoniae,2015,7,ur,ampicillin,159,655,24.27
Klebsiella pneumoniae,2015,7,ur,trimethoprim/sulfamethoxazole,77,655,11.76
Klebsiella pneumoniae,2015,7,ur,ciprofloxacin,70,655,10.69
Klebsiella pneumoniae,2015,7,ur,ceftazidime,63,655,9.62
Klebsiella pneumoniae,2015,7,ur,norfloxacin,58,655,8.85
Klebsiella pneumoniae,2015,7,ur,ceftriaxone,47,655,7.18
Klebsiella pneumoniae,2015,7,ur,amoxicillin/clavulanic acid,40,655,6.11
Klebsiella pneumoniae,2015,7,ur,gentamicin,39,655,5.95
Klebsiella pneumoniae,2015,7,ur,piperacillin/tazobactam,24,655,3.66
