organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Pseudomonas aeruginosa,2016,1,ps,,3,7,42.86
Pseudomonas aeruginosa,2016,1,ps,piperacillin/tazobactam,2,7,28.57
Pseudomonas aeruginosa,2016,1,ps,ceftazidime,1,7,14.29
Pseudomonas aeruginosa,2016,1,ps,ciprofloxacin,1,7,14.29
Pseudomonas aeruginosa,2016,2,ps,,7,14,50.0
Pseudomonas aeruginosa,2016,2,ps,amikacin,1,14,7.14
Pseudomonas aeruginosa,2016,2,ps,ceftazidime,1,14,7.14
Pseudomonas aeruginosa,2016,2,ps,ciprofloxacin,1,14,7.14
Pseudomonas aeruginosa,2016,2,ps,gentamicin,1,14,7.14
Pseudomonas aeruginosa,2016,2,ps,imipenem,1,14,7.14
Pseudomonas aeruginosa,2016,2,ps,meropenem,1,14,7.14
Pseudomonas aeruginosa,2016,2,ps,piperacillin/tazobactam,1,14,7.14
Pseudomonas aeruginosa,2016,3,ps,ceftazidime,4,21,19.05
Pseudomonas aeruginosa,2016,3,ps,,4,21,19.05
Pseudomonas aeruginosa,2016,3,ps,imipenem,3,21,14.29
Pseudomonas aeruginosa,2016,3,ps,ciprofloxacin,2,21,9.52
Pseudomonas aeruginosa,2016,3,ps,meropenem,2,21,9.52
Pseudomonas aeruginosa,2016,3,ps,piperacillin/tazobactam,2,21,9.52
Pseudomonas aeruginosa,2016,3,ps,amikacin,1,21,4.76
Pseudomonas aeruginosa,2016,3,ps,cefepime,1,21,4.76
Pseudomonas aeruginosa,2016,3,ps,gentamicin,1,21,4.76
Pseudomonas aeruginosa,2016,3,ps,levofloxacin,1,21,4.76
Pseudomonas aeruginosa,2016,4,ps,ceftazidime,2,4,50.0
Pseudomonas aeruginosa,2016,4,ps,,2,4,50.0
Pseudomonas aeruginosa,2016,5,ps,,6,7,85.71
Pseudomonas aeruginosa,2016,5,ps,imipenem,1,7,14.29
Pseudomonas aeruginosa,2016,6,ps,,4,7,57.14
Pseudomonas aeruginosa,2016,6,ps,ciprofloxacin,2,7,28.57
Pseudomonas aeruginosa,2016,6,ps,ceftazidime,1,7,14.29
Pseudomonas aeruginosa,2016,7,ps,,7,7,100.0
Pseudomonas aeruginosa,2016,8,ps,,16,40,40.0
Pseudomonas aeruginosa,2016,8,ps,ceftazidime,5,40,12.5
Pseudomonas aeruginosa,2016,8,ps,piperacillin/tazobactam,4,40,10.0
Pseudomonas aeruginosa,2016,8,ps,gentamicin,3,40,7.5
Pseudomonas aeruginosa,2016,8,ps,imipenem,3,40,7.5
Pseudomonas aeruginosa,2016,8,ps,meropenem,3,40,7.5
Pseudomonas aeruginosa,2016,8,ps,ciprofloxacin,2,40,5.0
Pseudomonas aeruginosa,2016,8,ps,levofloxacin,2,40,5.0
Pseudomonas aeruginosa,2016,8,ps,amikacin,1,40,2.5
Pseudomonas aeruginosa,2016,8,ps,colistin,1,40,2.5
Pseudomonas aeruginosa,2016,9,ps,,7,9,77.78
Pseudomonas aeruginosa,2016,9,ps,ceftazidime,1,9,11.11
Pseudomonas aeruginosa,2016,9,ps,piperacillin/tazobactam,1,9,11.11
Pseudomonas aeruginosa,2016,10,ps,,8,10,80.0
Pseudomonas aeruginosa,2016,10,ps,ceftazidime,1,10,10.0
Pseudomonas aeruginosa,2016,10,ps,piperacillin/tazobactam,1,10,10.0
Pseudomonas aeruginosa,2016,11,ps,,7,13,53.85
Pseudomonas aeruginosa,2016,11,ps,ciprofloxacin,2,13,15.38
Pseudomonas aeruginosa,2016,11,ps,imipenem,2,13,15.38
Pseudomonas aeruginosa,2016,11,ps,ceftazidime,1,13,7.69
Pseudomonas aeruginosa,2016,11,ps,levofloxacin,1,13,7.69
Pseudomonas aeruginosa,2017,4,ps,ceftazidime,1,5,20.0
Pseudomonas aeruginosa,2017,4,ps,ciprofloxacin,1,5,20.0
Pseudomonas aeruginosa,2017,4,ps,imipenem,1,5,20.0
Pseudomonas aeruginosa,2017,4,ps,meropenem,1,5,20.0
Pseudomonas aeruginosa,2017,4,ps,piperacillin/tazobactam,1,5,20.0
Pseudomonas aeruginosa,2018,6,ps,amikacin,1,7,14.29
Pseudomonas aeruginosa,2018,6,ps,ceftazidime,1,7,14.29
Pseudomonas aeruginosa,2018,6,ps,ciprofloxacin,1,7,14.29
Pseudomonas aeruginosa,2018,6,ps,imipenem,1,7,14.29
Pseudomonas aeruginosa,2018,6,ps,levofloxacin,1,7,14.29
Pseudomonas aeruginosa,2018,6,ps,meropenem,1,7,14.29
Pseudomonas aeruginosa,2018,6,ps,piperacillin/tazobactam,1,7,14.29
Pseudomonas aeruginosa,2018,9,ps,ciprofloxacin,1,4,25.0
Pseudomonas aeruginosa,2018,9,ps,imipenem,1,4,25.0
Pseudomonas aeruginosa,2018,9,ps,piperacillin/tazobactam,1,4,25.0
Pseudomonas aeruginosa,2018,9,ps,,1,4,25.0
Pseudomonas aeruginosa,2018,11,ps,imipenem,2,7,28.57
Pseudomonas aeruginosa,2018,11,ps,amikacin,1,7,14.29
Pseudomonas aeruginosa,2018,11,ps,ceftazidime,1,7,14.29
Pseudomonas aeruginosa,2018,11,ps,colistin,1,7,14.29
Pseudomonas aeruginosa,2018,11,ps,meropenem,1,7,14.29
Pseudomonas aeruginosa,2018,11,ps,piperacillin/tazobactam,1,7,14.29
Pseudomonas aeruginosa,2018,12,ps,,1,1,100.0
Pseudomonas aeruginosa,2019,1,ps,cefepime,3,26,11.54
Pseudomonas aeruginosa,2019,1,ps,ceftazidime,3,26,11.54
Pseudomonas aeruginosa,2019,1,ps,ciprofloxacin,3,26,11.54
Pseudomonas aeruginosa,2019,1,ps,gentamicin,3,26,11.54
Pseudomonas aeruginosa,2019,1,ps,imipenem,3,26,11.54
Pseudomonas aeruginosa,2019,1,ps,levofloxacin,3,26,11.54
Pseudomonas aeruginosa,2019,1,ps,meropenem,3,26,11.54
Pseudomonas aeruginosa,2019,1,ps,piperacillin/tazobactam,2,26,7.69
Pseudomonas aeruginosa,2019,1,ps,,2,26,7.69
Pseudomonas aeruginosa,2019,1,ps,amikacin,1,26,3.85
Pseudomonas aeruginosa,2019,2,ps,imipenem,6,19,31.58
Pseudomonas aeruginosa,2019,2,ps,,3,19,15.79
Pseudomonas aeruginosa,2019,2,ps,ceftazidime,2,19,10.53
Pseudomonas aeruginosa,2019,2,ps,ciprofloxacin,2,19,10.53
Pseudomonas aeruginosa,2019,2,ps,piperacillin/tazobactam,2,19,10.53
Pseudomonas aeruginosa,2019,2,ps,cefepime,1,19,5.26
Pseudomonas aeruginosa,2019,2,ps,gentamicin,1,19,5.26
Pseudomonas aeruginosa,2019,2,ps,levofloxacin,1,19,5.26
Pseudomonas aeruginosa,2019,2,ps,meropenem,1,19,5.26
Pseudomonas aeruginosa,2019,3,ps,ciprofloxacin,2,11,18.18
Pseudomonas aeruginosa,2019,3,ps,,2,11,18.18
Pseudomonas aeruginosa,2019,3,ps,cefepime,1,11,9.09
Pseudomonas aeruginosa,2019,3,ps,ceftazidime,1,11,9.09
Pseudomonas aeruginosa,2019,3,ps,gentamicin,1,11,9.09
Pseudomonas aeruginosa,2019,3,ps,imipenem,1,11,9.09
Pseudomonas aeruginosa,2019,3,ps,levofloxacin,1,11,9.09
Pseudomonas aeruginosa,2019,3,ps,meropenem,1,11,9.09
Pseudomonas aeruginosa,2019,3,ps,piperacillin/tazobactam,1,11,9.09
Pseudomonas aeruginosa,2019,4,ps,imipenem,6,40,15.0
Pseudomonas aeruginosa,2019,4,ps,ceftazidime,5,40,12.5
Pseudomonas aeruginosa,2019,4,ps,meropenem,5,40,12.5
Pseudomonas aeruginosa,2019,4,ps,cefepime,4,40,10.0
Pseudomonas aeruginosa,2019,4,ps,ciprofloxacin,4,40,10.0
Pseudomonas aeruginosa,2019,4,ps,gentamicin,4,40,10.0
Pseudomonas aeruginosa,2019,4,ps,piperacillin/tazobactam,4,40,10.0
Pseudomonas aeruginosa,2019,4,ps,levofloxacin,3,40,7.5
Pseudomonas aeruginosa,2019,4,ps,,3,40,7.5
Pseudomonas aeruginosa,2019,4,ps,amikacin,1,40,2.5
Pseudomonas aeruginosa,2019,4,ps,colistin,1,40,2.5
Pseudomonas aeruginosa,2019,5,ps,imipenem,5,25,20.0
Pseudomonas aeruginosa,2019,5,ps,,5,25,20.0
Pseudomonas aeruginosa,2019,5,ps,ceftazidime,3,25,12.0
Pseudomonas aeruginosa,2019,5,ps,ciprofloxacin,2,25,8.0
Pseudomonas aeruginosa,2019,5,ps,gentamicin,2,25,8.0
Pseudomonas aeruginosa,2019,5,ps,meropenem,2,25,8.0
Pseudomonas aeruginosa,2019,5,ps,piperacillin/tazobactam,2,25,8.0
Pseudomonas aeruginosa,2019,5,ps,amikacin,1,25,4.0
Pseudomonas aeruginosa,2019,5,ps,cefepime,1,25,4.0
Pseudomonas aeruginosa,2019,5,ps,colistin,1,25,4.0
Pseudomonas aeruginosa,2019,5,ps,levofloxacin,1,25,4.0
Pseudomonas aeruginosa,2019,6,ps,imipenem,7,33,21.21
Pseudomonas aeruginosa,2019,6,ps,,5,33,15.15
Pseudomonas aeruginosa,2019,6,ps,piperacillin/tazobactam,4,33,12.12
Pseudomonas aeruginosa,2019,6,ps,ceftazidime,3,33,9.09
Pseudomonas aeruginosa,2019,6,ps,ciprofloxacin,3,33,9.09
Pseudomonas aeruginosa,2019,6,ps,gentamicin,3,33,9.09
Pseudomonas aeruginosa,2019,6,ps,meropenem,3,33,9.09
Pseudomonas aeruginosa,2019,6,ps,amikacin,2,33,6.06
Pseudomonas aeruginosa,2019,6,ps,levofloxacin,2,33,6.06
Pseudomonas aeruginosa,2019,6,ps,cefepime,1,33,3.03
Pseudomonas aeruginosa,2019,7,ps,ceftazidime,5,22,22.73
Pseudomonas aeruginosa,2019,7,ps,gentamicin,4,22,18.18
Pseudomonas aeruginosa,2019,7,ps,ciprofloxacin,3,22,13.64
Pseudomonas aeruginosa,2019,7,ps,,3,22,13.64
Pseudomonas aeruginosa,2019,7,ps,imipenem,2,22,9.09
Pseudomonas aeruginosa,2019,7,ps,levofloxacin,2,22,9.09
Pseudomonas aeruginosa,2019,7,ps,piperacillin/tazobactam,2,22,9.09
Pseudomonas aeruginosa,2019,7,ps,cefepime,1,22,4.55
Pseudomonas aeruginosa,2019,8,ps,imipenem,12,40,30.0
Pseudomonas aeruginosa,2019,8,ps,piperacillin/tazobactam,10,40,25.0
Pseudomonas aeruginosa,2019,8,ps,ceftazidime,7,40,17.5
Pseudomonas aeruginosa,2019,8,ps,ciprofloxacin,3,40,7.5
Pseudomonas aeruginosa,2019,8,ps,colistin,3,40,7.5
Pseudomonas aeruginosa,2019,8,ps,meropenem,3,40,7.5
Pseudomonas aeruginosa,2019,8,ps,gentamicin,1,40,2.5
Pseudomonas aeruginosa,2019,8,ps,,1,40,2.5
Pseudomonas aeruginosa,2019,9,ps,imipenem,8,38,21.05
Pseudomonas aeruginosa,2019,9,ps,piperacillin/tazobactam,7,38,18.42
Pseudomonas aeruginosa,2019,9,ps,ceftazidime,6,38,15.79
Pseudomonas aeruginosa,2019,9,ps,ciprofloxacin,4,38,10.53
Pseudomonas aeruginosa,2019,9,ps,meropenem,4,38,10.53
Pseudomonas aeruginosa,2019,9,ps,colistin,3,38,7.89
Pseudomonas aeruginosa,2019,9,ps,gentamicin,2,38,5.26
Pseudomonas aeruginosa,2019,9,ps,,2,38,5.26
Pseudomonas aeruginosa,2019,9,ps,amikacin,1,38,2.63
Pseudomonas aeruginosa,2019,9,ps,levofloxacin,1,38,2.63
Pseudomonas aeruginosa,2019,10,ps,imipenem,7,40,17.5
Pseudomonas aeruginosa,2019,10,ps,,7,40,17.5
Pseudomonas aeruginosa,2019,10,ps,ciprofloxacin,5,40,12.5
Pseudomonas aeruginosa,2019,10,ps,ceftazidime,4,40,10.0
Pseudomonas aeruginosa,2019,10,ps,gentamicin,4,40,10.0
Pseudomonas aeruginosa,2019,10,ps,meropenem,4,40,10.0
Pseudomonas aeruginosa,2019,10,ps,piperacillin/tazobactam,4,40,10.0
Pseudomonas aeruginosa,2019,10,ps,cefepime,2,40,5.0
Pseudomonas aeruginosa,2019,10,ps,levofloxacin,2,40,5.0
Pseudomonas aeruginosa,2019,10,ps,amikacin,1,40,2.5
Pseudomonas aeruginosa,2019,11,ps,imipenem,9,34,26.47
Pseudomonas aeruginosa,2019,11,ps,piperacillin/tazobactam,5,34,14.71
Pseudomonas aeruginosa,2019,11,ps,ceftazidime,4,34,11.76
Pseudomonas aeruginosa,2019,11,ps,,4,34,11.76
Pseudomonas aeruginosa,2019,11,ps,ciprofloxacin,3,34,8.82
Pseudomonas aeruginosa,2019,11,ps,meropenem,3,34,8.82
Pseudomonas aeruginosa,2019,11,ps,gentamicin,2,34,5.88
Pseudomonas aeruginosa,2019,11,ps,levofloxacin,2,34,5.88
Pseudomonas aeruginosa,2019,11,ps,amikacin,1,34,2.94
Pseudomonas aeruginosa,2019,11,ps,cefepime,1,34,2.94
Pseudomonas aeruginosa,2019,12,ps,,9,12,75.0
Pseudomonas aeruginosa,2019,12,ps,imipenem,2,12,16.67
Pseudomonas aeruginosa,2019,12,ps,meropenem,1,12,8.33
Pseudomonas aeruginosa,2020,1,ps,,54,178,30.34
Pseudomonas aeruginosa,2020,1,ps,imipenem,27,178,15.17
Pseudomonas aeruginosa,2020,1,ps,ciprofloxacin,17,178,9.55
Pseudomonas aeruginosa,2020,1,ps,levofloxacin,16,178,8.99
Pseudomonas aeruginosa,2020,1,ps,piperacillin/tazobactam,16,178,8.99
Pseudomonas aeruginosa,2020,1,ps,ceftazidime,15,178,8.43
Pseudomonas aeruginosa,2020,1,ps,meropenem,13,178,7.3
Pseudomonas aeruginosa,2020,1,ps,gentamicin,8,178,4.49
Pseudomonas aeruginosa,2020,1,ps,cefepime,6,178,3.37
Pseudomonas aeruginosa,2020,1,ps,amikacin,3,178,1.69
Pseudomonas aeruginosa,2020,1,ps,colistin,3,178,1.69
Pseudomonas aeruginosa,2020,2,ps,,57,143,39.86
Pseudomonas aeruginosa,2020,2,ps,piperacillin/tazobactam,17,143,11.89
Pseudomonas aeruginosa,2020,2,ps,ceftazidime,14,143,9.79
Pseudomonas aeruginosa,2020,2,ps,ciprofloxacin,12,143,8.39
Pseudomonas aeruginosa,2020,2,ps,imipenem,11,143,7.69
Pseudomonas aeruginosa,2020,2,ps,levofloxacin,10,143,6.99
Pseudomonas aeruginosa,2020,2,ps,meropenem,7,143,4.9
Pseudomonas aeruginosa,2020,2,ps,cefepime,6,143,4.2
Pseudomonas aeruginosa,2020,2,ps,colistin,4,143,2.8
Pseudomonas aeruginosa,2020,2,ps,gentamicin,4,143,2.8
Pseudomonas aeruginosa,2020,2,ps,amikacin,1,143,0.7
Pseudomonas aeruginosa,2020,3,ps,,63,151,41.72
Pseudomonas aeruginosa,2020,3,ps,ciprofloxacin,17,151,11.26
Pseudomonas aeruginosa,2020,3,ps,levofloxacin,15,151,9.93
Pseudomonas aeruginosa,2020,3,ps,ceftazidime,11,151,7.28
Pseudomonas aeruginosa,2020,3,ps,imipenem,11,151,7.28
Pseudomonas aeruginosa,2020,3,ps,piperacillin/tazobactam,10,151,6.62
Pseudomonas aeruginosa,2020,3,ps,meropenem,7,151,4.64
Pseudomonas aeruginosa,2020,3,ps,cefepime,6,151,3.97
Pseudomonas aeruginosa,2020,3,ps,gentamicin,5,151,3.31
Pseudomonas aeruginosa,2020,3,ps,amikacin,3,151,1.99
Pseudomonas aeruginosa,2020,3,ps,colistin,3,151,1.99
Pseudomonas aeruginosa,2020,4,ps,,32,79,40.51
Pseudomonas aeruginosa,2020,4,ps,imipenem,10,79,12.66
Pseudomonas aeruginosa,2020,4,ps,levofloxacin,7,79,8.86
Pseudomonas aeruginosa,2020,4,ps,piperacillin/tazobactam,7,79,8.86
Pseudomonas aeruginosa,2020,4,ps,ceftazidime,6,79,7.59
Pseudomonas aeruginosa,2020,4,ps,ciprofloxacin,4,79,5.06
Pseudomonas aeruginosa,2020,4,ps,cefepime,3,79,3.8
Pseudomonas aeruginosa,2020,4,ps,colistin,3,79,3.8
Pseudomonas aeruginosa,2020,4,ps,gentamicin,3,79,3.8
Pseudomonas aeruginosa,2020,4,ps,meropenem,3,79,3.8
Pseudomonas aeruginosa,2020,4,ps,amikacin,1,79,1.27
Pseudomonas aeruginosa,2020,5,ps,,41,114,35.96
Pseudomonas aeruginosa,2020,5,ps,imipenem,15,114,13.16
Pseudomonas aeruginosa,2020,5,ps,piperacillin/tazobactam,13,114,11.4
