organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Pseudomonas aeruginosa,2016,1,sp,,40,63,63.49
Pseudomonas aeruginosa,2016,1,sp,imipenem,6,63,9.52
Pseudomonas aeruginosa,2016,1,sp,ceftazidime,5,63,7.94
Pseudomonas aeruginosa,2016,1,sp,gentamicin,3,63,4.76
Pseudomonas aeruginosa,2016,1,sp,meropenem,3,63,4.76
Pseudomonas aeruginosa,2016,1,sp,amikacin,2,63,3.17
Pseudomonas aeruginosa,2016,1,sp,ciprofloxacin,2,63,3.17
Pseudomonas aeruginosa,2016,1,sp,piperacillin/tazobactam,2,63,3.17
Pseudomonas aeruginosa,2016,2,sp,,25,84,29.76
Pseudomonas aeruginosa,2016,2,sp,imipenem,11,84,13.1
Pseudomonas aeruginosa,2016,2,sp,meropenem,10,84,11.9
Pseudomonas aeruginosa,2016,2,sp,ceftazidime,9,84,10.71
Pseudomonas aeruginosa,2016,2,sp,ciprofloxacin,8,84,9.52
Pseudomonas aeruginosa,2016,2,sp,gentamicin,8,84,9.52
Pseudomonas aeruginosa,2016,2,sp,piperacillin/tazobactam,8,84,9.52
Pseudomonas aeruginosa,2016,2,sp,amikacin,5,84,5.95
Pseudomonas aeruginosa,2016,3,sp,,21,94,22.34
Pseudomonas aeruginosa,2016,3,sp,ceftazidime,14,94,14.89
Pseudomonas aeruginosa,2016,3,sp,imipenem,12,94,12.77
Pseudomonas aeruginosa,2016,3,sp,meropenem,11,94,11.7
Pseudomonas aeruginosa,2016,3,sp,gentamicin,9,94,9.57
Pseudomonas aeruginosa,2016,3,sp,amikacin,8,94,8.51
Pseudomonas aeruginosa,2016,3,sp,ciprofloxacin,8,94,8.51
Pseudomonas aeruginosa,2016,3,sp,piperacillin/tazobactam,6,94,6.38
Pseudomonas aeruginosa,2016,3,sp,levofloxacin,5,94,5.32
Pseudomonas aeruginosa,2016,4,sp,,23,103,22.33
Pseudomonas aeruginosa,2016,4,sp,imipenem,15,103,14.56
Pseudomonas aeruginosa,2016,4,sp,ceftazidime,14,103,13.59
Pseudomonas aeruginosa,2016,4,sp,ciprofloxacin,12,103,11.65
Pseudomonas aeruginosa,2016,4,sp,gentamicin,11,103,10.68
Pseudomonas aeruginosa,2016,4,sp,meropenem,11,103,10.68
Pseudomonas aeruginosa,2016,4,sp,amikacin,6,103,5.83
Pseudomonas aeruginosa,2016,4,sp,levofloxacin,6,103,5.83
Pseudomonas aeruginosa,2016,4,sp,piperacillin/tazobactam,5,103,4.85
Pseudomonas aeruginosa,2016,5,sp,imipenem,10,60,16.67
Pseudomonas aeruginosa,2016,5,sp,meropenem,10,60,16.67
Pseudomonas aeruginosa,2016,5,sp,,10,60,16.67
Pseudomonas aeruginosa,2016,5,sp,ceftazidime,7,60,11.67
Pseudomonas aeruginosa,2016,5,sp,ciprofloxacin,7,60,11.67
Pseudomonas aeruginosa,2016,5,sp,gentamicin,6,60,10.0
Pseudomonas aeruginosa,2016,5,sp,amikacin,5,60,8.33
Pseudomonas aeruginosa,2016,5,sp,piperacillin/tazobactam,5,60,8.33
Pseudomonas aeruginosa,2016,6,sp,,19,42,45.24
Pseudomonas aeruginosa,2016,6,sp,ceftazidime,4,42,9.52
Pseudomonas aeruginosa,2016,6,sp,ciprofloxacin,3,42,7.14
Pseudomonas aeruginosa,2016,6,sp,gentamicin,3,42,7.14
Pseudomonas aeruginosa,2016,6,sp,imipenem,3,42,7.14
Pseudomonas aeruginosa,2016,6,sp,levofloxacin,3,42,7.14
Pseudomonas aeruginosa,2016,6,sp,meropenem,3,42,7.14
Pseudomonas aeruginosa,2016,6,sp,amikacin,2,42,4.76
Pseudomonas aeruginosa,2016,6,sp,piperacillin/tazobactam,2,42,4.76
Pseudomonas aeruginosa,2016,7,sp,,12,73,16.44
Pseudomonas aeruginosa,2016,7,sp,ceftazidime,9,73,12.33
Pseudomonas aeruginosa,2016,7,sp,ciprofloxacin,9,73,12.33
Pseudomonas aeruginosa,2016,7,sp,levofloxacin,9,73,12.33
Pseudomonas aeruginosa,2016,7,sp,meropenem,8,73,10.96
Pseudomonas aeruginosa,2016,7,sp,piperacillin/tazobactam,8,73,10.96
Pseudomonas aeruginosa,2016,7,sp,imipenem,7,73,9.59
Pseudomonas aeruginosa,2016,7,sp,amikacin,5,73,6.85
Pseudomonas aeruginosa,2016,7,sp,gentamicin,5,73,6.85
Pseudomonas aeruginosa,2016,7,sp,cefepime,1,73,1.37
Pseudomonas aeruginosa,2016,8,sp,,14,83,16.87
Pseudomonas aeruginosa,2016,8,sp,imipenem,12,83,14.46
Pseudomonas aeruginosa,2016,8,sp,ceftazidime,11,83,13.25
Pseudomonas aeruginosa,2016,8,sp,meropenem,11,83,13.25
Pseudomonas aeruginosa,2016,8,sp,ciprofloxacin,8,83,9.64
Pseudomonas aeruginosa,2016,8,sp,levofloxacin,8,83,9.64
Pseudomonas aeruginosa,2016,8,sp,gentamicin,7,83,8.43
Pseudomonas aeruginosa,2016,8,sp,piperacillin/tazobactam,7,83,8.43
Pseudomonas aeruginosa,2016,8,sp,amikacin,4,83,4.82
Pseudomonas aeruginosa,2016,8,sp,colistin,1,83,1.2
Pseudomonas aeruginosa,2016,9,sp,,19,68,27.94
Pseudomonas aeruginosa,2016,9,sp,ceftazidime,9,68,13.24
Pseudomonas aeruginosa,2016,9,sp,gentamicin,8,68,11.76
Pseudomonas aeruginosa,2016,9,sp,imipenem,7,68,10.29
Pseudomonas aeruginosa,2016,9,sp,meropenem,7,68,10.29
Pseudomonas aeruginosa,2016,9,sp,amikacin,5,68,7.35
Pseudomonas aeruginosa,2016,9,sp,ciprofloxacin,5,68,7.35
Pseudomonas aeruginosa,2016,9,sp,levofloxacin,4,68,5.88
Pseudomonas aeruginosa,2016,9,sp,piperacillin/tazobactam,4,68,5.88
Pseudomonas aeruginosa,2016,10,sp,,14,44,31.82
Pseudomonas aeruginosa,2016,10,sp,ceftazidime,6,44,13.64
Pseudomonas aeruginosa,2016,10,sp,imipenem,6,44,13.64
Pseudomonas aeruginosa,2016,10,sp,levofloxacin,4,44,9.09
Pseudomonas aeruginosa,2016,10,sp,meropenem,4,44,9.09
Pseudomonas aeruginosa,2016,10,sp,ciprofloxacin,3,44,6.82
Pseudomonas aeruginosa,2016,10,sp,gentamicin,3,44,6.82
Pseudomonas aeruginosa,2016,10,sp,piperacillin/tazobactam,3,44,6.82
Pseudomonas aeruginosa,2016,10,sp,amikacin,1,44,2.27
Pseudomonas aeruginosa,2016,11,sp,ceftazidime,12,65,18.46
Pseudomonas aeruginosa,2016,11,sp,,12,65,18.46
Pseudomonas aeruginosa,2016,11,sp,imipenem,8,65,12.31
Pseudomonas aeruginosa,2016,11,sp,meropenem,8,65,12.31
Pseudomonas aeruginosa,2016,11,sp,piperacillin/tazobactam,8,65,12.31
Pseudomonas aeruginosa,2016,11,sp,ciprofloxacin,6,65,9.23
Pseudomonas aeruginosa,2016,11,sp,gentamicin,5,65,7.69
Pseudomonas aeruginosa,2016,11,sp,levofloxacin,4,65,6.15
Pseudomonas aeruginosa,2016,11,sp,amikacin,2,65,3.08
Pseudomonas aeruginosa,2017,1,sp,cefepime,1,6,16.67
Pseudomonas aeruginosa,2017,1,sp,ceftazidime,1,6,16.67
