organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Pseudomonas aeruginosa,2016,1,ur,,5,19,26.32
Pseudomonas aeruginosa,2016,1,ur,ceftazidime,3,19,15.79
Pseudomonas aeruginosa,2016,1,ur,ciprofloxacin,3,19,15.79
Pseudomonas aeruginosa,2016,1,ur,imipenem,3,19,15.79
Pseudomonas aeruginosa,2016,1,ur,meropenem,3,19,15.79
Pseudomonas aeruginosa,2016,1,ur,gentamicin,2,19,10.53
Pseudomonas aeruginosa,2016,2,ur,ceftazidime,9,54,16.67
Pseudomonas aeruginosa,2016,2,ur,ciprofloxacin,8,54,14.81
Pseudomonas aeruginosa,2016,2,ur,gentamicin,8,54,14.81
Pseudomonas aeruginosa,2016,2,ur,imipenem,8,54,14.81
Pseudomonas aeruginosa,2016,2,ur,meropenem,8,54,14.81
Pseudomonas aeruginosa,2016,2,ur,amikacin,6,54,11.11
Pseudomonas aeruginosa,2016,2,ur,piperacillin/tazobactam,5,54,9.26
Pseudomonas aeruginosa,2016,2,ur,,2,54,3.7
Pseudomonas aeruginosa,2016,3,ur,ceftazidime,7,47,14.89
Pseudomonas aeruginosa,2016,3,ur,imipenem,7,47,14.89
Pseudomonas aeruginosa,2016,3,ur,meropenem,7,47,14.89
Pseudomonas aeruginosa,2016,3,ur,ciprofloxacin,6,47,12.77
Pseudomonas aeruginosa,2016,3,ur,gentamicin,5,47,10.64
Pseudomonas aeruginosa,2016,3,ur,amikacin,4,47,8.51
Pseudomonas aeruginosa,2016,3,ur,piperacillin/tazobactam,4,47,8.51
Pseudomonas aeruginosa,2016,3,ur,,4,47,8.51
Pseudomonas aeruginosa,2016,3,ur,levofloxacin,2,47,4.26
Pseudomonas aeruginosa,2016,3,ur,cefepime,1,47,2.13
Pseudomonas aeruginosa,2016,4,ur,ceftazidime,5,33,15.15
Pseudomonas aeruginosa,2016,4,ur,amikacin,4,33,12.12
Pseudomonas aeruginosa,2016,4,ur,ciprofloxacin,4,33,12.12
Pseudomonas aeruginosa,2016,4,ur,gentamicin,4,33,12.12
Pseudomonas aeruginosa,2016,4,ur,imipenem,4,33,12.12
Pseudomonas aeruginosa,2016,4,ur,levofloxacin,4,33,12.12
Pseudomonas aeruginosa,2016,4,ur,meropenem,4,33,12.12
Pseudomonas aeruginosa,2016,4,ur,piperacillin/tazobactam,4,33,12.12
Pseudomonas aeruginosa,2016,5,ur,,6,28,21.43
Pseudomonas aeruginosa,2016,5,ur,ceftazidime,4,28,14.29
Pseudomonas aeruginosa,2016,5,ur,ciprofloxacin,4,28,14.29
Pseudomonas aeruginosa,2016,5,ur,imipenem,4,28,14.29
Pseudomonas aeruginosa,2016,5,ur,meropenem,4,28,14.29
Pseudomonas aeruginosa,2016,5,ur,amikacin,3,28,10.71
Pseudomonas aeruginosa,2016,5,ur,gentamicin,3,28,10.71
Pseudomonas aeruginosa,2016,6,ur,,11,26,42.31
Pseudomonas aeruginosa,2016,6,ur,amikacin,2,26,7.69
Pseudomonas aeruginosa,2016,6,ur,ceftazidime,2,26,7.69
Pseudomonas aeruginosa,2016,6,ur,ciprofloxacin,2,26,7.69
Pseudomonas aeruginosa,2016,6,ur,gentamicin,2,26,7.69
Pseudomonas aeruginosa,2016,6,ur,imipenem,2,26,7.69
Pseudomonas aeruginosa,2016,6,ur,meropenem,2,26,7.69
Pseudomonas aeruginosa,2016,6,ur,piperacillin/tazobactam,2,26,7.69
Pseudomonas aeruginosa,2016,6,ur,levofloxacin,1,26,3.85
Pseudomonas aeruginosa,2016,7,ur,ciprofloxacin,5,33,15.15
Pseudomonas aeruginosa,2016,7,ur,imipenem,5,33,15.15
Pseudomonas aeruginosa,2016,7,ur,ceftazidime,4,33,12.12
Pseudomonas aeruginosa,2016,7,ur,gentamicin,4,33,12.12
Pseudomonas aeruginosa,2016,7,ur,levofloxacin,4,33,12.12
Pseudomonas aeruginosa,2016,7,ur,meropenem,4,33,12.12
Pseudomonas aeruginosa,2016,7,ur,amikacin,3,33,9.09
Pseudomonas aeruginosa,2016,7,ur,piperacillin/tazobactam,3,33,9.09
Pseudomonas aeruginosa,2016,7,ur,,1,33,3.03
Pseudomonas aeruginosa,2016,8,ur,amikacin,6,49,12.24
Pseudomonas aeruginosa,2016,8,ur,ceftazidime,6,49,12.24
Pseudomonas aeruginosa,2016,8,ur,ciprofloxacin,6,49,12.24
Pseudomonas aeruginosa,2016,8,ur,gentamicin,6,49,12.24
Pseudomonas aeruginosa,2016,8,ur,imipenem,6,49,12.24
Pseudomonas aeruginosa,2016,8,ur,meropenem,6,49,12.24
Pseudomonas aeruginosa,2016,8,ur,,6,49,12.24
Pseudomonas aeruginosa,2016,8,ur,piperacillin/tazobactam,4,49,8.16
Pseudomonas aeruginosa,2016,8,ur,levofloxacin,3,49,6.12
Pseudomonas aeruginosa,2016,9,ur,ceftazidime,8,58,13.79
Pseudomonas aeruginosa,2016,9,ur,ciprofloxacin,8,58,13.79
Pseudomonas aeruginosa,2016,9,ur,gentamicin,8,58,13.79
Pseudomonas aeruginosa,2016,9,ur,imipenem,8,58,13.79
Pseudomonas aeruginosa,2016,9,ur,meropenem,8,58,13.79
Pseudomonas aeruginosa,2016,9,ur,amikacin,6,58,10.34
Pseudomonas aeruginosa,2016,9,ur,,6,58,10.34
Pseudomonas aeruginosa,2016,9,ur,piperacillin/tazobactam,4,58,6.9
Pseudomonas aeruginosa,2016,9,ur,levofloxacin,2,58,3.45
Pseudomonas aeruginosa,2016,10,ur,ciprofloxacin,8,53,15.09
Pseudomonas aeruginosa,2016,10,ur,gentamicin,8,53,15.09
Pseudomonas aeruginosa,2016,10,ur,meropenem,8,53,15.09
Pseudomonas aeruginosa,2016,10,ur,ceftazidime,7,53,13.21
Pseudomonas aeruginosa,2016,10,ur,imipenem,7,53,13.21
Pseudomonas aeruginosa,2016,10,ur,piperacillin/tazobactam,6,53,11.32
Pseudomonas aeruginosa,2016,10,ur,amikacin,4,53,7.55
Pseudomonas aeruginosa,2016,10,ur,levofloxacin,3,53,5.66
Pseudomonas aeruginosa,2016,10,ur,,2,53,3.77
Pseudomonas aeruginosa,2016,11,ur,ceftazidime,7,38,18.42
Pseudomonas aeruginosa,2016,11,ur,ciprofloxacin,7,38,18.42
Pseudomonas aeruginosa,2016,11,ur,meropenem,6,38,15.79
Pseudomonas aeruginosa,2016,11,ur,gentamicin,5,38,13.16
Pseudomonas aeruginosa,2016,11,ur,imipenem,5,38,13.16
Pseudomonas aeruginosa,2016,11,ur,levofloxacin,3,38,7.89
Pseudomonas aeruginosa,2016,11,ur,piperacillin/tazobactam,3,38,7.89
Pseudomonas aeruginosa,2016,11,ur,amikacin,2,38,5.26
Pseudomonas aeruginosa,2016,12,ur,amikacin,1,7,14.29
Pseudomonas aeruginosa,2016,12,ur,cefepime,1,7,14.29
Pseudomonas aeruginosa,2016,12,ur,ceftazidime,1,7,14.29
Pseudomonas aeruginosa,2016,12,ur,ciprofloxacin,1,7,14.29
Pseudomonas aeruginosa,2016,12,ur,imipenem,1,7,14.29
Pseudomonas aeruginosa,2016,12,ur,meropenem,1,7,14.29
Pseudomonas aeruginosa,2016,12,ur,piperacillin/tazobactam,1,7,14.29
Pseudomonas aeruginosa,2017,1,ur,amikacin,1,8,12.5
Pseudomonas aeruginosa,2017,1,ur,cefepime,1,8,12.5
Pseudomonas aeruginosa,2017,1,ur,ceftazidime,1,8,12.5
Pseudomonas aeruginosa,2017,1,ur,ciprofloxacin,1,8,12.5
Pseudomonas aeruginosa,2017,1,ur,imipenem,1,8,12.5
Pseudomonas aeruginosa,2017,1,ur,levofloxacin,1,8,12.5
Pseudomonas aeruginosa,2017,1,ur,meropenem,1,8,12.5
Pseudomonas aeruginosa,2017,1,ur,piperacillin/tazobactam,1,8,12.5
Pseudomonas aeruginosa,2017,2,ur,amikacin,1,6,16.67
Pseudomonas aeruginosa,2017,2,ur,ceftazidime,1,6,16.67
Pseudomonas aeruginosa,2017,2,ur,ciprofloxacin,1,6,16.67
Pseudomonas aeruginosa,2017,2,ur,imipenem,1,6,16.67
Pseudomonas aeruginosa,2017,2,ur,meropenem,1,6,16.67
Pseudomonas aeruginosa,2017,2,ur,piperacillin/tazobactam,1,6,16.67
Pseudomonas aeruginosa,2017,6,ur,amikacin,1,5,20.0
Pseudomonas aeruginosa,2017,6,ur,ceftazidime,1,5,20.0
Pseudomonas aeruginosa,2017,6,ur,ciprofloxacin,1,5,20.0
Pseudomonas aeruginosa,2017,6,ur,meropenem,1,5,20.0
Pseudomonas aeruginosa,2017,6,ur,piperacillin/tazobactam,1,5,20.0
Pseudomonas aeruginosa,2017,12,ur,ceftazidime,1,3,33.33
Pseudomonas aeruginosa,2017,12,ur,ciprofloxacin,1,3,33.33
Pseudomonas aeruginosa,2017,12,ur,meropenem,1,3,33.33
Pseudomonas aeruginosa,2018,2,ur,,2,2,100.0
Pseudomonas aeruginosa,2018,3,ur,ceftazidime,3,19,15.79
Pseudomonas aeruginosa,2018,3,ur,ciprofloxacin,3,19,15.79
Pseudomonas aeruginosa,2018,3,ur,levofloxacin,3,19,15.79
Pseudomonas aeruginosa,2018,3,ur,meropenem,3,19,15.79
Pseudomonas aeruginosa,2018,3,ur,imipenem,2,19,10.53
Pseudomonas aeruginosa,2018,3,ur,piperacillin/tazobactam,2,19,10.53
Pseudomonas aeruginosa,2018,3,ur,amikacin,1,19,5.26
Pseudomonas aeruginosa,2018,3,ur,cefepime,1,19,5.26
Pseudomonas aeruginosa,2018,3,ur,gentamicin,1,19,5.26
Pseudomonas aeruginosa,2018,4,ur,amikacin,1,5,20.0
Pseudomonas aeruginosa,2018,4,ur,ceftazidime,1,5,20.0
Pseudomonas aeruginosa,2018,4,ur,imipenem,1,5,20.0
Pseudomonas aeruginosa,2018,4,ur,levofloxacin,1,5,20.0
Pseudomonas aeruginosa,2018,4,ur,piperacillin/tazobactam,1,5,20.0
Pseudomonas aeruginosa,2018,5,ur,,1,1,100.0
Pseudomonas aeruginosa,2018,7,ur,amikacin,2,17,11.76
Pseudomonas aeruginosa,2018,7,ur,cefepime,2,17,11.76
Pseudomonas aeruginosa,2018,7,ur,ceftazidime,2,17,11.76
Pseudomonas aeruginosa,2018,7,ur,ciprofloxacin,2,17,11.76
Pseudomonas aeruginosa,2018,7,ur,gentamicin,2,17,11.76
