organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Staphylococcus aureus,2017,1,bl,,5,14,35.71
Staphylococcus aureus,2017,1,bl,tetracycline,3,14,21.43
Staphylococcus aureus,2017,1,bl,cefoxitin,1,14,7.14
Staphylococcus aureus,2017,1,bl,ciprofloxacin,1,14,7.14
Staphylococcus aureus,2017,1,bl,clindamycin,1,14,7.14
Staphylococcus aureus,2017,1,bl,erythromycin,1,14,7.14
Staphylococcus aureus,2017,1,bl,gentamicin,1,14,7.14
Staphylococcus aureus,2017,1,bl,trimethoprim/sulfamethoxazole,1,14,7.14
Staphylococcus aureus,2017,2,bl,,5,6,83.33
Staphylococcus aureus,2017,2,bl,tetracycline,1,6,16.67
Staphylococcus aureus,2017,3,bl,,4,12,33.33
Staphylococcus aureus,2017,3,bl,clindamycin,2,12,16.67
Staphylococcus aureus,2017,3,bl,erythromycin,2,12,16.67
Staphylococcus aureus,2017,3,bl,cefoxitin,1,12,8.33
Staphylococcus aureus,2017,3,bl,ciprofloxacin,1,12,8.33
Staphylococcus aureus,2017,3,bl,gentamicin,1,12,8.33
Staphylococcus aureus,2017,3,bl,tetracycline,1,12,8.33
Staphylococcus aureus,2017,4,bl,tetracycline,3,10,30.0
Staphylococcus aureus,2017,4,bl,clindamycin,2,10,20.0
Staphylococcus aureus,2017,4,bl,erythromycin,2,10,20.0
Staphylococcus aureus,2017,4,bl,,2,10,20.0
Staphylococcus aureus,2017,4,bl,trimethoprim/sulfamethoxazole,1,10,10.0
Staphylococcus aureus,2017,5,bl,,5,10,50.0
Staphylococcus aureus,2017,5,bl,clindamycin,2,10,20.0
Staphylococcus aureus,2017,5,bl,erythromycin,2,10,20.0
Staphylococcus aureus,2017,5,bl,tetracycline,1,10,10.0
Staphylococcus aureus,2017,6,bl,,3,7,42.86
Staphylococcus aureus,2017,6,bl,tetracycline,2,7,28.57
Staphylococcus aureus,2017,6,bl,clindamycin,1,7,14.29
Staphylococcus aureus,2017,6,bl,erythromycin,1,7,14.29
Staphylococcus aureus,2017,7,bl,,5,8,62.5
Staphylococcus aureus,2017,7,bl,tetracycline,2,8,25.0
Staphylococcus aureus,2017,7,bl,cefoxitin,1,8,12.5
Staphylococcus aureus,2017,8,bl,tetracycline,5,11,45.45
Staphylococcus aureus,2017,8,bl,cefoxitin,1,11,9.09
Staphylococcus aureus,2017,8,bl,ciprofloxacin,1,11,9.09
Staphylococcus aureus,2017,8,bl,clindamycin,1,11,9.09
Staphylococcus aureus,2017,8,bl,erythromycin,1,11,9.09
Staphylococcus aureus,2017,8,bl,gentamicin,1,11,9.09
Staphylococcus aureus,2017,8,bl,,1,11,9.09
Staphylococcus aureus,2017,9,bl,,15,21,71.43
Staphylococcus aureus,2017,9,bl,tetracycline,5,21,23.81
Staphylococcus aureus,2017,9,bl,trimethoprim/sulfamethoxazole,1,21,4.76
Staphylococcus aureus,2017,10,bl,tetracycline,9,32,28.12
Staphylococcus aureus,2017,10,bl,,5,32,15.62
Staphylococcus aureus,2017,10,bl,cefoxitin,3,32,9.38
Staphylococcus aureus,2017,10,bl,gentamicin,3,32,9.38
Staphylococcus aureus,2017,10,bl,vancomycin,3,32,9.38
Staphylococcus aureus,2017,10,bl,ciprofloxacin,2,32,6.25
Staphylococcus aureus,2017,10,bl,clindamycin,2,32,6.25
Staphylococcus aureus,2017,10,bl,erythromycin,2,32,6.25
Staphylococcus aureus,2017,10,bl,trimethoprim/sulfamethoxazole,2,32,6.25
Staphylococcus aureus,2017,10,bl,levofloxacin,1,32,3.12
Staphylococcus aureus,2017,11,bl,,4,15,26.67
Staphylococcus aureus,2017,11,bl,erythromycin,3,15,20.0
Staphylococcus aureus,2017,11,bl,clindamycin,2,15,13.33
Staphylococcus aureus,2017,11,bl,tetracycline,2,15,13.33
Staphylococcus aureus,2017,11,bl,cefoxitin,1,15,6.67
Staphylococcus aureus,2017,11,bl,ciprofloxacin,1,15,6.67
Staphylococcus aureus,2017,11,bl,gentamicin,1,15,6.67
Staphylococcus aureus,2017,11,bl,trimethoprim/sulfamethoxazole,1,15,6.67
Staphylococcus aureus,2017,12,bl,tetracycline,4,5,80.0
Staphylococcus aureus,2017,12,bl,cefoxitin,1,5,20.0
Staphylococcus aureus,2018,1,bl,tetracycline,7,22,31.82
Staphylococcus aureus,2018,1,bl,,4,22,18.18
Staphylococcus aureus,2018,1,bl,cefoxitin,2,22,9.09
Staphylococcus aureus,2018,1,bl,ciprofloxacin,2,22,9.09
Staphylococcus aureus,2018,1,bl,clindamycin,2,22,9.09
Staphylococcus aureus,2018,1,bl,erythromycin,2,22,9.09
Staphylococcus aureus,2018,1,bl,gentamicin,1,22,4.55
Staphylococcus aureus,2018,1,bl,levofloxacin,1,22,4.55
Staphylococcus aureus,2018,1,bl,trimethoprim/sulfamethoxazole,1,22,4.55
Staphylococcus aureus,2018,2,bl,,6,9,66.67
Staphylococcus aureus,2018,2,bl,tetracycline,3,9,33.33
Staphylococcus aureus,2018,3,bl,,3,7,42.86
Staphylococcus aureus,2018,3,bl,tetracycline,2,7,28.57
Staphylococcus aureus,2018,3,bl,clindamycin,1,7,14.29
Staphylococcus aureus,2018,3,bl,erythromycin,1,7,14.29
Staphylococcus aureus,2018,4,bl,,4,13,30.77
Staphylococcus aureus,2018,4,bl,tetracycline,3,13,23.08
Staphylococcus aureus,2018,4,bl,cefoxitin,1,13,7.69
Staphylococcus aureus,2018,4,bl,ciprofloxacin,1,13,7.69
Staphylococcus aureus,2018,4,bl,clindamycin,1,13,7.69
Staphylococcus aureus,2018,4,bl,erythromycin,1,13,7.69
Staphylococcus aureus,2018,4,bl,gentamicin,1,13,7.69
Staphylococcus aureus,2018,4,bl,trimethoprim/sulfamethoxazole,1,13,7.69
Staphylococcus aureus,2018,5,bl,,11,20,55.0
Staphylococcus aureus,2018,5,bl,tetracycline,3,20,15.0
Staphylococcus aureus,2018,5,bl,clindamycin,2,20,10.0
Staphylococcus aureus,2018,5,bl,erythromycin,2,20,10.0
Staphylococcus aureus,2018,5,bl,trimethoprim/sulfamethoxazole,2,20,10.0
Staphylococcus aureus,2018,6,bl,tetracycline,6,26,23.08
Staphylococcus aureus,2018,6,bl,erythromycin,5,26,19.23
Staphylococcus aureus,2018,6,bl,clindamycin,4,26,15.38
Staphylococcus aureus,2018,6,bl,ciprofloxacin,3,26,11.54
Staphylococcus aureus,2018,6,bl,trimethoprim/sulfamethoxazole,3,26,11.54
Staphylococcus aureus,2018,6,bl,cefoxitin,2,26,7.69
Staphylococcus aureus,2018,6,bl,gentamicin,1,26,3.85
Staphylococcus aureus,2018,6,bl,levofloxacin,1,26,3.85
Staphylococcus aureus,2018,6,bl,vancomycin,1,26,3.85
Staphylococcus aureus,2018,7,bl,,6,13,46.15
Staphylococcus aureus,2018,7,bl,tetracycline,4,13,30.77
Staphylococcus aureus,2018,7,bl,erythromycin,1,13,7.69
Staphylococcus aureus,2018,7,bl,trimethoprim/sulfamethoxazole,1,13,7.69
Staphylococcus aureus,2018,7,bl,vancomycin,1,13,7.69
Staphylococcus aureus,2018,8,bl,,7,25,28.0
Staphylococcus aureus,2018,8,bl,tetracycline,6,25,24.0
Staphylococcus aureus,2018,8,bl,cefoxitin,3,25,12.0
Staphylococcus aureus,2018,8,bl,erythromycin,3,25,12.0
Staphylococcus aureus,2018,8,bl,ciprofloxacin,2,25,8.0
Staphylococcus aureus,2018,8,bl,clindamycin,2,25,8.0
Staphylococcus aureus,2018,8,bl,gentamicin,2,25,8.0
Staphylococcus aureus,2018,9,bl,,10,31,32.26
Staphylococcus aureus,2018,9,bl,tetracycline,8,31,25.81
Staphylococcus aureus,2018,9,bl,clindamycin,3,31,9.68
Staphylococcus aureus,2018,9,bl,erythromycin,3,31,9.68
Staphylococcus aureus,2018,9,bl,cefoxitin,2,31,6.45
Staphylococcus aureus,2018,9,bl,ciprofloxacin,2,31,6.45
Staphylococcus aureus,2018,9,bl,gentamicin,1,31,3.23
Staphylococcus aureus,2018,9,bl,levofloxacin,1,31,3.23
Staphylococcus aureus,2018,9,bl,trimethoprim/sulfamethoxazole,1,31,3.23
Staphylococcus aureus,2018,10,bl,,8,13,61.54
Staphylococcus aureus,2018,10,bl,tetracycline,4,13,30.77
Staphylococcus aureus,2018,10,bl,vancomycin,1,13,7.69
Staphylococcus aureus,2018,11,bl,,9,33,27.27
Staphylococcus aureus,2018,11,bl,cefoxitin,7,33,21.21
Staphylococcus aureus,2018,11,bl,tetracycline,6,33,18.18
Staphylococcus aureus,2018,11,bl,ciprofloxacin,2,33,6.06
Staphylococcus aureus,2018,11,bl,clindamycin,2,33,6.06
Staphylococcus aureus,2018,11,bl,erythromycin,2,33,6.06
Staphylococcus aureus,2018,11,bl,gentamicin,2,33,6.06
Staphylococcus aureus,2018,11,bl,oxacillin,2,33,6.06
Staphylococcus aureus,2018,11,bl,trimethoprim/sulfamethoxazole,1,33,3.03
Staphylococcus aureus,2018,12,bl,tetracycline,9,35,25.71
Staphylococcus aureus,2018,12,bl,,7,35,20.0
Staphylococcus aureus,2018,12,bl,erythromycin,5,35,14.29
Staphylococcus aureus,2018,12,bl,cefoxitin,4,35,11.43
Staphylococcus aureus,2018,12,bl,clindamycin,4,35,11.43
Staphylococcus aureus,2018,12,bl,ciprofloxacin,2,35,5.71
Staphylococcus aureus,2018,12,bl,gentamicin,2,35,5.71
Staphylococcus aureus,2018,12,bl,oxacillin,1,35,2.86
Staphylococcus aureus,2018,12,bl,trimethoprim/sulfamethoxazole,1,35,2.86
Staphylococcus aureus,2019,1,bl,cefoxitin,1,2,50.0
Staphylococcus aureus,2019,1,bl,,1,2,50.0
Staphylococcus aureus,2019,2,bl,tetracycline,1,2,50.0
Staphylococcus aureus,2019,2,bl,,1,2,50.0
Staphylococcus aureus,2019,3,bl,tetracycline,4,11,36.36
Staphylococcus aureus,2019,3,bl,,3,11,27.27
Staphylococcus aureus,2019,3,bl,cefoxitin,1,11,9.09
Staphylococcus aureus,2019,3,bl,clindamycin,1,11,9.09
Staphylococcus aureus,2019,3,bl,erythromycin,1,11,9.09
Staphylococcus aureus,2019,3,bl,vancomycin,1,11,9.09
Staphylococcus aureus,2019,4,bl,tetracycline,3,4,75.0
Staphylococcus aureus,2019,4,bl,trimethoprim/sulfamethoxazole,1,4,25.0
Staphylococcus aureus,2019,5,bl,tetracycline,4,10,40.0
Staphylococcus aureus,2019,5,bl,cefoxitin,1,10,10.0
Staphylococcus aureus,2019,5,bl,ciprofloxacin,1,10,10.0
Staphylococcus aureus,2019,5,bl,clindamycin,1,10,10.0
Staphylococcus aureus,2019,5,bl,erythromycin,1,10,10.0
Staphylococcus aureus,2019,5,bl,trimethoprim/sulfamethoxazole,1,10,10.0
Staphylococcus aureus,2019,5,bl,,1,10,10.0
Staphylococcus aureus,2019,6,bl,cefoxitin,1,6,16.67
Staphylococcus aureus,2019,6,bl,clindamycin,1,6,16.67
Staphylococcus aureus,2019,6,bl,erythromycin,1,6,16.67
Staphylococcus aureus,2019,6,bl,oxacillin,1,6,16.67
Staphylococcus aureus,2019,6,bl,tetracycline,1,6,16.67
Staphylococcus aureus,2019,6,bl,,1,6,16.67
Staphylococcus aureus,2019,7,bl,,2,4,50.0
Staphylococcus aureus,2019,7,bl,cefoxitin,1,4,25.0
Staphylococcus aureus,2019,7,bl,oxacillin,1,4,25.0
Staphylococcus aureus,2019,8,bl,cefoxitin,3,6,50.0
Staphylococcus aureus,2019,8,bl,tetracycline,2,6,33.33
Staphylococcus aureus,2019,8,bl,,1,6,16.67
Staphylococcus aureus,2019,9,bl,cefoxitin,1,2,50.0
Staphylococcus aureus,2019,9,bl,,1,2,50.0
Staphylococcus aureus,2019,10,bl,,6,17,35.29
Staphylococcus aureus,2019,10,bl,tetracycline,3,17,17.65
Staphylococcus aureus,2019,10,bl,trimethoprim/sulfamethoxazole,2,17,11.76
Staphylococcus aureus,2019,10,bl,cefoxitin,1,17,5.88
Staphylococcus aureus,2019,10,bl,ciprofloxacin,1,17,5.88
Staphylococcus aureus,2019,10,bl,clindamycin,1,17,5.88
Staphylococcus aureus,2019,10,bl,erythromycin,1,17,5.88
Staphylococcus aureus,2019,10,bl,levofloxacin,1,17,5.88
Staphylococcus aureus,2019,10,bl,oxacillin,1,17,5.88
Staphylococcus aureus,2019,11,bl,cefoxitin,3,7,42.86
Staphylococcus aureus,2019,11,bl,,3,7,42.86
Staphylococcus aureus,2019,11,bl,tetracycline,1,7,14.29
Staphylococcus aureus,2019,12,bl,tetracycline,2,6,33.33
Staphylococcus aureus,2019,12,bl,ciprofloxacin,1,6,16.67
Staphylococcus aureus,2019,12,bl,erythromycin,1,6,16.67
Staphylococcus aureus,2019,12,bl,oxacillin,1,6,16.67
Staphylococcus aureus,2019,12,bl,,1,6,16.67
Staphylococcus aureus,2020,1,bl,,42,114,36.84
Staphylococcus aureus,2020,1,bl,tetracycline,35,114,30.7
Staphylococcus aureus,2020,1,bl,erythromycin,10,114,8.77
Staphylococcus aureus,2020,1,bl,clindamycin,7,114,6.14
Staphylococcus aureus,2020,1,bl,oxacillin,7,114,6.14
Staphylococcus aureus,2020,1,bl,ciprofloxacin,5,114,4.39
Staphylococcus aureus,2020,1,bl,levofloxacin,3,114,2.63
Staphylococcus aureus,2020,1,bl,trimethoprim/sulfamethoxazole,3,114,2.63
Staphylococcus aureus,2020,1,bl,gentamicin,1,114,0.88
Staphylococcus aureus,2020,1,bl,vancomycin,1,114,0.88
Staphylococcus aureus,2020,2,bl,,46,114,40.35
Staphylococcus aureus,2020,2,bl,tetracycline,25,114,21.93
Staphylococcus aureus,2020,2,bl,erythromycin,8,114,7.02
Staphylococcus aureus,2020,2,bl,oxacillin,8,114,7.02
Staphylococcus aureus,2020,2,bl,ciprofloxacin,7,114,6.14
Staphylococcus aureus,2020,2,bl,clindamycin,6,114,5.26
Staphylococcus aureus,2020,2,bl,levofloxacin,6,114,5.26
Staphylococcus aureus,2020,2,bl,gentamicin,3,114,2.63
Staphylococcus aureus,2020,2,bl,norfloxacin,2,114,1.75
Staphylococcus aureus,2020,2,bl,trimethoprim/sulfamethoxazole,2,114,1.75
Staphylococcus aureus,2020,2,bl,cefoxitin,1,114,0.88
Staphylococcus aureus,2020,3,bl,tetracycline,61,172,35.47
Staphylococcus aureus,2020,3,bl,,50,172,29.07
Staphylococcus aureus,2020,3,bl,erythromycin,17,172,9.88
Staphylococcus aureus,2020,3,bl,clindamycin,11,172,6.4
Staphylococcus aureus,2020,3,bl,cefoxitin,6,172,3.49
Staphylococcus aureus,2020,3,bl,ciprofloxacin,6,172,3.49
Staphylococcus aureus,2020,3,bl,levofloxacin,6,172,3.49
Staphylococcus aureus,2020,3,bl,oxacillin,6,172,3.49
Staphylococcus aureus,2020,3,bl,trimethoprim/sulfamethoxazole,6,172,3.49
Staphylococcus aureus,2020,3,bl,gentamicin,3,172,1.74
Staphylococcus aureus,2020,4,bl,,43,110,39.09
Staphylococcus aureus,2020,4,bl,tetracycline,27,110,24.55
Staphylococcus aureus,2020,4,bl,oxacillin,9,110,8.18
Staphylococcus aureus,2020,4,bl,ciprofloxacin,8,110,7.27
Staphylococcus aureus,2020,4,bl,levofloxacin,8,110,7.27
Staphylococcus aureus,2020,4,bl,erythromycin,6,110,5.45
Staphylococcus aureus,2020,4,bl,clindamycin,3,110,2.73
Staphylococcus aureus,2020,4,bl,trimethoprim/sulfamethoxazole,3,110,2.73
Staphylococcus aureus,2020,4,bl,gentamicin,2,110,1.82
Staphylococcus aureus,2020,4,bl,cefoxitin,1,110,0.91
Staphylococcus aureus,2020,5,bl,,44,118,37.29
Staphylococcus aureus,2020,5,bl,tetracycline,28,118,23.73
Staphylococcus aureus,2020,5,bl,ciprofloxacin,8,118,6.78
Staphylococcus aureus,2020,5,bl,erythromycin,8,118,6.78
Staphylococcus aureus,2020,5,bl,oxacillin,7,118,5.93
Staphylococcus aureus,2020,5,bl,clindamycin,6,118,5.08
Staphylococcus aureus,2020,5,bl,levofloxacin,6,118,5.08
Staphylococcus aureus,2020,5,bl,cefoxitin,4,118,3.39
Staphylococcus aureus,2020,5,bl,trimethoprim/sulfamethoxazole,4,118,3.39
Staphylococcus aureus,2020,5,bl,gentamicin,3,118,2.54
Staphylococcus aureus,2020,6,bl,,46,138,33.33
Staphylococcus aureus,2020,6,bl,tetracycline,35,138,25.36
Staphylococcus aureus,2020,6,bl,clindamycin,10,138,7.25
Staphylococcus aureus,2020,6,bl,erythromycin,10,138,7.25
Staphylococcus aureus,2020,6,bl,ciprofloxacin,9,138,6.52
Staphylococcus aureus,2020,6,bl,oxacillin,9,138,6.52
Staphylococcus aureus,2020,6,bl,gentamicin,7,138,5.07
Staphylococcus aureus,2020,6,bl,levofloxacin,7,138,5.07
Staphylococcus aureus,2020,6,bl,trimethoprim/sulfamethoxazole,4,138,2.9
Staphylococcus aureus,2020,6,bl,cefoxitin,1,138,0.72
Staphylococcus aureus,2020,7,bl,tetracycline,44,130,33.85
Staphylococcus aureus,2020,7,bl,,43,130,33.08
Staphylococcus aureus,2020,7,bl,oxacillin,11,130,8.46
Staphylococcus aureus,2020,7,bl,erythromycin,6,130,4.62
Staphylococcus aureus,2020,7,bl,trimethoprim/sulfamethoxazole,6,130,4.62
Staphylococcus aureus,2020,7,bl,clindamycin,5,130,3.85
Staphylococcus aureus,2020,7,bl,gentamicin,5,130,3.85
Staphylococcus aureus,2020,7,bl,ciprofloxacin,4,130,3.08
Staphylococcus aureus,2020,7,bl,cefoxitin,3,130,2.31
Staphylococcus aureus,2020,7,bl,levofloxacin,3,130,2.31
Staphylococcus aureus,2020,8,bl,,52,160,32.5
Staphylococcus aureus,2020,8,bl,tetracycline,43,160,26.88
Staphylococcus aureus,2020,8,bl,erythromycin,14,160,8.75
Staphylococcus aureus,2020,8,bl,oxacillin,12,160,7.5
Staphylococcus aureus,2020,8,bl,clindamycin,11,160,6.88
Staphylococcus aureus,2020,8,bl,ciprofloxacin,9,160,5.62
Staphylococcus aureus,2020,8,bl,levofloxacin,8,160,5.0
Staphylococcus aureus,2020,8,bl,gentamicin,5,160,3.12
Staphylococcus aureus,2020,8,bl,trimethoprim/sulfamethoxazole,4,160,2.5
Staphylococcus aureus,2020,8,bl,cefoxitin,2,160,1.25
Staphylococcus aureus,2020,9,bl,,56,131,42.75
Staphylococcus aureus,2020,9,bl,tetracycline,33,131,25.19
Staphylococcus aureus,2020,9,bl,erythromycin,10,131,7.63
Staphylococcus aureus,2020,9,bl,oxacillin,9,131,6.87
Staphylococcus aureus,2020,9,bl,clindamycin,8,131,6.11
Staphylococcus aureus,2020,9,bl,ciprofloxacin,4,131,3.05
Staphylococcus aureus,2020,9,bl,gentamicin,4,131,3.05
Staphylococcus aureus,2020,9,bl,trimethoprim/sulfamethoxazole,3,131,2.29
Staphylococcus aureus,2020,9,bl,cefoxitin,2,131,1.53
Staphylococcus aureus,2020,9,bl,levofloxacin,2,131,1.53
Staphylococcus aureus,2020,10,bl,,54,134,40.3
Staphylococcus aureus,2020,10,bl,tetracycline,38,134,28.36
Staphylococcus aureus,2020,10,bl,erythromycin,13,134,9.7
Staphylococcus aureus,2020,10,bl,clindamycin,8,134,5.97
Staphylococcus aureus,2020,10,bl,oxacillin,6,134,4.48
Staphylococcus aureus,2020,10,bl,gentamicin,4,134,2.99
