organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Staphylococcus aureus,2017,1,ps,,2,3,66.67
Staphylococcus aureus,2017,1,ps,trimethoprim/sulfamethoxazole,1,3,33.33
Staphylococcus aureus,2017,2,ps,,1,1,100.0
Staphylococcus aureus,2017,4,ps,tetracycline,3,6,50.0
Staphylococcus aureus,2017,4,ps,clindamycin,1,6,16.67
Staphylococcus aureus,2017,4,ps,erythromycin,1,6,16.67
Staphylococcus aureus,2017,4,ps,,1,6,16.67
Staphylococcus aureus,2017,6,ps,,1,1,100.0
Staphylococcus aureus,2017,7,ps,tetracycline,1,1,100.0
Staphylococcus aureus,2017,8,ps,clindamycin,2,8,25.0
Staphylococcus aureus,2017,8,ps,erythromycin,2,8,25.0
Staphylococcus aureus,2017,8,ps,,2,8,25.0
Staphylococcus aureus,2017,8,ps,tetracycline,1,8,12.5
Staphylococcus aureus,2017,8,ps,trimethoprim/sulfamethoxazole,1,8,12.5
Staphylococcus aureus,2017,9,ps,tetracycline,2,6,33.33
Staphylococcus aureus,2017,9,ps,trimethoprim/sulfamethoxazole,2,6,33.33
Staphylococcus aureus,2017,9,ps,,2,6,33.33
Staphylococcus aureus,2017,10,ps,tetracycline,2,4,50.0
Staphylococcus aureus,2017,10,ps,trimethoprim/sulfamethoxazole,1,4,25.0
Staphylococcus aureus,2017,10,ps,vancomycin,1,4,25.0
Staphylococcus aureus,2017,11,ps,tetracycline,1,1,100.0
Staphylococcus aureus,2017,12,ps,clindamycin,3,12,25.0
Staphylococcus aureus,2017,12,ps,erythromycin,3,12,25.0
Staphylococcus aureus,2017,12,ps,tetracycline,2,12,16.67
Staphylococcus aureus,2017,12,ps,trimethoprim/sulfamethoxazole,2,12,16.67
Staphylococcus aureus,2017,12,ps,,2,12,16.67
Staphylococcus aureus,2018,1,ps,tetracycline,1,2,50.0
Staphylococcus aureus,2018,1,ps,,1,2,50.0
Staphylococcus aureus,2018,2,ps,tetracycline,3,6,50.0
Staphylococcus aureus,2018,2,ps,,3,6,50.0
Staphylococcus aureus,2018,3,ps,,3,8,37.5
Staphylococcus aureus,2018,3,ps,cefoxitin,1,8,12.5
Staphylococcus aureus,2018,3,ps,ciprofloxacin,1,8,12.5
Staphylococcus aureus,2018,3,ps,clindamycin,1,8,12.5
Staphylococcus aureus,2018,3,ps,tetracycline,1,8,12.5
Staphylococcus aureus,2018,3,ps,trimethoprim/sulfamethoxazole,1,8,12.5
Staphylococcus aureus,2018,4,ps,tetracycline,6,15,40.0
Staphylococcus aureus,2018,4,ps,,3,15,20.0
Staphylococcus aureus,2018,4,ps,cefoxitin,1,15,6.67
Staphylococcus aureus,2018,4,ps,ciprofloxacin,1,15,6.67
Staphylococcus aureus,2018,4,ps,clindamycin,1,15,6.67
Staphylococcus aureus,2018,4,ps,gentamicin,1,15,6.67
Staphylococcus aureus,2018,4,ps,trimethoprim/sulfamethoxazole,1,15,6.67
Staphylococcus aureus,2018,4,ps,vancomycin,1,15,6.67
