organism_full,year,month,spec_type,resistant_drug_name,drug_count,total_rows_in_spec_month,percentage
Staphylococcus aureus,2017,1,sp,tetracycline,6,25,24.0
Staphylococcus aureus,2017,1,sp,cefoxitin,4,25,16.0
Staphylococcus aureus,2017,1,sp,ciprofloxacin,3,25,12.0
Staphylococcus aureus,2017,1,sp,clindamycin,3,25,12.0
Staphylococcus aureus,2017,1,sp,erythromycin,3,25,12.0
Staphylococcus aureus,2017,1,sp,gentamicin,3,25,12.0
Staphylococcus aureus,2017,1,sp,,2,25,8.0
Staphylococcus aureus,2017,1,sp,trimethoprim/sulfamethoxazole,1,25,4.0
Staphylococcus aureus,2017,2,sp,,9,21,42.86
Staphylococcus aureus,2017,2,sp,cefoxitin,2,21,9.52
Staphylococcus aureus,2017,2,sp,ciprofloxacin,2,21,9.52
Staphylococcus aureus,2017,2,sp,clindamycin,2,21,9.52
Staphylococcus aureus,2017,2,sp,erythromycin,2,21,9.52
Staphylococcus aureus,2017,2,sp,gentamicin,2,21,9.52
Staphylococcus aureus,2017,2,sp,tetracycline,2,21,9.52
Staphylococcus aureus,2017,3,sp,tetracycline,7,21,33.33
Staphylococcus aureus,2017,3,sp,clindamycin,3,21,14.29
Staphylococcus aureus,2017,3,sp,erythromycin,3,21,14.29
Staphylococcus aureus,2017,3,sp,cefoxitin,2,21,9.52
Staphylococcus aureus,2017,3,sp,ciprofloxacin,2,21,9.52
Staphylococcus aureus,2017,3,sp,,2,21,9.52
Staphylococcus aureus,2017,3,sp,gentamicin,1,21,4.76
Staphylococcus aureus,2017,3,sp,trimethoprim/sulfamethoxazole,1,21,4.76
Staphylococcus aureus,2017,4,sp,tetracycline,3,18,16.67
Staphylococcus aureus,2017,4,sp,,3,18,16.67
Staphylococcus aureus,2017,4,sp,cefoxitin,2,18,11.11
Staphylococcus aureus,2017,4,sp,ciprofloxacin,2,18,11.11
Staphylococcus aureus,2017,4,sp,clindamycin,2,18,11.11
Staphylococcus aureus,2017,4,sp,erythromycin,2,18,11.11
Staphylococcus aureus,2017,4,sp,gentamicin,2,18,11.11
Staphylococcus aureus,2017,4,sp,trimethoprim/sulfamethoxazole,2,18,11.11
Staphylococcus aureus,2017,5,sp,,5,8,62.5
Staphylococcus aureus,2017,5,sp,tetracycline,2,8,25.0
Staphylococcus aureus,2017,5,sp,trimethoprim/sulfamethoxazole,1,8,12.5
Staphylococcus aureus,2017,6,sp,tetracycline,5,22,22.73
Staphylococcus aureus,2017,6,sp,,4,22,18.18
Staphylococcus aureus,2017,6,sp,clindamycin,3,22,13.64
Staphylococcus aureus,2017,6,sp,erythromycin,3,22,13.64
Staphylococcus aureus,2017,6,sp,cefoxitin,2,22,9.09
Staphylococcus aureus,2017,6,sp,ciprofloxacin,2,22,9.09
Staphylococcus aureus,2017,6,sp,trimethoprim/sulfamethoxazole,2,22,9.09
Staphylococcus aureus,2017,6,sp,gentamicin,1,22,4.55
Staphylococcus aureus,2017,7,sp,tetracycline,6,30,20.0
Staphylococcus aureus,2017,7,sp,clindamycin,4,30,13.33
Staphylococcus aureus,2017,7,sp,erythromycin,4,30,13.33
Staphylococcus aureus,2017,7,sp,,4,30,13.33
Staphylococcus aureus,2017,7,sp,cefoxitin,3,30,10.0
Staphylococcus aureus,2017,7,sp,ciprofloxacin,3,30,10.0
Staphylococcus aureus,2017,7,sp,gentamicin,3,30,10.0
Staphylococcus aureus,2017,7,sp,trimethoprim/sulfamethoxazole,3,30,10.0
Staphylococcus aureus,2017,8,sp,,4,18,22.22
Staphylococcus aureus,2017,8,sp,clindamycin,3,18,16.67
Staphylococcus aureus,2017,8,sp,cefoxitin,2,18,11.11
Staphylococcus aureus,2017,8,sp,ciprofloxacin,2,18,11.11
Staphylococcus aureus,2017,8,sp,erythromycin,2,18,11.11
Staphylococcus aureus,2017,8,sp,gentamicin,2,18,11.11
Staphylococcus aureus,2017,8,sp,tetracycline,2,18,11.11
Staphylococcus aureus,2017,8,sp,trimethoprim/sulfamethoxazole,1,18,5.56
Staphylococcus aureus,2017,9,sp,,6,15,40.0
Staphylococcus aureus,2017,9,sp,tetracycline,2,15,13.33
Staphylococcus aureus,2017,9,sp,cefoxitin,1,15,6.67
Staphylococcus aureus,2017,9,sp,ciprofloxacin,1,15,6.67
Staphylococcus aureus,2017,9,sp,clindamycin,1,15,6.67
Staphylococcus aureus,2017,9,sp,erythromycin,1,15,6.67
Staphylococcus aureus,2017,9,sp,gentamicin,1,15,6.67
Staphylococcus aureus,2017,9,sp,trimethoprim/sulfamethoxazole,1,15,6.67
Staphylococcus aureus,2017,9,sp,vancomycin,1,15,6.67
Staphylococcus aureus,2017,10,sp,,14,30,46.67
Staphylococcus aureus,2017,10,sp,tetracycline,7,30,23.33
Staphylococcus aureus,2017,10,sp,cefoxitin,2,30,6.67
Staphylococcus aureus,2017,10,sp,erythromycin,2,30,6.67
Staphylococcus aureus,2017,10,sp,ciprofloxacin,1,30,3.33
Staphylococcus aureus,2017,10,sp,clindamycin,1,30,3.33
Staphylococcus aureus,2017,10,sp,gentamicin,1,30,3.33
Staphylococcus aureus,2017,10,sp,levofloxacin,1,30,3.33
Staphylococcus aureus,2017,10,sp,trimethoprim/sulfamethoxazole,1,30,3.33
Staphylococcus aureus,2017,11,sp,,9,24,37.5
Staphylococcus aureus,2017,11,sp,tetracycline,5,24,20.83
Staphylococcus aureus,2017,11,sp,cefoxitin,2,24,8.33
Staphylococcus aureus,2017,11,sp,ciprofloxacin,2,24,8.33
Staphylococcus aureus,2017,11,sp,clindamycin,2,24,8.33
Staphylococcus aureus,2017,11,sp,erythromycin,2,24,8.33
Staphylococcus aureus,2017,11,sp,gentamicin,1,24,4.17
Staphylococcus aureus,2017,11,sp,trimethoprim/sulfamethoxazole,1,24,4.17
Staphylococcus aureus,2017,12,sp,,11,21,52.38
Staphylococcus aureus,2017,12,sp,tetracycline,4,21,19.05
Staphylococcus aureus,2017,12,sp,cefoxitin,1,21,4.76
Staphylococcus aureus,2017,12,sp,ciprofloxacin,1,21,4.76
Staphylococcus aureus,2017,12,sp,clindamycin,1,21,4.76
