year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2015,1,icu,ceftazidime,95,875,10.86,Acinetobacter baumannii
2015,1,icu,ciprofloxacin,93,875,10.63,Acinetobacter baumannii
2015,1,icu,meropenem,90,875,10.29,Acinetobacter baumannii
2015,1,icu,gentamicin,88,875,10.06,Acinetobacter baumannii
2015,1,icu,amikacin,83,875,9.49,Acinetobacter baumannii
2015,1,icu,piperacillin/tazobactam,81,875,9.26,Acinetobacter baumannii
2015,1,icu,trimethoprim/sulfamethoxazole,78,875,8.91,Acinetobacter baumannii
2015,1,icu,cefotaxime,69,875,7.89,Acinetobacter baumannii
2015,1,icu,imipenem,64,875,7.31,Acinetobacter baumannii
2015,1,icu,levofloxacin,39,875,4.46,Acinetobacter baumannii
2015,1,icu,ampicillin/sulbactam,33,875,3.77,Acinetobacter baumannii
2015,1,icu,ceftriaxone,33,875,3.77,Acinetobacter baumannii
2015,1,icu,cefepime,17,875,1.94,Acinetobacter baumannii
2015,1,icu,,12,875,1.37,Acinetobacter baumannii
2015,2,icu,meropenem,84,758,11.08,Acinetobacter baumannii
2015,2,icu,ceftazidime,83,758,10.95,Acinetobacter baumannii
2015,2,icu,ciprofloxacin,80,758,10.55,Acinetobacter baumannii
2015,2,icu,gentamicin,77,758,10.16,Acinetobacter baumannii
2015,2,icu,piperacillin/tazobactam,74,758,9.76,Acinetobacter baumannii
2015,2,icu,amikacin,71,758,9.37,Acinetobacter baumannii
2015,2,icu,cefotaxime,59,758,7.78,Acinetobacter baumannii
2015,2,icu,trimethoprim/sulfamethoxazole,58,758,7.65,Acinetobacter baumannii
2015,2,icu,imipenem,55,758,7.26,Acinetobacter baumannii
2015,2,icu,ceftriaxone,35,758,4.62,Acinetobacter baumannii
2015,2,icu,ampicillin/sulbactam,32,758,4.22,Acinetobacter baumannii
2015,2,icu,levofloxacin,32,758,4.22,Acinetobacter baumannii
2015,2,icu,cefepime,12,758,1.58,Acinetobacter baumannii
2015,2,icu,,6,758,0.79,Acinetobacter baumannii
2015,3,icu,ciprofloxacin,98,882,11.11,Acinetobacter baumannii
2015,3,icu,ceftazidime,97,882,11.0,Acinetobacter baumannii
2015,3,icu,meropenem,93,882,10.54,Acinetobacter baumannii
2015,3,icu,gentamicin,88,882,9.98,Acinetobacter baumannii
2015,3,icu,amikacin,79,882,8.96,Acinetobacter baumannii
2015,3,icu,piperacillin/tazobactam,75,882,8.5,Acinetobacter baumannii
2015,3,icu,trimethoprim/sulfamethoxazole,69,882,7.82,Acinetobacter baumannii
2015,3,icu,imipenem,66,882,7.48,Acinetobacter baumannii
2015,3,icu,cefotaxime,61,882,6.92,Acinetobacter baumannii
2015,3,icu,levofloxacin,47,882,5.33,Acinetobacter baumannii
2015,3,icu,ampicillin/sulbactam,44,882,4.99,Acinetobacter baumannii
2015,3,icu,ceftriaxone,34,882,3.85,Acinetobacter baumannii
2015,3,icu,cefepime,21,882,2.38,Acinetobacter baumannii
2015,3,icu,,10,882,1.13,Acinetobacter baumannii
2015,4,icu,ceftazidime,94,852,11.03,Acinetobacter baumannii
2015,4,icu,ciprofloxacin,93,852,10.92,Acinetobacter baumannii
2015,4,icu,meropenem,93,852,10.92,Acinetobacter baumannii
2015,4,icu,gentamicin,78,852,9.15,Acinetobacter baumannii
2015,4,icu,amikacin,77,852,9.04,Acinetobacter baumannii
2015,4,icu,trimethoprim/sulfamethoxazole,77,852,9.04,Acinetobacter baumannii
2015,4,icu,piperacillin/tazobactam,74,852,8.69,Acinetobacter baumannii
2015,4,icu,imipenem,73,852,8.57,Acinetobacter baumannii
2015,4,icu,cefotaxime,60,852,7.04,Acinetobacter baumannii
2015,4,icu,ampicillin/sulbactam,39,852,4.58,Acinetobacter baumannii
2015,4,icu,ceftriaxone,36,852,4.23,Acinetobacter baumannii
2015,4,icu,levofloxacin,30,852,3.52,Acinetobacter baumannii
2015,4,icu,cefepime,16,852,1.88,Acinetobacter baumannii
2015,4,icu,,12,852,1.41,Acinetobacter baumannii
2015,5,icu,meropenem,68,651,10.45,Acinetobacter baumannii
2015,5,icu,ceftazidime,67,651,10.29,Acinetobacter baumannii
2015,5,icu,gentamicin,67,651,10.29,Acinetobacter baumannii
2015,5,icu,ciprofloxacin,66,651,10.14,Acinetobacter baumannii
