year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2015,1,in,ceftazidime,472,4376,10.79,Acinetobacter baumannii
2015,1,in,ciprofloxacin,463,4376,10.58,Acinetobacter baumannii
2015,1,in,meropenem,457,4376,10.44,Acinetobacter baumannii
2015,1,in,gentamicin,431,4376,9.85,Acinetobacter baumannii
2015,1,in,piperacillin/tazobactam,388,4376,8.87,Acinetobacter baumannii
2015,1,in,amikacin,386,4376,8.82,Acinetobacter baumannii
2015,1,in,trimethoprim/sulfamethoxazole,369,4376,8.43,Acinetobacter baumannii
2015,1,in,imipenem,358,4376,8.18,Acinetobacter baumannii
2015,1,in,cefotaxime,263,4376,6.01,Acinetobacter baumannii
2015,1,in,levofloxacin,219,4376,5.0,Acinetobacter baumannii
2015,1,in,ceftriaxone,201,4376,4.59,Acinetobacter baumannii
2015,1,in,ampicillin/sulbactam,177,4376,4.04,Acinetobacter baumannii
2015,1,in,cefepime,113,4376,2.58,Acinetobacter baumannii
2015,1,in,,79,4376,1.81,Acinetobacter baumannii
2015,2,in,ceftazidime,387,3641,10.63,Acinetobacter baumannii
2015,2,in,ciprofloxacin,386,3641,10.6,Acinetobacter baumannii
2015,2,in,meropenem,379,3641,10.41,Acinetobacter baumannii
2015,2,in,gentamicin,349,3641,9.59,Acinetobacter baumannii
2015,2,in,amikacin,333,3641,9.15,Acinetobacter baumannii
2015,2,in,piperacillin/tazobactam,321,3641,8.82,Acinetobacter baumannii
2015,2,in,trimethoprim/sulfamethoxazole,307,3641,8.43,Acinetobacter baumannii
2015,2,in,imipenem,304,3641,8.35,Acinetobacter baumannii
2015,2,in,cefotaxime,212,3641,5.82,Acinetobacter baumannii
2015,2,in,levofloxacin,179,3641,4.92,Acinetobacter baumannii
2015,2,in,ceftriaxone,168,3641,4.61,Acinetobacter baumannii
2015,2,in,ampicillin/sulbactam,147,3641,4.04,Acinetobacter baumannii
2015,2,in,cefepime,87,3641,2.39,Acinetobacter baumannii
2015,2,in,,82,3641,2.25,Acinetobacter baumannii
2015,3,in,ceftazidime,426,4064,10.48,Acinetobacter baumannii
2015,3,in,ciprofloxacin,417,4064,10.26,Acinetobacter baumannii
2015,3,in,meropenem,409,4064,10.06,Acinetobacter baumannii
2015,3,in,gentamicin,400,4064,9.84,Acinetobacter baumannii
2015,3,in,piperacillin/tazobactam,361,4064,8.88,Acinetobacter baumannii
2015,3,in,amikacin,360,4064,8.86,Acinetobacter baumannii
2015,3,in,trimethoprim/sulfamethoxazole,354,4064,8.71,Acinetobacter baumannii
2015,3,in,imipenem,331,4064,8.14,Acinetobacter baumannii
2015,3,in,cefotaxime,255,4064,6.27,Acinetobacter baumannii
2015,3,in,levofloxacin,224,4064,5.51,Acinetobacter baumannii
2015,3,in,ceftriaxone,200,4064,4.92,Acinetobacter baumannii
2015,3,in,ampicillin/sulbactam,163,4064,4.01,Acinetobacter baumannii
2015,3,in,cefepime,102,4064,2.51,Acinetobacter baumannii
2015,3,in,,62,4064,1.53,Acinetobacter baumannii
2015,4,in,ciprofloxacin,411,3737,11.0,Acinetobacter baumannii
2015,4,in,ceftazidime,409,3737,10.94,Acinetobacter baumannii
2015,4,in,meropenem,399,3737,10.68,Acinetobacter baumannii
2015,4,in,gentamicin,344,3737,9.21,Acinetobacter baumannii
2015,4,in,piperacillin/tazobactam,337,3737,9.02,Acinetobacter baumannii
2015,4,in,trimethoprim/sulfamethoxazole,330,3737,8.83,Acinetobacter baumannii
2015,4,in,amikacin,312,3737,8.35,Acinetobacter baumannii
2015,4,in,imipenem,304,3737,8.13,Acinetobacter baumannii
