year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2015,1,out,ciprofloxacin,21,173,12.14,Acinetobacter baumannii
2015,1,out,imipenem,20,173,11.56,Acinetobacter baumannii
2015,1,out,ceftazidime,19,173,10.98,Acinetobacter baumannii
2015,1,out,meropenem,19,173,10.98,Acinetobacter baumannii
2015,1,out,trimethoprim/sulfamethoxazole,18,173,10.4,Acinetobacter baumannii
2015,1,out,gentamicin,16,173,9.25,Acinetobacter baumannii
2015,1,out,amikacin,15,173,8.67,Acinetobacter baumannii
2015,1,out,ampicillin/sulbactam,13,173,7.51,Acinetobacter baumannii
2015,1,out,piperacillin/tazobactam,8,173,4.62,Acinetobacter baumannii
2015,1,out,,7,173,4.05,Acinetobacter baumannii
2015,1,out,cefotaxime,6,173,3.47,Acinetobacter baumannii
2015,1,out,ceftriaxone,5,173,2.89,Acinetobacter baumannii
2015,1,out,cefepime,3,173,1.73,Acinetobacter baumannii
2015,1,out,levofloxacin,3,173,1.73,Acinetobacter baumannii
2015,2,out,ceftazidime,23,200,11.5,Acinetobacter baumannii
2015,2,out,imipenem,23,200,11.5,Acinetobacter baumannii
2015,2,out,ciprofloxacin,21,200,10.5,Acinetobacter baumannii
2015,2,out,meropenem,21,200,10.5,Acinetobacter baumannii
2015,2,out,gentamicin,20,200,10.0,Acinetobacter baumannii
2015,2,out,amikacin,17,200,8.5,Acinetobacter baumannii
2015,2,out,piperacillin/tazobactam,17,200,8.5,Acinetobacter baumannii
2015,2,out,trimethoprim/sulfamethoxazole,16,200,8.0,Acinetobacter baumannii
2015,2,out,ceftriaxone,10,200,5.0,Acinetobacter baumannii
2015,2,out,levofloxacin,10,200,5.0,Acinetobacter baumannii
2015,2,out,ampicillin/sulbactam,8,200,4.0,Acinetobacter baumannii
2015,2,out,,6,200,3.0,Acinetobacter baumannii
2015,2,out,cefotaxime,5,200,2.5,Acinetobacter baumannii
2015,2,out,cefepime,3,200,1.5,Acinetobacter baumannii
2015,3,out,ciprofloxacin,19,159,11.95,Acinetobacter baumannii
2015,3,out,ceftazidime,18,159,11.32,Acinetobacter baumannii
2015,3,out,meropenem,17,159,10.69,Acinetobacter baumannii
2015,3,out,trimethoprim/sulfamethoxazole,17,159,10.69,Acinetobacter baumannii
2015,3,out,amikacin,16,159,10.06,Acinetobacter baumannii
2015,3,out,gentamicin,16,159,10.06,Acinetobacter baumannii
2015,3,out,imipenem,14,159,8.81,Acinetobacter baumannii
2015,3,out,ampicillin/sulbactam,10,159,6.29,Acinetobacter baumannii
2015,3,out,piperacillin/tazobactam,8,159,5.03,Acinetobacter baumannii
2015,3,out,cefotaxime,6,159,3.77,Acinetobacter baumannii
2015,3,out,levofloxacin,6,159,3.77,Acinetobacter baumannii
2015,3,out,ceftriaxone,5,159,3.14,Acinetobacter baumannii
2015,3,out,,5,159,3.14,Acinetobacter baumannii
2015,3,out,cefepime,2,159,1.26,Acinetobacter baumannii
2015,4,out,ciprofloxacin,16,137,11.68,Acinetobacter baumannii
