year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2015,1,icu,ampicillin,37,182,20.33,Escherichia coli
2015,1,icu,trimethoprim/sulfamethoxazole,30,182,16.48,Escherichia coli
2015,1,icu,ciprofloxacin,21,182,11.54,Escherichia coli
2015,1,icu,gentamicin,16,182,8.79,Escherichia coli
2015,1,icu,ceftazidime,14,182,7.69,Escherichia coli
2015,1,icu,ceftriaxone,13,182,7.14,Escherichia coli
2015,1,icu,amoxicillin/clavulanic acid,12,182,6.59,Escherichia coli
2015,1,icu,,7,182,3.85,Escherichia coli
2015,1,icu,cefepime,6,182,3.3,Escherichia coli
2015,1,icu,cefuroxime,6,182,3.3,Escherichia coli
2015,1,icu,levofloxacin,6,182,3.3,Escherichia coli
2015,1,icu,norfloxacin,6,182,3.3,Escherichia coli
2015,1,icu,piperacillin/tazobactam,4,182,2.2,Escherichia coli
2015,1,icu,ampicillin/sulbactam,3,182,1.65,Escherichia coli
2015,1,icu,ertapenem,1,182,0.55,Escherichia coli
2015,2,icu,ampicillin,41,203,20.2,Escherichia coli
2015,2,icu,trimethoprim/sulfamethoxazole,29,203,14.29,Escherichia coli
2015,2,icu,ciprofloxacin,26,203,12.81,Escherichia coli
2015,2,icu,ceftriaxone,16,203,7.88,Escherichia coli
2015,2,icu,gentamicin,16,203,7.88,Escherichia coli
2015,2,icu,ceftazidime,15,203,7.39,Escherichia coli
2015,2,icu,norfloxacin,14,203,6.9,Escherichia coli
2015,2,icu,levofloxacin,10,203,4.93,Escherichia coli
2015,2,icu,amoxicillin/clavulanic acid,9,203,4.43,Escherichia coli
2015,2,icu,cefuroxime,8,203,3.94,Escherichia coli
2015,2,icu,cefepime,5,203,2.46,Escherichia coli
2015,2,icu,,4,203,1.97,Escherichia coli
2015,2,icu,amikacin,3,203,1.48,Escherichia coli
2015,2,icu,piperacillin/tazobactam,3,203,1.48,Escherichia coli
2015,2,icu,ertapenem,2,203,0.99,Escherichia coli
2015,2,icu,imipenem,1,203,0.49,Escherichia coli
2015,2,icu,meropenem,1,203,0.49,Escherichia coli
2015,3,icu,ampicillin,35,153,22.88,Escherichia coli
2015,3,icu,trimethoprim/sulfamethoxazole,28,153,18.3,Escherichia coli
2015,3,icu,ciprofloxacin,16,153,10.46,Escherichia coli
2015,3,icu,ceftriaxone,12,153,7.84,Escherichia coli
2015,3,icu,gentamicin,12,153,7.84,Escherichia coli
2015,3,icu,norfloxacin,11,153,7.19,Escherichia coli
2015,3,icu,ceftazidime,10,153,6.54,Escherichia coli
2015,3,icu,cefuroxime,9,153,5.88,Escherichia coli
2015,3,icu,amoxicillin/clavulanic acid,6,153,3.92,Escherichia coli
2015,3,icu,,5,153,3.27,Escherichia coli
2015,3,icu,piperacillin/tazobactam,4,153,2.61,Escherichia coli
2015,3,icu,levofloxacin,3,153,1.96,Escherichia coli
2015,3,icu,ampicillin/sulbactam,2,153,1.31,Escherichia coli
2015,4,icu,ampicillin,48,262,18.32,Escherichia coli
2015,4,icu,trimethoprim/sulfamethoxazole,37,262,14.12,Escherichia coli
2015,4,icu,ciprofloxacin,33,262,12.6,Escherichia coli
2015,4,icu,gentamicin,24,262,9.16,Escherichia coli
2015,4,icu,ceftriaxone,23,262,8.78,Escherichia coli
2015,4,icu,ceftazidime,17,262,6.49,Escherichia coli
2015,4,icu,amoxicillin/clavulanic acid,16,262,6.11,Escherichia coli
2015,4,icu,norfloxacin,16,262,6.11,Escherichia coli
2015,4,icu,levofloxacin,11,262,4.2,Escherichia coli
2015,4,icu,cefuroxime,9,262,3.44,Escherichia coli
2015,4,icu,ampicillin/sulbactam,6,262,2.29,Escherichia coli
2015,4,icu,cefepime,6,262,2.29,Escherichia coli
2015,4,icu,piperacillin/tazobactam,6,262,2.29,Escherichia coli
2015,4,icu,,6,262,2.29,Escherichia coli
2015,4,icu,meropenem,2,262,0.76,Escherichia coli
2015,4,icu,amikacin,1,262,0.38,Escherichia coli
2015,4,icu,imipenem,1,262,0.38,Escherichia coli
2015,5,icu,ampicillin,41,162,25.31,Escherichia coli
2015,5,icu,trimethoprim/sulfamethoxazole,23,162,14.2,Escherichia coli
2015,5,icu,ciprofloxacin,19,162,11.73,Escherichia coli
2015,5,icu,gentamicin,16,162,9.88,Escherichia coli
2015,5,icu,ceftriaxone,12,162,7.41,Escherichia coli
2015,5,icu,ceftazidime,11,162,6.79,Escherichia coli
2015,5,icu,cefuroxime,10,162,6.17,Escherichia coli
2015,5,icu,amoxicillin/clavulanic acid,7,162,4.32,Escherichia coli
2015,5,icu,levofloxacin,7,162,4.32,Escherichia coli
2015,5,icu,cefepime,5,162,3.09,Escherichia coli
2015,5,icu,,5,162,3.09,Escherichia coli
2015,5,icu,piperacillin/tazobactam,4,162,2.47,Escherichia coli
2015,5,icu,ampicillin/sulbactam,1,162,0.62,Escherichia coli
2015,5,icu,norfloxacin,1,162,0.62,Escherichia coli
2015,6,icu,ampicillin,40,169,23.67,Escherichia coli
2015,6,icu,trimethoprim/sulfamethoxazole,27,169,15.98,Escherichia coli
2015,6,icu,ciprofloxacin,22,169,13.02,Escherichia coli
2015,6,icu,gentamicin,15,169,8.88,Escherichia coli
2015,6,icu,ceftazidime,13,169,7.69,Escherichia coli
2015,6,icu,ceftriaxone,12,169,7.1,Escherichia coli
2015,6,icu,norfloxacin,11,169,6.51,Escherichia coli
2015,6,icu,levofloxacin,6,169,3.55,Escherichia coli
2015,6,icu,amoxicillin/clavulanic acid,5,169,2.96,Escherichia coli
2015,6,icu,cefuroxime,5,169,2.96,Escherichia coli
2015,6,icu,cefepime,4,169,2.37,Escherichia coli
2015,6,icu,piperacillin/tazobactam,3,169,1.78,Escherichia coli
2015,6,icu,ampicillin/sulbactam,2,169,1.18,Escherichia coli
2015,6,icu,,2,169,1.18,Escherichia coli
2015,6,icu,imipenem,1,169,0.59,Escherichia coli
2015,6,icu,meropenem,1,169,0.59,Escherichia coli
2015,7,icu,ampicillin,44,217,20.28,Escherichia coli
2015,7,icu,trimethoprim/sulfamethoxazole,31,217,14.29,Escherichia coli
2015,7,icu,ciprofloxacin,28,217,12.9,Escherichia coli
2015,7,icu,gentamicin,22,217,10.14,Escherichia coli
2015,7,icu,ceftriaxone,19,217,8.76,Escherichia coli
2015,7,icu,ceftazidime,16,217,7.37,Escherichia coli
2015,7,icu,amoxicillin/clavulanic acid,12,217,5.53,Escherichia coli
2015,7,icu,cefuroxime,12,217,5.53,Escherichia coli
2015,7,icu,norfloxacin,10,217,4.61,Escherichia coli
2015,7,icu,levofloxacin,8,217,3.69,Escherichia coli
2015,7,icu,,6,217,2.76,Escherichia coli
2015,7,icu,ampicillin/sulbactam,4,217,1.84,Escherichia coli
2015,7,icu,piperacillin/tazobactam,3,217,1.38,Escherichia coli
2015,7,icu,amikacin,1,217,0.46,Escherichia coli
2015,7,icu,cefepime,1,217,0.46,Escherichia coli
2015,8,icu,ampicillin,30,151,19.87,Escherichia coli
2015,8,icu,trimethoprim/sulfamethoxazole,22,151,14.57,Escherichia coli
2015,8,icu,ciprofloxacin,19,151,12.58,Escherichia coli
2015,8,icu,gentamicin,14,151,9.27,Escherichia coli
2015,8,icu,ceftriaxone,10,151,6.62,Escherichia coli
2015,8,icu,amoxicillin/clavulanic acid,9,151,5.96,Escherichia coli
2015,8,icu,ceftazidime,8,151,5.3,Escherichia coli
2015,8,icu,levofloxacin,8,151,5.3,Escherichia coli
2015,8,icu,cefuroxime,6,151,3.97,Escherichia coli
2015,8,icu,norfloxacin,6,151,3.97,Escherichia coli
2015,8,icu,,6,151,3.97,Escherichia coli
2015,8,icu,cefepime,4,151,2.65,Escherichia coli
2015,8,icu,ampicillin/sulbactam,2,151,1.32,Escherichia coli
2015,8,icu,ertapenem,2,151,1.32,Escherichia coli
2015,8,icu,piperacillin/tazobactam,2,151,1.32,Escherichia coli
2015,8,icu,amikacin,1,151,0.66,Escherichia coli
2015,8,icu,imipenem,1,151,0.66,Escherichia coli
