year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2015,1,in,ampicillin,808,3633,22.24,Escherichia coli
2015,1,in,trimethoprim/sulfamethoxazole,539,3633,14.84,Escherichia coli
2015,1,in,ciprofloxacin,441,3633,12.14,Escherichia coli
2015,1,in,gentamicin,335,3633,9.22,Escherichia coli
2015,1,in,ceftriaxone,307,3633,8.45,Escherichia coli
2015,1,in,norfloxacin,254,3633,6.99,Escherichia coli
2015,1,in,ceftazidime,238,3633,6.55,Escherichia coli
2015,1,in,amoxicillin/clavulanic acid,173,3633,4.76,Escherichia coli
2015,1,in,levofloxacin,164,3633,4.51,Escherichia coli
2015,1,in,cefuroxime,117,3633,3.22,Escherichia coli
2015,1,in,,72,3633,1.98,Escherichia coli
2015,1,in,cefepime,71,3633,1.95,Escherichia coli
2015,1,in,ampicillin/sulbactam,51,3633,1.4,Escherichia coli
2015,1,in,piperacillin/tazobactam,40,3633,1.1,Escherichia coli
2015,1,in,amikacin,16,3633,0.44,Escherichia coli
2015,1,in,imipenem,5,3633,0.14,Escherichia coli
2015,1,in,meropenem,2,3633,0.06,Escherichia coli
2015,2,in,ampicillin,744,3530,21.08,Escherichia coli
2015,2,in,trimethoprim/sulfamethoxazole,509,3530,14.42,Escherichia coli
2015,2,in,ciprofloxacin,440,3530,12.46,Escherichia coli
2015,2,in,gentamicin,309,3530,8.75,Escherichia coli
2015,2,in,ceftriaxone,308,3530,8.73,Escherichia coli
2015,2,in,norfloxacin,242,3530,6.86,Escherichia coli
2015,2,in,ceftazidime,235,3530,6.66,Escherichia coli
2015,2,in,levofloxacin,162,3530,4.59,Escherichia coli
2015,2,in,amoxicillin/clavulanic acid,151,3530,4.28,Escherichia coli
2015,2,in,cefuroxime,122,3530,3.46,Escherichia coli
2015,2,in,,88,3530,2.49,Escherichia coli
2015,2,in,ampicillin/sulbactam,63,3530,1.78,Escherichia coli
2015,2,in,cefepime,59,3530,1.67,Escherichia coli
2015,2,in,piperacillin/tazobactam,57,3530,1.61,Escherichia coli
2015,2,in,amikacin,32,3530,0.91,Escherichia coli
2015,2,in,imipenem,5,3530,0.14,Escherichia coli
2015,2,in,meropenem,4,3530,0.11,Escherichia coli
2015,3,in,ampicillin,698,3220,21.68,Escherichia coli
2015,3,in,trimethoprim/sulfamethoxazole,466,3220,14.47,Escherichia coli
2015,3,in,ciprofloxacin,394,3220,12.24,Escherichia coli
2015,3,in,ceftriaxone,291,3220,9.04,Escherichia coli
2015,3,in,gentamicin,282,3220,8.76,Escherichia coli
2015,3,in,norfloxacin,238,3220,7.39,Escherichia coli
2015,3,in,ceftazidime,166,3220,5.16,Escherichia coli
2015,3,in,levofloxacin,162,3220,5.03,Escherichia coli
2015,3,in,amoxicillin/clavulanic acid,161,3220,5.0,Escherichia coli
2015,3,in,cefuroxime,138,3220,4.29,Escherichia coli
2015,3,in,,82,3220,2.55,Escherichia coli
2015,3,in,cefepime,40,3220,1.24,Escherichia coli
2015,3,in,piperacillin/tazobactam,40,3220,1.24,Escherichia coli
2015,3,in,ampicillin/sulbactam,35,3220,1.09,Escherichia coli
2015,3,in,amikacin,17,3220,0.53,Escherichia coli
2015,3,in,meropenem,4,3220,0.12,Escherichia coli
2015,3,in,ertapenem,3,3220,0.09,Escherichia coli
2015,3,in,imipenem,3,3220,0.09,Escherichia coli
2015,4,in,ampicillin,802,3593,22.32,Escherichia coli
2015,4,in,trimethoprim/sulfamethoxazole,516,3593,14.36,Escherichia coli
2015,4,in,ciprofloxacin,437,3593,12.16,Escherichia coli
2015,4,in,gentamicin,301,3593,8.38,Escherichia coli
2015,4,in,ceftriaxone,294,3593,8.18,Escherichia coli
2015,4,in,norfloxacin,258,3593,7.18,Escherichia coli
2015,4,in,ceftazidime,211,3593,5.87,Escherichia coli
2015,4,in,amoxicillin/clavulanic acid,185,3593,5.15,Escherichia coli
2015,4,in,cefuroxime,176,3593,4.9,Escherichia coli
2015,4,in,levofloxacin,137,3593,3.81,Escherichia coli
2015,4,in,,72,3593,2.0,Escherichia coli
2015,4,in,cefepime,58,3593,1.61,Escherichia coli
2015,4,in,piperacillin/tazobactam,55,3593,1.53,Escherichia coli
2015,4,in,ampicillin/sulbactam,47,3593,1.31,Escherichia coli
2015,4,in,amikacin,32,3593,0.89,Escherichia coli
2015,4,in,ertapenem,4,3593,0.11,Escherichia coli
2015,4,in,imipenem,4,3593,0.11,Escherichia coli
2015,4,in,meropenem,4,3593,0.11,Escherichia coli
2015,5,in,ampicillin,696,3277,21.24,Escherichia coli
2015,5,in,trimethoprim/sulfamethoxazole,467,3277,14.25,Escherichia coli
2015,5,in,ciprofloxacin,408,3277,12.45,Escherichia coli
2015,5,in,gentamicin,306,3277,9.34,Escherichia coli
2015,5,in,ceftriaxone,277,3277,8.45,Escherichia coli
2015,5,in,norfloxacin,220,3277,6.71,Escherichia coli
2015,5,in,ceftazidime,216,3277,6.59,Escherichia coli
2015,5,in,amoxicillin/clavulanic acid,159,3277,4.85,Escherichia coli
2015,5,in,levofloxacin,146,3277,4.46,Escherichia coli
2015,5,in,cefuroxime,122,3277,3.72,Escherichia coli
2015,5,in,,82,3277,2.5,Escherichia coli
2015,5,in,cefepime,56,3277,1.71,Escherichia coli
2015,5,in,piperacillin/tazobactam,49,3277,1.5,Escherichia coli
2015,5,in,ampicillin/sulbactam,44,3277,1.34,Escherichia coli
2015,5,in,amikacin,20,3277,0.61,Escherichia coli
2015,5,in,imipenem,5,3277,0.15,Escherichia coli
2015,5,in,meropenem,3,3277,0.09,Escherichia coli
2015,5,in,ertapenem,1,3277,0.03,Escherichia coli
2015,6,in,ampicillin,772,3609,21.39,Escherichia coli
2015,6,in,trimethoprim/sulfamethoxazole,520,3609,14.41,Escherichia coli
2015,6,in,ciprofloxacin,426,3609,11.8,Escherichia coli
2015,6,in,gentamicin,316,3609,8.76,Escherichia coli
2015,6,in,ceftriaxone,310,3609,8.59,Escherichia coli
2015,6,in,ceftazidime,254,3609,7.04,Escherichia coli
2015,6,in,norfloxacin,214,3609,5.93,Escherichia coli
2015,6,in,cefuroxime,183,3609,5.07,Escherichia coli
2015,6,in,amoxicillin/clavulanic acid,182,3609,5.04,Escherichia coli
2015,6,in,levofloxacin,147,3609,4.07,Escherichia coli
2015,6,in,,79,3609,2.19,Escherichia coli
2015,6,in,piperacillin/tazobactam,74,3609,2.05,Escherichia coli
2015,6,in,ampicillin/sulbactam,55,3609,1.52,Escherichia coli
