year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2015,1,out,ampicillin,213,940,22.66,Escherichia coli
2015,1,out,trimethoprim/sulfamethoxazole,138,940,14.68,Escherichia coli
2015,1,out,ciprofloxacin,118,940,12.55,Escherichia coli
2015,1,out,norfloxacin,90,940,9.57,Escherichia coli
2015,1,out,gentamicin,77,940,8.19,Escherichia coli
2015,1,out,ceftazidime,59,940,6.28,Escherichia coli
2015,1,out,ceftriaxone,48,940,5.11,Escherichia coli
2015,1,out,amoxicillin/clavulanic acid,47,940,5.0,Escherichia coli
2015,1,out,levofloxacin,39,940,4.15,Escherichia coli
2015,1,out,cefuroxime,35,940,3.72,Escherichia coli
2015,1,out,cefepime,26,940,2.77,Escherichia coli
2015,1,out,piperacillin/tazobactam,22,940,2.34,Escherichia coli
2015,1,out,,17,940,1.81,Escherichia coli
2015,1,out,ampicillin/sulbactam,6,940,0.64,Escherichia coli
2015,1,out,amikacin,5,940,0.53,Escherichia coli
2015,2,out,ampicillin,206,883,23.33,Escherichia coli
2015,2,out,trimethoprim/sulfamethoxazole,143,883,16.19,Escherichia coli
2015,2,out,ciprofloxacin,103,883,11.66,Escherichia coli
2015,2,out,gentamicin,75,883,8.49,Escherichia coli
2015,2,out,norfloxacin,73,883,8.27,Escherichia coli
2015,2,out,ceftazidime,60,883,6.8,Escherichia coli
2015,2,out,ceftriaxone,60,883,6.8,Escherichia coli
2015,2,out,levofloxacin,38,883,4.3,Escherichia coli
2015,2,out,amoxicillin/clavulanic acid,33,883,3.74,Escherichia coli
2015,2,out,cefepime,25,883,2.83,Escherichia coli
2015,2,out,cefuroxime,24,883,2.72,Escherichia coli
2015,2,out,piperacillin/tazobactam,17,883,1.93,Escherichia coli
2015,2,out,,15,883,1.7,Escherichia coli
2015,2,out,ampicillin/sulbactam,7,883,0.79,Escherichia coli
2015,2,out,amikacin,4,883,0.45,Escherichia coli
2015,3,out,ampicillin,160,763,20.97,Escherichia coli
2015,3,out,trimethoprim/sulfamethoxazole,105,763,13.76,Escherichia coli
2015,3,out,ciprofloxacin,93,763,12.19,Escherichia coli
2015,3,out,norfloxacin,82,763,10.75,Escherichia coli
2015,3,out,gentamicin,74,763,9.7,Escherichia coli
2015,3,out,ceftriaxone,57,763,7.47,Escherichia coli
2015,3,out,ceftazidime,44,763,5.77,Escherichia coli
2015,3,out,amoxicillin/clavulanic acid,41,763,5.37,Escherichia coli
2015,3,out,levofloxacin,36,763,4.72,Escherichia coli
2015,3,out,cefuroxime,29,763,3.8,Escherichia coli
2015,3,out,piperacillin/tazobactam,13,763,1.7,Escherichia coli
2015,3,out,,11,763,1.44,Escherichia coli
2015,3,out,cefepime,9,763,1.18,Escherichia coli
2015,3,out,ampicillin/sulbactam,6,763,0.79,Escherichia coli
2015,3,out,amikacin,3,763,0.39,Escherichia coli
