year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2020,1,icu,erythromycin,1,2,50.0,Enterococcus faecalis
2020,1,icu,tetracycline,1,2,50.0,Enterococcus faecalis
2020,6,icu,chloramphenicol,1,5,20.0,Enterococcus faecalis
2020,6,icu,ciprofloxacin,1,5,20.0,Enterococcus faecalis
2020,6,icu,erythromycin,1,5,20.0,Enterococcus faecalis
2020,6,icu,levofloxacin,1,5,20.0,Enterococcus faecalis
2020,6,icu,tetracycline,1,5,20.0,Enterococcus faecalis
2020,9,icu,chloramphenicol,1,5,20.0,Enterococcus faecalis
2020,9,icu,ciprofloxacin,1,5,20.0,Enterococcus faecalis
2020,9,icu,erythromycin,1,5,20.0,Enterococcus faecalis
2020,9,icu,levofloxacin,1,5,20.0,Enterococcus faecalis
2020,9,icu,tetracycline,1,5,20.0,Enterococcus faecalis
2020,12,icu,erythromycin,1,1,100.0,Enterococcus faecalis
2021,1,icu,,1,1,100.0,Enterococcus faecalis
2021,4,icu,ampicillin,1,7,14.29,Enterococcus faecalis
2021,4,icu,ciprofloxacin,1,7,14.29,Enterococcus faecalis
2021,4,icu,erythromycin,1,7,14.29,Enterococcus faecalis
2021,4,icu,levofloxacin,1,7,14.29,Enterococcus faecalis
2021,4,icu,norfloxacin,1,7,14.29,Enterococcus faecalis
2021,4,icu,penicillin,1,7,14.29,Enterococcus faecalis
2021,4,icu,tetracycline,1,7,14.29,Enterococcus faecalis
