year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2020,2,in,tetracycline,6,15,40.0,Enterococcus faecalis
2020,2,in,ciprofloxacin,3,15,20.0,Enterococcus faecalis
2020,2,in,chloramphenicol,2,15,13.33,Enterococcus faecalis
2020,2,in,erythromycin,2,15,13.33,Enterococcus faecalis
2020,2,in,levofloxacin,2,15,13.33,Enterococcus faecalis
2020,4,in,ciprofloxacin,1,2,50.0,Enterococcus faecalis
2020,4,in,teicoplanin,1,2,50.0,Enterococcus faecalis
2020,6,in,ciprofloxacin,3,14,21.43,Enterococcus faecalis
2020,6,in,erythromycin,3,14,21.43,Enterococcus faecalis
2020,6,in,levofloxacin,3,14,21.43,Enterococcus faecalis
2020,6,in,tetracycline,3,14,21.43,Enterococcus faecalis
2020,6,in,penicillin,2,14,14.29,Enterococcus faecalis
2020,7,in,chloramphenicol,1,2,50.0,Enterococcus faecalis
2020,7,in,tetracycline,1,2,50.0,Enterococcus faecalis
2020,8,in,tetracycline,2,6,33.33,Enterococcus faecalis
2020,8,in,chloramphenicol,1,6,16.67,Enterococcus faecalis
2020,8,in,ciprofloxacin,1,6,16.67,Enterococcus faecalis
2020,8,in,erythromycin,1,6,16.67,Enterococcus faecalis
2020,8,in,levofloxacin,1,6,16.67,Enterococcus faecalis
2020,9,in,tetracycline,4,13,30.77,Enterococcus faecalis
2020,9,in,erythromycin,3,13,23.08,Enterococcus faecalis
2020,9,in,ciprofloxacin,2,13,15.38,Enterococcus faecalis
2020,9,in,levofloxacin,2,13,15.38,Enterococcus faecalis
2020,9,in,penicillin,2,13,15.38,Enterococcus faecalis
2020,12,in,ciprofloxacin,2,10,20.0,Enterococcus faecalis
2020,12,in,erythromycin,2,10,20.0,Enterococcus faecalis
2020,12,in,levofloxacin,2,10,20.0,Enterococcus faecalis
2020,12,in,penicillin,2,10,20.0,Enterococcus faecalis
2020,12,in,tetracycline,2,10,20.0,Enterococcus faecalis
2021,1,in,erythromycin,2,8,25.0,Enterococcus faecalis
2021,1,in,tetracycline,2,8,25.0,Enterococcus faecalis
2021,1,in,chloramphenicol,1,8,12.5,Enterococcus faecalis
2021,1,in,ciprofloxacin,1,8,12.5,Enterococcus faecalis
2021,1,in,levofloxacin,1,8,12.5,Enterococcus faecalis
2021,1,in,penicillin,1,8,12.5,Enterococcus faecalis
2021,3,in,ciprofloxacin,1,6,16.67,Enterococcus faecalis
2021,3,in,erythromycin,1,6,16.67,Enterococcus faecalis
2021,3,in,levofloxacin,1,6,16.67,Enterococcus faecalis
2021,3,in,penicillin,1,6,16.67,Enterococcus faecalis
2021,3,in,tetracycline,1,6,16.67,Enterococcus faecalis
2021,3,in,,1,6,16.67,Enterococcus faecalis
2021,4,in,tetracycline,6,22,27.27,Enterococcus faecalis
2021,4,in,ciprofloxacin,4,22,18.18,Enterococcus faecalis
2021,4,in,erythromycin,4,22,18.18,Enterococcus faecalis
2021,4,in,levofloxacin,4,22,18.18,Enterococcus faecalis
2021,4,in,penicillin,3,22,13.64,Enterococcus faecalis
2021,4,in,chloramphenicol,1,22,4.55,Enterococcus faecalis
2021,5,in,ciprofloxacin,2,7,28.57,Enterococcus faecalis
2021,5,in,tetracycline,2,7,28.57,Enterococcus faecalis
2021,5,in,chloramphenicol,1,7,14.29,Enterococcus faecalis
2021,5,in,erythromycin,1,7,14.29,Enterococcus faecalis
2021,5,in,levofloxacin,1,7,14.29,Enterococcus faecalis
2021,6,in,ciprofloxacin,1,5,20.0,Enterococcus faecalis
2021,6,in,erythromycin,1,5,20.0,Enterococcus faecalis
2021,6,in,levofloxacin,1,5,20.0,Enterococcus faecalis
2021,6,in,penicillin,1,5,20.0,Enterococcus faecalis
2021,6,in,tetracycline,1,5,20.0,Enterococcus faecalis
2021,7,in,ciprofloxacin,1,5,20.0,Enterococcus faecalis
2021,7,in,erythromycin,1,5,20.0,Enterococcus faecalis
2021,7,in,levofloxacin,1,5,20.0,Enterococcus faecalis
2021,7,in,penicillin,1,5,20.0,Enterococcus faecalis
2021,7,in,tetracycline,1,5,20.0,Enterococcus faecalis
2021,8,in,,1,1,100.0,Enterococcus faecalis
2023,1,in,ciprofloxacin,1,4,25.0,Enterococcus faecalis
2023,1,in,erythromycin,1,4,25.0,Enterococcus faecalis
2023,1,in,levofloxacin,1,4,25.0,Enterococcus faecalis
2023,1,in,tetracycline,1,4,25.0,Enterococcus faecalis
2023,11,in,ciprofloxacin,1,4,25.0,Enterococcus faecalis
2023,11,in,erythromycin,1,4,25.0,Enterococcus faecalis
2023,11,in,levofloxacin,1,4,25.0,Enterococcus faecalis
2023,11,in,tetracycline,1,4,25.0,Enterococcus faecalis
2024,1,in,erythromycin,1,2,50.0,Enterococcus faecalis
2024,1,in,tetracycline,1,2,50.0,Enterococcus faecalis
2024,3,in,ciprofloxacin,1,4,25.0,Enterococcus faecalis
2024,3,in,erythromycin,1,4,25.0,Enterococcus faecalis
2024,3,in,levofloxacin,1,4,25.0,Enterococcus faecalis
2024,3,in,penicillin,1,4,25.0,Enterococcus faecalis
2024,4,in,tetracycline,3,10,30.0,Enterococcus faecalis
2024,4,in,ciprofloxacin,2,10,20.0,Enterococcus faecalis
2024,4,in,levofloxacin,2,10,20.0,Enterococcus faecalis
2024,4,in,penicillin,2,10,20.0,Enterococcus faecalis
