year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2020,6,out,chloramphenicol,1,6,16.67,Enterococcus faecalis
2020,6,out,ciprofloxacin,1,6,16.67,Enterococcus faecalis
2020,6,out,erythromycin,1,6,16.67,Enterococcus faecalis
2020,6,out,levofloxacin,1,6,16.67,Enterococcus faecalis
2020,6,out,penicillin,1,6,16.67,Enterococcus faecalis
2020,6,out,tetracycline,1,6,16.67,Enterococcus faecalis
2020,8,out,chloramphenicol,1,3,33.33,Enterococcus faecalis
2020,8,out,erythromycin,1,3,33.33,Enterococcus faecalis
2020,8,out,tetracycline,1,3,33.33,Enterococcus faecalis
2021,1,out,tetracycline,1,2,50.0,Enterococcus faecalis
2021,1,out,,1,2,50.0,Enterococcus faecalis
2021,2,out,ciprofloxacin,1,5,20.0,Enterococcus faecalis
2021,2,out,erythromycin,1,5,20.0,Enterococcus faecalis
2021,2,out,levofloxacin,1,5,20.0,Enterococcus faecalis
2021,2,out,penicillin,1,5,20.0,Enterococcus faecalis
2021,2,out,tetracycline,1,5,20.0,Enterococcus faecalis
2021,3,out,tetracycline,1,1,100.0,Enterococcus faecalis
2021,7,out,ciprofloxacin,1,4,25.0,Enterococcus faecalis
2021,7,out,erythromycin,1,4,25.0,Enterococcus faecalis
2021,7,out,levofloxacin,1,4,25.0,Enterococcus faecalis
2021,7,out,tetracycline,1,4,25.0,Enterococcus faecalis
2023,1,out,ciprofloxacin,1,4,25.0,Enterococcus faecalis
2023,1,out,erythromycin,1,4,25.0,Enterococcus faecalis
2023,1,out,levofloxacin,1,4,25.0,Enterococcus faecalis
2023,1,out,tetracycline,1,4,25.0,Enterococcus faecalis
2024,7,out,chloramphenicol,1,3,33.33,Enterococcus faecalis
2024,7,out,erythromycin,1,3,33.33,Enterococcus faecalis
2024,7,out,tetracycline,1,3,33.33,Enterococcus faecalis
