year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2021,8,icu,,1,1,100.0,Enterococcus faecium
2021,10,icu,ampicillin,1,7,14.29,Enterococcus faecium
2021,10,icu,ciprofloxacin,1,7,14.29,Enterococcus faecium
2021,10,icu,erythromycin,1,7,14.29,Enterococcus faecium
2021,10,icu,levofloxacin,1,7,14.29,Enterococcus faecium
2021,10,icu,penicillin,1,7,14.29,Enterococcus faecium
2021,10,icu,tetracycline,1,7,14.29,Enterococcus faecium
2021,10,icu,vancomycin,1,7,14.29,Enterococcus faecium
2021,11,icu,ampicillin,1,6,16.67,Enterococcus faecium
2021,11,icu,ciprofloxacin,1,6,16.67,Enterococcus faecium
2021,11,icu,erythromycin,1,6,16.67,Enterococcus faecium
2021,11,icu,levofloxacin,1,6,16.67,Enterococcus faecium
2021,11,icu,penicillin,1,6,16.67,Enterococcus faecium
2021,11,icu,tetracycline,1,6,16.67,Enterococcus faecium
2024,1,icu,ampicillin,1,8,12.5,Enterococcus faecium
2024,1,icu,ciprofloxacin,1,8,12.5,Enterococcus faecium
2024,1,icu,erythromycin,1,8,12.5,Enterococcus faecium
2024,1,icu,levofloxacin,1,8,12.5,Enterococcus faecium
2024,1,icu,penicillin,1,8,12.5,Enterococcus faecium
2024,1,icu,teicoplanin,1,8,12.5,Enterococcus faecium
2024,1,icu,tetracycline,1,8,12.5,Enterococcus faecium
2024,1,icu,vancomycin,1,8,12.5,Enterococcus faecium
2024,3,icu,ampicillin,1,6,16.67,Enterococcus faecium
2024,3,icu,ciprofloxacin,1,6,16.67,Enterococcus faecium
2024,3,icu,erythromycin,1,6,16.67,Enterococcus faecium
2024,3,icu,levofloxacin,1,6,16.67,Enterococcus faecium
2024,3,icu,penicillin,1,6,16.67,Enterococcus faecium
2024,3,icu,vancomycin,1,6,16.67,Enterococcus faecium
2024,9,icu,ampicillin,1,8,12.5,Enterococcus faecium
2024,9,icu,ciprofloxacin,1,8,12.5,Enterococcus faecium
2024,9,icu,erythromycin,1,8,12.5,Enterococcus faecium
2024,9,icu,levofloxacin,1,8,12.5,Enterococcus faecium
2024,9,icu,penicillin,1,8,12.5,Enterococcus faecium
2024,9,icu,teicoplanin,1,8,12.5,Enterococcus faecium
2024,9,icu,tetracycline,1,8,12.5,Enterococcus faecium
2024,9,icu,vancomycin,1,8,12.5,Enterococcus faecium
2024,10,icu,ampicillin,1,6,16.67,Enterococcus faecium
2024,10,icu,ciprofloxacin,1,6,16.67,Enterococcus faecium
2024,10,icu,erythromycin,1,6,16.67,Enterococcus faecium
2024,10,icu,levofloxacin,1,6,16.67,Enterococcus faecium
2024,10,icu,penicillin,1,6,16.67,Enterococcus faecium
2024,10,icu,tetracycline,1,6,16.67,Enterococcus faecium
