year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2019,8,in,ampicillin,1,6,16.67,Enterococcus faecium
2019,8,in,ciprofloxacin,1,6,16.67,Enterococcus faecium
2019,8,in,erythromycin,1,6,16.67,Enterococcus faecium
2019,8,in,levofloxacin,1,6,16.67,Enterococcus faecium
2019,8,in,penicillin,1,6,16.67,Enterococcus faecium
2019,8,in,tetracycline,1,6,16.67,Enterococcus faecium
2020,2,in,ampicillin,2,15,13.33,Enterococcus faecium
2020,2,in,ciprofloxacin,2,15,13.33,Enterococcus faecium
2020,2,in,erythromycin,2,15,13.33,Enterococcus faecium
2020,2,in,levofloxacin,2,15,13.33,Enterococcus faecium
2020,2,in,penicillin,2,15,13.33,Enterococcus faecium
2020,2,in,teicoplanin,2,15,13.33,Enterococcus faecium
2020,2,in,vancomycin,2,15,13.33,Enterococcus faecium
2020,2,in,tetracycline,1,15,6.67,Enterococcus faecium
2020,6,in,ampicillin,1,6,16.67,Enterococcus faecium
2020,6,in,ciprofloxacin,1,6,16.67,Enterococcus faecium
2020,6,in,erythromycin,1,6,16.67,Enterococcus faecium
2020,6,in,levofloxacin,1,6,16.67,Enterococcus faecium
2020,6,in,penicillin,1,6,16.67,Enterococcus faecium
2020,6,in,tetracycline,1,6,16.67,Enterococcus faecium
2020,12,in,ampicillin,1,10,10.0,Enterococcus faecium
2020,12,in,chloramphenicol,1,10,10.0,Enterococcus faecium
2020,12,in,ciprofloxacin,1,10,10.0,Enterococcus faecium
2020,12,in,erythromycin,1,10,10.0,Enterococcus faecium
2020,12,in,levofloxacin,1,10,10.0,Enterococcus faecium
2020,12,in,norfloxacin,1,10,10.0,Enterococcus faecium
2020,12,in,penicillin,1,10,10.0,Enterococcus faecium
2020,12,in,teicoplanin,1,10,10.0,Enterococcus faecium
2020,12,in,tetracycline,1,10,10.0,Enterococcus faecium
2020,12,in,vancomycin,1,10,10.0,Enterococcus faecium
2021,1,in,ampicillin,1,6,16.67,Enterococcus faecium
2021,1,in,ciprofloxacin,1,6,16.67,Enterococcus faecium
2021,1,in,erythromycin,1,6,16.67,Enterococcus faecium
2021,1,in,levofloxacin,1,6,16.67,Enterococcus faecium
2021,1,in,penicillin,1,6,16.67,Enterococcus faecium
2021,1,in,tetracycline,1,6,16.67,Enterococcus faecium
2021,2,in,ampicillin,1,10,10.0,Enterococcus faecium
2021,2,in,chloramphenicol,1,10,10.0,Enterococcus faecium
2021,2,in,ciprofloxacin,1,10,10.0,Enterococcus faecium
2021,2,in,erythromycin,1,10,10.0,Enterococcus faecium
2021,2,in,levofloxacin,1,10,10.0,Enterococcus faecium
2021,2,in,norfloxacin,1,10,10.0,Enterococcus faecium
2021,2,in,penicillin,1,10,10.0,Enterococcus faecium
2021,2,in,teicoplanin,1,10,10.0,Enterococcus faecium
2021,2,in,tetracycline,1,10,10.0,Enterococcus faecium
2021,2,in,vancomycin,1,10,10.0,Enterococcus faecium
2021,3,in,ampicillin,1,9,11.11,Enterococcus faecium
2021,3,in,ciprofloxacin,1,9,11.11,Enterococcus faecium
2021,3,in,erythromycin,1,9,11.11,Enterococcus faecium
2021,3,in,levofloxacin,1,9,11.11,Enterococcus faecium
2021,3,in,penicillin,1,9,11.11,Enterococcus faecium
2021,3,in,teicoplanin,1,9,11.11,Enterococcus faecium
2021,3,in,tetracycline,1,9,11.11,Enterococcus faecium
2021,3,in,vancomycin,1,9,11.11,Enterococcus faecium
2021,3,in,,1,9,11.11,Enterococcus faecium
2021,6,in,ampicillin,2,16,12.5,Enterococcus faecium
2021,6,in,ciprofloxacin,2,16,12.5,Enterococcus faecium
2021,6,in,erythromycin,2,16,12.5,Enterococcus faecium
2021,6,in,levofloxacin,2,16,12.5,Enterococcus faecium
2021,6,in,penicillin,2,16,12.5,Enterococcus faecium
2021,6,in,tetracycline,2,16,12.5,Enterococcus faecium
2021,6,in,chloramphenicol,1,16,6.25,Enterococcus faecium
2021,6,in,norfloxacin,1,16,6.25,Enterococcus faecium
2021,6,in,teicoplanin,1,16,6.25,Enterococcus faecium
2021,6,in,vancomycin,1,16,6.25,Enterococcus faecium
2021,7,in,ampicillin,2,16,12.5,Enterococcus faecium
2021,7,in,ciprofloxacin,2,16,12.5,Enterococcus faecium
2021,7,in,erythromycin,2,16,12.5,Enterococcus faecium
