year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2015,1,icu,ampicillin,57,223,25.56,Klebsiella pneumoniae
2015,1,icu,trimethoprim/sulfamethoxazole,25,223,11.21,Klebsiella pneumoniae
2015,1,icu,ciprofloxacin,24,223,10.76,Klebsiella pneumoniae
2015,1,icu,ceftazidime,20,223,8.97,Klebsiella pneumoniae
2015,1,icu,ceftriaxone,20,223,8.97,Klebsiella pneumoniae
2015,1,icu,amoxicillin/clavulanic acid,16,223,7.17,Klebsiella pneumoniae
2015,1,icu,gentamicin,16,223,7.17,Klebsiella pneumoniae
2015,1,icu,piperacillin/tazobactam,14,223,6.28,Klebsiella pneumoniae
2015,1,icu,cefuroxime,8,223,3.59,Klebsiella pneumoniae
2015,1,icu,ampicillin/sulbactam,5,223,2.24,Klebsiella pneumoniae
2015,1,icu,amikacin,4,223,1.79,Klebsiella pneumoniae
2015,1,icu,cefepime,4,223,1.79,Klebsiella pneumoniae
2015,1,icu,levofloxacin,3,223,1.35,Klebsiella pneumoniae
2015,1,icu,norfloxacin,3,223,1.35,Klebsiella pneumoniae
2015,1,icu,imipenem,2,223,0.9,Klebsiella pneumoniae
2015,1,icu,meropenem,2,223,0.9,Klebsiella pneumoniae
2015,2,icu,ampicillin,47,219,21.46,Klebsiella pneumoniae
2015,2,icu,ciprofloxacin,27,219,12.33,Klebsiella pneumoniae
2015,2,icu,trimethoprim/sulfamethoxazole,27,219,12.33,Klebsiella pneumoniae
2015,2,icu,ceftazidime,23,219,10.5,Klebsiella pneumoniae
2015,2,icu,ceftriaxone,22,219,10.05,Klebsiella pneumoniae
2015,2,icu,gentamicin,17,219,7.76,Klebsiella pneumoniae
2015,2,icu,amoxicillin/clavulanic acid,11,219,5.02,Klebsiella pneumoniae
2015,2,icu,cefuroxime,10,219,4.57,Klebsiella pneumoniae
2015,2,icu,piperacillin/tazobactam,9,219,4.11,Klebsiella pneumoniae
2015,2,icu,ampicillin/sulbactam,7,219,3.2,Klebsiella pneumoniae
2015,2,icu,levofloxacin,6,219,2.74,Klebsiella pneumoniae
2015,2,icu,norfloxacin,6,219,2.74,Klebsiella pneumoniae
2015,2,icu,cefepime,3,219,1.37,Klebsiella pneumoniae
2015,2,icu,amikacin,2,219,0.91,Klebsiella pneumoniae
2015,2,icu,ertapenem,1,219,0.46,Klebsiella pneumoniae
2015,2,icu,meropenem,1,219,0.46,Klebsiella pneumoniae
2015,3,icu,ampicillin,53,196,27.04,Klebsiella pneumoniae
2015,3,icu,trimethoprim/sulfamethoxazole,25,196,12.76,Klebsiella pneumoniae
2015,3,icu,ciprofloxacin,19,196,9.69,Klebsiella pneumoniae
2015,3,icu,ceftazidime,17,196,8.67,Klebsiella pneumoniae
2015,3,icu,ceftriaxone,17,196,8.67,Klebsiella pneumoniae
2015,3,icu,gentamicin,15,196,7.65,Klebsiella pneumoniae
2015,3,icu,amoxicillin/clavulanic acid,11,196,5.61,Klebsiella pneumoniae
2015,3,icu,cefuroxime,9,196,4.59,Klebsiella pneumoniae
2015,3,icu,piperacillin/tazobactam,9,196,4.59,Klebsiella pneumoniae
2015,3,icu,cefepime,7,196,3.57,Klebsiella pneumoniae
2015,3,icu,amikacin,4,196,2.04,Klebsiella pneumoniae
2015,3,icu,ampicillin/sulbactam,3,196,1.53,Klebsiella pneumoniae
2015,3,icu,levofloxacin,3,196,1.53,Klebsiella pneumoniae
2015,3,icu,norfloxacin,3,196,1.53,Klebsiella pneumoniae
2015,3,icu,imipenem,1,196,0.51,Klebsiella pneumoniae
2015,4,icu,ampicillin,56,202,27.72,Klebsiella pneumoniae
2015,4,icu,trimethoprim/sulfamethoxazole,22,202,10.89,Klebsiella pneumoniae
2015,4,icu,ceftazidime,20,202,9.9,Klebsiella pneumoniae
2015,4,icu,ciprofloxacin,20,202,9.9,Klebsiella pneumoniae
2015,4,icu,ceftriaxone,16,202,7.92,Klebsiella pneumoniae
2015,4,icu,amoxicillin/clavulanic acid,15,202,7.43,Klebsiella pneumoniae
2015,4,icu,gentamicin,15,202,7.43,Klebsiella pneumoniae
2015,4,icu,cefuroxime,12,202,5.94,Klebsiella pneumoniae
2015,4,icu,piperacillin/tazobactam,8,202,3.96,Klebsiella pneumoniae
2015,4,icu,levofloxacin,5,202,2.48,Klebsiella pneumoniae
2015,4,icu,norfloxacin,5,202,2.48,Klebsiella pneumoniae
2015,4,icu,cefepime,4,202,1.98,Klebsiella pneumoniae
2015,4,icu,ampicillin/sulbactam,2,202,0.99,Klebsiella pneumoniae
2015,4,icu,imipenem,1,202,0.5,Klebsiella pneumoniae
2015,4,icu,meropenem,1,202,0.5,Klebsiella pneumoniae
2015,5,icu,ampicillin,47,198,23.74,Klebsiella pneumoniae
2015,5,icu,ciprofloxacin,23,198,11.62,Klebsiella pneumoniae
2015,5,icu,ceftazidime,21,198,10.61,Klebsiella pneumoniae
2015,5,icu,ceftriaxone,18,198,9.09,Klebsiella pneumoniae
2015,5,icu,trimethoprim/sulfamethoxazole,18,198,9.09,Klebsiella pneumoniae
2015,5,icu,gentamicin,15,198,7.58,Klebsiella pneumoniae
2015,5,icu,piperacillin/tazobactam,14,198,7.07,Klebsiella pneumoniae
2015,5,icu,amoxicillin/clavulanic acid,13,198,6.57,Klebsiella pneumoniae
2015,5,icu,cefepime,9,198,4.55,Klebsiella pneumoniae
2015,5,icu,cefuroxime,7,198,3.54,Klebsiella pneumoniae
2015,5,icu,ampicillin/sulbactam,3,198,1.52,Klebsiella pneumoniae
2015,5,icu,levofloxacin,3,198,1.52,Klebsiella pneumoniae
2015,5,icu,norfloxacin,3,198,1.52,Klebsiella pneumoniae
2015,5,icu,amikacin,2,198,1.01,Klebsiella pneumoniae
2015,5,icu,imipenem,1,198,0.51,Klebsiella pneumoniae
2015,5,icu,meropenem,1,198,0.51,Klebsiella pneumoniae
2015,6,icu,ampicillin,61,246,24.8,Klebsiella pneumoniae
2015,6,icu,ceftazidime,29,246,11.79,Klebsiella pneumoniae
