year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2015,1,in,ampicillin,570,2002,28.47,Klebsiella pneumoniae
2015,1,in,trimethoprim/sulfamethoxazole,218,2002,10.89,Klebsiella pneumoniae
2015,1,in,ciprofloxacin,217,2002,10.84,Klebsiella pneumoniae
2015,1,in,ceftriaxone,176,2002,8.79,Klebsiella pneumoniae
2015,1,in,ceftazidime,175,2002,8.74,Klebsiella pneumoniae
2015,1,in,amoxicillin/clavulanic acid,142,2002,7.09,Klebsiella pneumoniae
2015,1,in,gentamicin,101,2002,5.04,Klebsiella pneumoniae
2015,1,in,piperacillin/tazobactam,90,2002,4.5,Klebsiella pneumoniae
2015,1,in,cefuroxime,67,2002,3.35,Klebsiella pneumoniae
2015,1,in,levofloxacin,57,2002,2.85,Klebsiella pneumoniae
2015,1,in,norfloxacin,50,2002,2.5,Klebsiella pneumoniae
2015,1,in,cefepime,49,2002,2.45,Klebsiella pneumoniae
2015,1,in,ampicillin/sulbactam,34,2002,1.7,Klebsiella pneumoniae
2015,1,in,imipenem,18,2002,0.9,Klebsiella pneumoniae
2015,1,in,amikacin,16,2002,0.8,Klebsiella pneumoniae
2015,1,in,meropenem,16,2002,0.8,Klebsiella pneumoniae
2015,1,in,ertapenem,6,2002,0.3,Klebsiella pneumoniae
2015,2,in,ampicillin,531,1743,30.46,Klebsiella pneumoniae
2015,2,in,trimethoprim/sulfamethoxazole,204,1743,11.7,Klebsiella pneumoniae
2015,2,in,ciprofloxacin,183,1743,10.5,Klebsiella pneumoniae
2015,2,in,ceftriaxone,145,1743,8.32,Klebsiella pneumoniae
2015,2,in,ceftazidime,139,1743,7.97,Klebsiella pneumoniae
2015,2,in,amoxicillin/clavulanic acid,111,1743,6.37,Klebsiella pneumoniae
2015,2,in,gentamicin,89,1743,5.11,Klebsiella pneumoniae
2015,2,in,piperacillin/tazobactam,88,1743,5.05,Klebsiella pneumoniae
2015,2,in,cefuroxime,68,1743,3.9,Klebsiella pneumoniae
2015,2,in,levofloxacin,43,1743,2.47,Klebsiella pneumoniae
2015,2,in,ampicillin/sulbactam,38,1743,2.18,Klebsiella pneumoniae
2015,2,in,norfloxacin,38,1743,2.18,Klebsiella pneumoniae
2015,2,in,cefepime,31,1743,1.78,Klebsiella pneumoniae
2015,2,in,meropenem,13,1743,0.75,Klebsiella pneumoniae
2015,2,in,amikacin,10,1743,0.57,Klebsiella pneumoniae
2015,2,in,imipenem,9,1743,0.52,Klebsiella pneumoniae
2015,2,in,ertapenem,3,1743,0.17,Klebsiella pneumoniae
2015,3,in,ampicillin,491,1722,28.51,Klebsiella pneumoniae
2015,3,in,trimethoprim/sulfamethoxazole,196,1722,11.38,Klebsiella pneumoniae
2015,3,in,ciprofloxacin,172,1722,9.99,Klebsiella pneumoniae
2015,3,in,ceftriaxone,148,1722,8.59,Klebsiella pneumoniae
2015,3,in,ceftazidime,142,1722,8.25,Klebsiella pneumoniae
2015,3,in,amoxicillin/clavulanic acid,115,1722,6.68,Klebsiella pneumoniae
2015,3,in,piperacillin/tazobactam,88,1722,5.11,Klebsiella pneumoniae
2015,3,in,gentamicin,78,1722,4.53,Klebsiella pneumoniae
2015,3,in,cefuroxime,71,1722,4.12,Klebsiella pneumoniae
2015,3,in,levofloxacin,65,1722,3.77,Klebsiella pneumoniae
2015,3,in,norfloxacin,43,1722,2.5,Klebsiella pneumoniae
2015,3,in,ampicillin/sulbactam,31,1722,1.8,Klebsiella pneumoniae
2015,3,in,cefepime,31,1722,1.8,Klebsiella pneumoniae
2015,3,in,meropenem,19,1722,1.1,Klebsiella pneumoniae
2015,3,in,imipenem,16,1722,0.93,Klebsiella pneumoniae
2015,3,in,amikacin,15,1722,0.87,Klebsiella pneumoniae
2015,3,in,ertapenem,1,1722,0.06,Klebsiella pneumoniae
2015,4,in,ampicillin,557,2063,27.0,Klebsiella pneumoniae
2015,4,in,trimethoprim/sulfamethoxazole,237,2063,11.49,Klebsiella pneumoniae
2015,4,in,ciprofloxacin,220,2063,10.66,Klebsiella pneumoniae
2015,4,in,ceftriaxone,160,2063,7.76,Klebsiella pneumoniae
2015,4,in,ceftazidime,157,2063,7.61,Klebsiella pneumoniae
2015,4,in,amoxicillin/clavulanic acid,146,2063,7.08,Klebsiella pneumoniae
2015,4,in,gentamicin,124,2063,6.01,Klebsiella pneumoniae
2015,4,in,piperacillin/tazobactam,114,2063,5.53,Klebsiella pneumoniae
2015,4,in,cefuroxime,107,2063,5.19,Klebsiella pneumoniae
2015,4,in,levofloxacin,54,2063,2.62,Klebsiella pneumoniae
2015,4,in,norfloxacin,53,2063,2.57,Klebsiella pneumoniae
2015,4,in,cefepime,49,2063,2.38,Klebsiella pneumoniae
2015,4,in,ampicillin/sulbactam,26,2063,1.26,Klebsiella pneumoniae
2015,4,in,meropenem,19,2063,0.92,Klebsiella pneumoniae
2015,4,in,imipenem,18,2063,0.87,Klebsiella pneumoniae
2015,4,in,amikacin,17,2063,0.82,Klebsiella pneumoniae
2015,4,in,ertapenem,5,2063,0.24,Klebsiella pneumoniae
2015,5,in,ampicillin,522,1870,27.91,Klebsiella pneumoniae
2015,5,in,trimethoprim/sulfamethoxazole,203,1870,10.86,Klebsiella pneumoniae
2015,5,in,ciprofloxacin,184,1870,9.84,Klebsiella pneumoniae
2015,5,in,ceftazidime,166,1870,8.88,Klebsiella pneumoniae
2015,5,in,ceftriaxone,159,1870,8.5,Klebsiella pneumoniae
2015,5,in,piperacillin/tazobactam,125,1870,6.68,Klebsiella pneumoniae
2015,5,in,amoxicillin/clavulanic acid,124,1870,6.63,Klebsiella pneumoniae
2015,5,in,gentamicin,110,1870,5.88,Klebsiella pneumoniae
2015,5,in,cefuroxime,67,1870,3.58,Klebsiella pneumoniae
2015,5,in,cefepime,45,1870,2.41,Klebsiella pneumoniae
2015,5,in,norfloxacin,45,1870,2.41,Klebsiella pneumoniae
2015,5,in,ampicillin/sulbactam,35,1870,1.87,Klebsiella pneumoniae
2015,5,in,levofloxacin,35,1870,1.87,Klebsiella pneumoniae
2015,5,in,imipenem,18,1870,0.96,Klebsiella pneumoniae
2015,5,in,meropenem,17,1870,0.91,Klebsiella pneumoniae
2015,5,in,amikacin,13,1870,0.7,Klebsiella pneumoniae
2015,5,in,ertapenem,2,1870,0.11,Klebsiella pneumoniae
2015,6,in,ampicillin,568,2102,27.02,Klebsiella pneumoniae
2015,6,in,trimethoprim/sulfamethoxazole,239,2102,11.37,Klebsiella pneumoniae
2015,6,in,ciprofloxacin,211,2102,10.04,Klebsiella pneumoniae
2015,6,in,ceftazidime,191,2102,9.09,Klebsiella pneumoniae
2015,6,in,ceftriaxone,169,2102,8.04,Klebsiella pneumoniae
2015,6,in,piperacillin/tazobactam,136,2102,6.47,Klebsiella pneumoniae
2015,6,in,amoxicillin/clavulanic acid,122,2102,5.8,Klebsiella pneumoniae
2015,6,in,gentamicin,118,2102,5.61,Klebsiella pneumoniae
2015,6,in,cefuroxime,104,2102,4.95,Klebsiella pneumoniae
2015,6,in,levofloxacin,52,2102,2.47,Klebsiella pneumoniae
2015,6,in,norfloxacin,50,2102,2.38,Klebsiella pneumoniae
2015,6,in,ampicillin/sulbactam,40,2102,1.9,Klebsiella pneumoniae
2015,6,in,cefepime,39,2102,1.86,Klebsiella pneumoniae
2015,6,in,meropenem,23,2102,1.09,Klebsiella pneumoniae
2015,6,in,imipenem,20,2102,0.95,Klebsiella pneumoniae
2015,6,in,amikacin,15,2102,0.71,Klebsiella pneumoniae
2015,6,in,ertapenem,5,2102,0.24,Klebsiella pneumoniae
2015,7,in,ampicillin,582,1968,29.57,Klebsiella pneumoniae
2015,7,in,trimethoprim/sulfamethoxazole,228,1968,11.59,Klebsiella pneumoniae
2015,7,in,ciprofloxacin,204,1968,10.37,Klebsiella pneumoniae
2015,7,in,ceftazidime,169,1968,8.59,Klebsiella pneumoniae
2015,7,in,ceftriaxone,153,1968,7.77,Klebsiella pneumoniae
2015,7,in,amoxicillin/clavulanic acid,143,1968,7.27,Klebsiella pneumoniae
