year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2015,1,out,ampicillin,85,220,38.64,Klebsiella pneumoniae
2015,1,out,ciprofloxacin,22,220,10.0,Klebsiella pneumoniae
2015,1,out,trimethoprim/sulfamethoxazole,22,220,10.0,Klebsiella pneumoniae
2015,1,out,amoxicillin/clavulanic acid,19,220,8.64,Klebsiella pneumoniae
2015,1,out,ceftazidime,14,220,6.36,Klebsiella pneumoniae
2015,1,out,piperacillin/tazobactam,12,220,5.45,Klebsiella pneumoniae
2015,1,out,ceftriaxone,9,220,4.09,Klebsiella pneumoniae
2015,1,out,gentamicin,9,220,4.09,Klebsiella pneumoniae
2015,1,out,cefepime,8,220,3.64,Klebsiella pneumoniae
2015,1,out,cefuroxime,7,220,3.18,Klebsiella pneumoniae
2015,1,out,norfloxacin,7,220,3.18,Klebsiella pneumoniae
2015,1,out,levofloxacin,3,220,1.36,Klebsiella pneumoniae
2015,1,out,ampicillin/sulbactam,2,220,0.91,Klebsiella pneumoniae
2015,1,out,imipenem,1,220,0.45,Klebsiella pneumoniae
2015,2,out,ampicillin,83,223,37.22,Klebsiella pneumoniae
2015,2,out,trimethoprim/sulfamethoxazole,22,223,9.87,Klebsiella pneumoniae
2015,2,out,amoxicillin/clavulanic acid,17,223,7.62,Klebsiella pneumoniae
2015,2,out,ceftazidime,17,223,7.62,Klebsiella pneumoniae
2015,2,out,ciprofloxacin,16,223,7.17,Klebsiella pneumoniae
2015,2,out,ceftriaxone,13,223,5.83,Klebsiella pneumoniae
2015,2,out,gentamicin,12,223,5.38,Klebsiella pneumoniae
2015,2,out,piperacillin/tazobactam,12,223,5.38,Klebsiella pneumoniae
2015,2,out,norfloxacin,11,223,4.93,Klebsiella pneumoniae
2015,2,out,ampicillin/sulbactam,5,223,2.24,Klebsiella pneumoniae
2015,2,out,cefepime,4,223,1.79,Klebsiella pneumoniae
2015,2,out,cefuroxime,4,223,1.79,Klebsiella pneumoniae
2015,2,out,levofloxacin,4,223,1.79,Klebsiella pneumoniae
2015,2,out,amikacin,1,223,0.45,Klebsiella pneumoniae
2015,2,out,imipenem,1,223,0.45,Klebsiella pneumoniae
2015,2,out,meropenem,1,223,0.45,Klebsiella pneumoniae
2015,3,out,ampicillin,53,154,34.42,Klebsiella pneumoniae
2015,3,out,ciprofloxacin,20,154,12.99,Klebsiella pneumoniae
2015,3,out,trimethoprim/sulfamethoxazole,19,154,12.34,Klebsiella pneumoniae
2015,3,out,amoxicillin/clavulanic acid,11,154,7.14,Klebsiella pneumoniae
2015,3,out,norfloxacin,11,154,7.14,Klebsiella pneumoniae
2015,3,out,gentamicin,9,154,5.84,Klebsiella pneumoniae
2015,3,out,ceftazidime,8,154,5.19,Klebsiella pneumoniae
2015,3,out,ceftriaxone,8,154,5.19,Klebsiella pneumoniae
2015,3,out,cefuroxime,8,154,5.19,Klebsiella pneumoniae
2015,3,out,ampicillin/sulbactam,3,154,1.95,Klebsiella pneumoniae
2015,3,out,levofloxacin,2,154,1.3,Klebsiella pneumoniae
2015,3,out,cefepime,1,154,0.65,Klebsiella pneumoniae
2015,3,out,piperacillin/tazobactam,1,154,0.65,Klebsiella pneumoniae
2015,4,out,ampicillin,73,226,32.3,Klebsiella pneumoniae
2015,4,out,trimethoprim/sulfamethoxazole,25,226,11.06,Klebsiella pneumoniae
2015,4,out,ciprofloxacin,24,226,10.62,Klebsiella pneumoniae
2015,4,out,ceftazidime,15,226,6.64,Klebsiella pneumoniae
2015,4,out,amoxicillin/clavulanic acid,13,226,5.75,Klebsiella pneumoniae
2015,4,out,gentamicin,12,226,5.31,Klebsiella pneumoniae
2015,4,out,ceftriaxone,11,226,4.87,Klebsiella pneumoniae
2015,4,out,piperacillin/tazobactam,11,226,4.87,Klebsiella pneumoniae
2015,4,out,cefepime,9,226,3.98,Klebsiella pneumoniae
2015,4,out,cefuroxime,9,226,3.98,Klebsiella pneumoniae
2015,4,out,norfloxacin,9,226,3.98,Klebsiella pneumoniae
2015,4,out,levofloxacin,6,226,2.65,Klebsiella pneumoniae
2015,4,out,amikacin,3,226,1.33,Klebsiella pneumoniae
2015,4,out,imipenem,2,226,0.88,Klebsiella pneumoniae
2015,4,out,meropenem,2,226,0.88,Klebsiella pneumoniae
2015,4,out,ampicillin/sulbactam,1,226,0.44,Klebsiella pneumoniae
2015,4,out,ertapenem,1,226,0.44,Klebsiella pneumoniae
2015,5,out,ampicillin,68,166,40.96,Klebsiella pneumoniae
2015,5,out,trimethoprim/sulfamethoxazole,17,166,10.24,Klebsiella pneumoniae
2015,5,out,ciprofloxacin,15,166,9.04,Klebsiella pneumoniae
2015,5,out,ceftazidime,12,166,7.23,Klebsiella pneumoniae
2015,5,out,amoxicillin/clavulanic acid,11,166,6.63,Klebsiella pneumoniae
2015,5,out,ceftriaxone,8,166,4.82,Klebsiella pneumoniae
2015,5,out,piperacillin/tazobactam,6,166,3.61,Klebsiella pneumoniae
2015,5,out,gentamicin,5,166,3.01,Klebsiella pneumoniae
2015,5,out,norfloxacin,5,166,3.01,Klebsiella pneumoniae
2015,5,out,cefuroxime,4,166,2.41,Klebsiella pneumoniae
2015,5,out,imipenem,4,166,2.41,Klebsiella pneumoniae
2015,5,out,meropenem,4,166,2.41,Klebsiella pneumoniae
2015,5,out,cefepime,3,166,1.81,Klebsiella pneumoniae
2015,5,out,levofloxacin,2,166,1.2,Klebsiella pneumoniae
2015,5,out,ampicillin/sulbactam,1,166,0.6,Klebsiella pneumoniae
2015,5,out,ertapenem,1,166,0.6,Klebsiella pneumoniae
2015,6,out,ampicillin,91,271,33.58,Klebsiella pneumoniae
2015,6,out,trimethoprim/sulfamethoxazole,29,271,10.7,Klebsiella pneumoniae
2015,6,out,ciprofloxacin,27,271,9.96,Klebsiella pneumoniae
2015,6,out,ceftazidime,23,271,8.49,Klebsiella pneumoniae
2015,6,out,amoxicillin/clavulanic acid,19,271,7.01,Klebsiella pneumoniae
2015,6,out,ceftriaxone,18,271,6.64,Klebsiella pneumoniae
2015,6,out,cefuroxime,15,271,5.54,Klebsiella pneumoniae
2015,6,out,piperacillin/tazobactam,14,271,5.17,Klebsiella pneumoniae
2015,6,out,gentamicin,11,271,4.06,Klebsiella pneumoniae
2015,6,out,norfloxacin,9,271,3.32,Klebsiella pneumoniae
2015,6,out,levofloxacin,6,271,2.21,Klebsiella pneumoniae
2015,6,out,cefepime,3,271,1.11,Klebsiella pneumoniae
2015,6,out,imipenem,2,271,0.74,Klebsiella pneumoniae
2015,6,out,meropenem,2,271,0.74,Klebsiella pneumoniae
2015,6,out,amikacin,1,271,0.37,Klebsiella pneumoniae
2015,6,out,ampicillin/sulbactam,1,271,0.37,Klebsiella pneumoniae
2015,7,out,ampicillin,92,277,33.21,Klebsiella pneumoniae
2015,7,out,trimethoprim/sulfamethoxazole,26,277,9.39,Klebsiella pneumoniae
2015,7,out,ciprofloxacin,25,277,9.03,Klebsiella pneumoniae
2015,7,out,ceftazidime,22,277,7.94,Klebsiella pneumoniae
2015,7,out,amoxicillin/clavulanic acid,19,277,6.86,Klebsiella pneumoniae
2015,7,out,ceftriaxone,19,277,6.86,Klebsiella pneumoniae
2015,7,out,cefuroxime,15,277,5.42,Klebsiella pneumoniae
2015,7,out,piperacillin/tazobactam,13,277,4.69,Klebsiella pneumoniae
2015,7,out,gentamicin,12,277,4.33,Klebsiella pneumoniae
2015,7,out,norfloxacin,10,277,3.61,Klebsiella pneumoniae
2015,7,out,levofloxacin,8,277,2.89,Klebsiella pneumoniae
