year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2016,1,icu,,6,12,50.0,Pseudomonas aeruginosa
2016,1,icu,imipenem,2,12,16.67,Pseudomonas aeruginosa
2016,1,icu,ceftazidime,1,12,8.33,Pseudomonas aeruginosa
2016,1,icu,ciprofloxacin,1,12,8.33,Pseudomonas aeruginosa
2016,1,icu,gentamicin,1,12,8.33,Pseudomonas aeruginosa
2016,1,icu,meropenem,1,12,8.33,Pseudomonas aeruginosa
2017,4,icu,ceftazidime,1,5,20.0,Pseudomonas aeruginosa
2017,4,icu,ciprofloxacin,1,5,20.0,Pseudomonas aeruginosa
2017,4,icu,imipenem,1,5,20.0,Pseudomonas aeruginosa
2017,4,icu,meropenem,1,5,20.0,Pseudomonas aeruginosa
2017,4,icu,piperacillin/tazobactam,1,5,20.0,Pseudomonas aeruginosa
2018,4,icu,amikacin,1,5,20.0,Pseudomonas aeruginosa
2018,4,icu,ceftazidime,1,5,20.0,Pseudomonas aeruginosa
2018,4,icu,imipenem,1,5,20.0,Pseudomonas aeruginosa
2018,4,icu,levofloxacin,1,5,20.0,Pseudomonas aeruginosa
2018,4,icu,piperacillin/tazobactam,1,5,20.0,Pseudomonas aeruginosa
2018,6,icu,,2,2,100.0,Pseudomonas aeruginosa
2018,7,icu,imipenem,1,1,100.0,Pseudomonas aeruginosa
2018,8,icu,imipenem,2,10,20.0,Pseudomonas aeruginosa
2018,8,icu,meropenem,2,10,20.0,Pseudomonas aeruginosa
2018,8,icu,piperacillin/tazobactam,2,10,20.0,Pseudomonas aeruginosa
2018,8,icu,cefepime,1,10,10.0,Pseudomonas aeruginosa
2018,8,icu,ceftazidime,1,10,10.0,Pseudomonas aeruginosa
2018,8,icu,ciprofloxacin,1,10,10.0,Pseudomonas aeruginosa
2018,8,icu,gentamicin,1,10,10.0,Pseudomonas aeruginosa
2018,9,icu,cefepime,2,12,16.67,Pseudomonas aeruginosa
2018,9,icu,ceftazidime,2,12,16.67,Pseudomonas aeruginosa
2018,9,icu,ciprofloxacin,2,12,16.67,Pseudomonas aeruginosa
2018,9,icu,imipenem,2,12,16.67,Pseudomonas aeruginosa
2018,9,icu,meropenem,2,12,16.67,Pseudomonas aeruginosa
2018,9,icu,piperacillin/tazobactam,2,12,16.67,Pseudomonas aeruginosa
2018,10,icu,,1,1,100.0,Pseudomonas aeruginosa
2018,11,icu,cefepime,1,7,14.29,Pseudomonas aeruginosa
2018,11,icu,ceftazidime,1,7,14.29,Pseudomonas aeruginosa
2018,11,icu,ciprofloxacin,1,7,14.29,Pseudomonas aeruginosa
2018,11,icu,gentamicin,1,7,14.29,Pseudomonas aeruginosa
