year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2016,1,in,,2,7,28.57,Pseudomonas aeruginosa
2016,1,in,ceftazidime,1,7,14.29,Pseudomonas aeruginosa
2016,1,in,ciprofloxacin,1,7,14.29,Pseudomonas aeruginosa
2016,1,in,gentamicin,1,7,14.29,Pseudomonas aeruginosa
2016,1,in,imipenem,1,7,14.29,Pseudomonas aeruginosa
2016,1,in,meropenem,1,7,14.29,Pseudomonas aeruginosa
2016,3,in,amikacin,2,14,14.29,Pseudomonas aeruginosa
2016,3,in,cefepime,2,14,14.29,Pseudomonas aeruginosa
2016,3,in,ceftazidime,2,14,14.29,Pseudomonas aeruginosa
2016,3,in,ciprofloxacin,2,14,14.29,Pseudomonas aeruginosa
2016,3,in,imipenem,2,14,14.29,Pseudomonas aeruginosa
2016,3,in,meropenem,2,14,14.29,Pseudomonas aeruginosa
2016,3,in,piperacillin/tazobactam,2,14,14.29,Pseudomonas aeruginosa
2016,7,in,amikacin,1,6,16.67,Pseudomonas aeruginosa
2016,7,in,cefepime,1,6,16.67,Pseudomonas aeruginosa
2016,7,in,ceftazidime,1,6,16.67,Pseudomonas aeruginosa
2016,7,in,ciprofloxacin,1,6,16.67,Pseudomonas aeruginosa
2016,7,in,meropenem,1,6,16.67,Pseudomonas aeruginosa
2016,7,in,piperacillin/tazobactam,1,6,16.67,Pseudomonas aeruginosa
2016,12,in,amikacin,1,7,14.29,Pseudomonas aeruginosa
2016,12,in,cefepime,1,7,14.29,Pseudomonas aeruginosa
2016,12,in,ceftazidime,1,7,14.29,Pseudomonas aeruginosa
2016,12,in,ciprofloxacin,1,7,14.29,Pseudomonas aeruginosa
2016,12,in,imipenem,1,7,14.29,Pseudomonas aeruginosa
2016,12,in,meropenem,1,7,14.29,Pseudomonas aeruginosa
2016,12,in,piperacillin/tazobactam,1,7,14.29,Pseudomonas aeruginosa
2017,1,in,cefepime,1,6,16.67,Pseudomonas aeruginosa
2017,1,in,ceftazidime,1,6,16.67,Pseudomonas aeruginosa
2017,1,in,ciprofloxacin,1,6,16.67,Pseudomonas aeruginosa
2017,1,in,imipenem,1,6,16.67,Pseudomonas aeruginosa
2017,1,in,meropenem,1,6,16.67,Pseudomonas aeruginosa
2017,1,in,piperacillin/tazobactam,1,6,16.67,Pseudomonas aeruginosa
2017,2,in,amikacin,1,6,16.67,Pseudomonas aeruginosa
2017,2,in,ceftazidime,1,6,16.67,Pseudomonas aeruginosa
2017,2,in,ciprofloxacin,1,6,16.67,Pseudomonas aeruginosa
2017,2,in,imipenem,1,6,16.67,Pseudomonas aeruginosa
2017,2,in,meropenem,1,6,16.67,Pseudomonas aeruginosa
2017,2,in,piperacillin/tazobactam,1,6,16.67,Pseudomonas aeruginosa
2017,5,in,amikacin,2,12,16.67,Pseudomonas aeruginosa
2017,5,in,ceftazidime,2,12,16.67,Pseudomonas aeruginosa
2017,5,in,ciprofloxacin,2,12,16.67,Pseudomonas aeruginosa
2017,5,in,imipenem,2,12,16.67,Pseudomonas aeruginosa
2017,5,in,meropenem,2,12,16.67,Pseudomonas aeruginosa
2017,5,in,piperacillin/tazobactam,2,12,16.67,Pseudomonas aeruginosa
2017,6,in,ceftazidime,1,5,20.0,Pseudomonas aeruginosa
2017,6,in,ciprofloxacin,1,5,20.0,Pseudomonas aeruginosa
2017,6,in,imipenem,1,5,20.0,Pseudomonas aeruginosa
2017,6,in,meropenem,1,5,20.0,Pseudomonas aeruginosa
2017,6,in,piperacillin/tazobactam,1,5,20.0,Pseudomonas aeruginosa
2018,3,in,ceftazidime,2,11,18.18,Pseudomonas aeruginosa
2018,3,in,ciprofloxacin,2,11,18.18,Pseudomonas aeruginosa
2018,3,in,levofloxacin,2,11,18.18,Pseudomonas aeruginosa
2018,3,in,meropenem,2,11,18.18,Pseudomonas aeruginosa
2018,3,in,amikacin,1,11,9.09,Pseudomonas aeruginosa
2018,3,in,imipenem,1,11,9.09,Pseudomonas aeruginosa
2018,3,in,piperacillin/tazobactam,1,11,9.09,Pseudomonas aeruginosa
2018,6,in,amikacin,1,7,14.29,Pseudomonas aeruginosa
2018,6,in,ceftazidime,1,7,14.29,Pseudomonas aeruginosa
2018,6,in,ciprofloxacin,1,7,14.29,Pseudomonas aeruginosa
2018,6,in,imipenem,1,7,14.29,Pseudomonas aeruginosa
2018,6,in,levofloxacin,1,7,14.29,Pseudomonas aeruginosa
2018,6,in,meropenem,1,7,14.29,Pseudomonas aeruginosa
2018,6,in,piperacillin/tazobactam,1,7,14.29,Pseudomonas aeruginosa
2018,7,in,imipenem,2,10,20.0,Pseudomonas aeruginosa
2018,7,in,amikacin,1,10,10.0,Pseudomonas aeruginosa
2018,7,in,cefepime,1,10,10.0,Pseudomonas aeruginosa
2018,7,in,ceftazidime,1,10,10.0,Pseudomonas aeruginosa
2018,7,in,ciprofloxacin,1,10,10.0,Pseudomonas aeruginosa
2018,7,in,gentamicin,1,10,10.0,Pseudomonas aeruginosa
2018,7,in,meropenem,1,10,10.0,Pseudomonas aeruginosa
2018,7,in,piperacillin/tazobactam,1,10,10.0,Pseudomonas aeruginosa
2018,7,in,,1,10,10.0,Pseudomonas aeruginosa
2018,8,in,ceftazidime,7,43,16.28,Pseudomonas aeruginosa
2018,8,in,ciprofloxacin,7,43,16.28,Pseudomonas aeruginosa
2018,8,in,meropenem,7,43,16.28,Pseudomonas aeruginosa
2018,8,in,piperacillin/tazobactam,5,43,11.63,Pseudomonas aeruginosa
2018,8,in,amikacin,4,43,9.3,Pseudomonas aeruginosa
2018,8,in,imipenem,4,43,9.3,Pseudomonas aeruginosa
2018,8,in,cefepime,2,43,4.65,Pseudomonas aeruginosa
2018,8,in,colistin,2,43,4.65,Pseudomonas aeruginosa
2018,8,in,gentamicin,2,43,4.65,Pseudomonas aeruginosa
2018,8,in,levofloxacin,2,43,4.65,Pseudomonas aeruginosa
2018,8,in,,1,43,2.33,Pseudomonas aeruginosa
2018,9,in,imipenem,5,25,20.0,Pseudomonas aeruginosa
2018,9,in,ciprofloxacin,4,25,16.0,Pseudomonas aeruginosa
2018,9,in,ceftazidime,3,25,12.0,Pseudomonas aeruginosa
2018,9,in,piperacillin/tazobactam,3,25,12.0,Pseudomonas aeruginosa
2018,9,in,cefepime,2,25,8.0,Pseudomonas aeruginosa
2018,9,in,colistin,2,25,8.0,Pseudomonas aeruginosa
2018,9,in,meropenem,2,25,8.0,Pseudomonas aeruginosa
2018,9,in,amikacin,1,25,4.0,Pseudomonas aeruginosa
2018,9,in,gentamicin,1,25,4.0,Pseudomonas aeruginosa
2018,9,in,levofloxacin,1,25,4.0,Pseudomonas aeruginosa
2018,9,in,,1,25,4.0,Pseudomonas aeruginosa
2018,10,in,cefepime,4,32,12.5,Pseudomonas aeruginosa
2018,10,in,ceftazidime,4,32,12.5,Pseudomonas aeruginosa
2018,10,in,ciprofloxacin,4,32,12.5,Pseudomonas aeruginosa
2018,10,in,imipenem,4,32,12.5,Pseudomonas aeruginosa
2018,10,in,meropenem,4,32,12.5,Pseudomonas aeruginosa
2018,10,in,piperacillin/tazobactam,4,32,12.5,Pseudomonas aeruginosa
