year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2016,1,out,,12,25,48.0,Pseudomonas aeruginosa
2016,1,out,imipenem,4,25,16.0,Pseudomonas aeruginosa
2016,1,out,meropenem,3,25,12.0,Pseudomonas aeruginosa
2016,1,out,ceftazidime,2,25,8.0,Pseudomonas aeruginosa
2016,1,out,ciprofloxacin,2,25,8.0,Pseudomonas aeruginosa
2016,1,out,piperacillin/tazobactam,2,25,8.0,Pseudomonas aeruginosa
2018,7,out,ceftazidime,1,4,25.0,Pseudomonas aeruginosa
2018,7,out,ciprofloxacin,1,4,25.0,Pseudomonas aeruginosa
2018,7,out,colistin,1,4,25.0,Pseudomonas aeruginosa
2018,7,out,meropenem,1,4,25.0,Pseudomonas aeruginosa
2018,8,out,cefepime,1,7,14.29,Pseudomonas aeruginosa
2018,8,out,ceftazidime,1,7,14.29,Pseudomonas aeruginosa
2018,8,out,ciprofloxacin,1,7,14.29,Pseudomonas aeruginosa
2018,8,out,gentamicin,1,7,14.29,Pseudomonas aeruginosa
2018,8,out,imipenem,1,7,14.29,Pseudomonas aeruginosa
2018,8,out,meropenem,1,7,14.29,Pseudomonas aeruginosa
2018,8,out,piperacillin/tazobactam,1,7,14.29,Pseudomonas aeruginosa
2018,10,out,,1,1,100.0,Pseudomonas aeruginosa
2018,11,out,colistin,1,1,100.0,Pseudomonas aeruginosa
2018,12,out,amikacin,1,8,12.5,Pseudomonas aeruginosa
2018,12,out,cefepime,1,8,12.5,Pseudomonas aeruginosa
2018,12,out,ceftazidime,1,8,12.5,Pseudomonas aeruginosa
2018,12,out,ciprofloxacin,1,8,12.5,Pseudomonas aeruginosa
2018,12,out,colistin,1,8,12.5,Pseudomonas aeruginosa
2018,12,out,gentamicin,1,8,12.5,Pseudomonas aeruginosa
2018,12,out,meropenem,1,8,12.5,Pseudomonas aeruginosa
2018,12,out,piperacillin/tazobactam,1,8,12.5,Pseudomonas aeruginosa
2019,1,out,ceftazidime,4,26,15.38,Pseudomonas aeruginosa
2019,1,out,ciprofloxacin,4,26,15.38,Pseudomonas aeruginosa
2019,1,out,piperacillin/tazobactam,3,26,11.54,Pseudomonas aeruginosa
2019,1,out,,3,26,11.54,Pseudomonas aeruginosa
2019,1,out,amikacin,2,26,7.69,Pseudomonas aeruginosa
2019,1,out,cefepime,2,26,7.69,Pseudomonas aeruginosa
2019,1,out,imipenem,2,26,7.69,Pseudomonas aeruginosa
2019,1,out,levofloxacin,2,26,7.69,Pseudomonas aeruginosa
2019,1,out,meropenem,2,26,7.69,Pseudomonas aeruginosa
2019,1,out,colistin,1,26,3.85,Pseudomonas aeruginosa
2019,1,out,gentamicin,1,26,3.85,Pseudomonas aeruginosa
2019,2,out,,3,13,23.08,Pseudomonas aeruginosa
2019,2,out,imipenem,2,13,15.38,Pseudomonas aeruginosa
2019,2,out,cefepime,1,13,7.69,Pseudomonas aeruginosa
2019,2,out,ceftazidime,1,13,7.69,Pseudomonas aeruginosa
2019,2,out,ciprofloxacin,1,13,7.69,Pseudomonas aeruginosa
2019,2,out,colistin,1,13,7.69,Pseudomonas aeruginosa
2019,2,out,gentamicin,1,13,7.69,Pseudomonas aeruginosa
2019,2,out,levofloxacin,1,13,7.69,Pseudomonas aeruginosa
2019,2,out,meropenem,1,13,7.69,Pseudomonas aeruginosa
2019,2,out,piperacillin/tazobactam,1,13,7.69,Pseudomonas aeruginosa
2019,3,out,ciprofloxacin,3,18,16.67,Pseudomonas aeruginosa
2019,3,out,cefepime,2,18,11.11,Pseudomonas aeruginosa
2019,3,out,ceftazidime,2,18,11.11,Pseudomonas aeruginosa
2019,3,out,gentamicin,2,18,11.11,Pseudomonas aeruginosa
2019,3,out,imipenem,2,18,11.11,Pseudomonas aeruginosa
2019,3,out,levofloxacin,2,18,11.11,Pseudomonas aeruginosa
2019,3,out,meropenem,2,18,11.11,Pseudomonas aeruginosa
2019,3,out,piperacillin/tazobactam,2,18,11.11,Pseudomonas aeruginosa
2019,3,out,amikacin,1,18,5.56,Pseudomonas aeruginosa
2019,4,out,imipenem,5,27,18.52,Pseudomonas aeruginosa
2019,4,out,cefepime,3,27,11.11,Pseudomonas aeruginosa
2019,4,out,ceftazidime,3,27,11.11,Pseudomonas aeruginosa
2019,4,out,ciprofloxacin,3,27,11.11,Pseudomonas aeruginosa
2019,4,out,meropenem,3,27,11.11,Pseudomonas aeruginosa
2019,4,out,piperacillin/tazobactam,3,27,11.11,Pseudomonas aeruginosa
2019,4,out,amikacin,2,27,7.41,Pseudomonas aeruginosa
2019,4,out,gentamicin,2,27,7.41,Pseudomonas aeruginosa
2019,4,out,levofloxacin,2,27,7.41,Pseudomonas aeruginosa
2019,4,out,,1,27,3.7,Pseudomonas aeruginosa
