year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2017,11,icu,,2,2,100.0,Staphylococcus aureus
2018,1,icu,tetracycline,2,4,50.0,Staphylococcus aureus
2018,1,icu,cefoxitin,1,4,25.0,Staphylococcus aureus
2018,1,icu,clindamycin,1,4,25.0,Staphylococcus aureus
2018,3,icu,erythromycin,1,3,33.33,Staphylococcus aureus
2018,3,icu,tetracycline,1,3,33.33,Staphylococcus aureus
2018,3,icu,,1,3,33.33,Staphylococcus aureus
2018,4,icu,tetracycline,1,1,100.0,Staphylococcus aureus
2018,5,icu,tetracycline,3,3,100.0,Staphylococcus aureus
2018,6,icu,tetracycline,2,6,33.33,Staphylococcus aureus
2018,6,icu,trimethoprim/sulfamethoxazole,2,6,33.33,Staphylococcus aureus
2018,6,icu,clindamycin,1,6,16.67,Staphylococcus aureus
2018,6,icu,erythromycin,1,6,16.67,Staphylococcus aureus
2018,7,icu,tetracycline,2,7,28.57,Staphylococcus aureus
2018,7,icu,cefoxitin,1,7,14.29,Staphylococcus aureus
2018,7,icu,ciprofloxacin,1,7,14.29,Staphylococcus aureus
2018,7,icu,clindamycin,1,7,14.29,Staphylococcus aureus
2018,7,icu,erythromycin,1,7,14.29,Staphylococcus aureus
2018,7,icu,levofloxacin,1,7,14.29,Staphylococcus aureus
2018,9,icu,tetracycline,2,4,50.0,Staphylococcus aureus
2018,9,icu,clindamycin,1,4,25.0,Staphylococcus aureus
2018,9,icu,,1,4,25.0,Staphylococcus aureus
2018,10,icu,tetracycline,2,3,66.67,Staphylococcus aureus
2018,10,icu,,1,3,33.33,Staphylococcus aureus
2018,11,icu,,4,9,44.44,Staphylococcus aureus
2018,11,icu,tetracycline,3,9,33.33,Staphylococcus aureus
2018,11,icu,clindamycin,1,9,11.11,Staphylococcus aureus
2018,11,icu,erythromycin,1,9,11.11,Staphylococcus aureus
2018,12,icu,tetracycline,2,5,40.0,Staphylococcus aureus
2018,12,icu,cefoxitin,1,5,20.0,Staphylococcus aureus
2018,12,icu,ciprofloxacin,1,5,20.0,Staphylococcus aureus
2018,12,icu,levofloxacin,1,5,20.0,Staphylococcus aureus
2019,2,icu,,1,1,100.0,Staphylococcus aureus
2019,3,icu,tetracycline,2,5,40.0,Staphylococcus aureus
2019,3,icu,clindamycin,1,5,20.0,Staphylococcus aureus
2019,3,icu,erythromycin,1,5,20.0,Staphylococcus aureus
2019,3,icu,vancomycin,1,5,20.0,Staphylococcus aureus
2019,5,icu,tetracycline,2,8,25.0,Staphylococcus aureus
2019,5,icu,cefoxitin,1,8,12.5,Staphylococcus aureus
2019,5,icu,ciprofloxacin,1,8,12.5,Staphylococcus aureus
2019,5,icu,clindamycin,1,8,12.5,Staphylococcus aureus
2019,5,icu,erythromycin,1,8,12.5,Staphylococcus aureus
2019,5,icu,trimethoprim/sulfamethoxazole,1,8,12.5,Staphylococcus aureus
2019,5,icu,,1,8,12.5,Staphylococcus aureus
2019,6,icu,clindamycin,1,4,25.0,Staphylococcus aureus
2019,6,icu,erythromycin,1,4,25.0,Staphylococcus aureus
2019,6,icu,oxacillin,1,4,25.0,Staphylococcus aureus
2019,6,icu,tetracycline,1,4,25.0,Staphylococcus aureus
2019,7,icu,cefoxitin,2,3,66.67,Staphylococcus aureus
2019,7,icu,oxacillin,1,3,33.33,Staphylococcus aureus
2019,8,icu,tetracycline,1,2,50.0,Staphylococcus aureus
2019,8,icu,,1,2,50.0,Staphylococcus aureus
2019,9,icu,,2,2,100.0,Staphylococcus aureus
2019,10,icu,,6,9,66.67,Staphylococcus aureus
2019,10,icu,cefoxitin,1,9,11.11,Staphylococcus aureus
2019,10,icu,tetracycline,1,9,11.11,Staphylococcus aureus
2019,10,icu,trimethoprim/sulfamethoxazole,1,9,11.11,Staphylococcus aureus
2019,11,icu,tetracycline,3,8,37.5,Staphylococcus aureus
2019,11,icu,cefoxitin,1,8,12.5,Staphylococcus aureus
2019,11,icu,ciprofloxacin,1,8,12.5,Staphylococcus aureus
2019,11,icu,levofloxacin,1,8,12.5,Staphylococcus aureus
2019,11,icu,oxacillin,1,8,12.5,Staphylococcus aureus
2019,11,icu,,1,8,12.5,Staphylococcus aureus
2019,12,icu,,5,5,100.0,Staphylococcus aureus
2020,1,icu,,19,65,29.23,Staphylococcus aureus
2020,1,icu,tetracycline,15,65,23.08,Staphylococcus aureus
2020,1,icu,erythromycin,7,65,10.77,Staphylococcus aureus
2020,1,icu,clindamycin,5,65,7.69,Staphylococcus aureus
2020,1,icu,oxacillin,5,65,7.69,Staphylococcus aureus
2020,1,icu,ciprofloxacin,4,65,6.15,Staphylococcus aureus
2020,1,icu,levofloxacin,4,65,6.15,Staphylococcus aureus
2020,1,icu,gentamicin,3,65,4.62,Staphylococcus aureus
2020,1,icu,trimethoprim/sulfamethoxazole,3,65,4.62,Staphylococcus aureus
2020,2,icu,,23,84,27.38,Staphylococcus aureus
2020,2,icu,tetracycline,20,84,23.81,Staphylococcus aureus
2020,2,icu,oxacillin,9,84,10.71,Staphylococcus aureus
2020,2,icu,erythromycin,7,84,8.33,Staphylococcus aureus
2020,2,icu,clindamycin,6,84,7.14,Staphylococcus aureus
2020,2,icu,ciprofloxacin,5,84,5.95,Staphylococcus aureus
2020,2,icu,levofloxacin,5,84,5.95,Staphylococcus aureus
2020,2,icu,trimethoprim/sulfamethoxazole,4,84,4.76,Staphylococcus aureus
2020,2,icu,gentamicin,3,84,3.57,Staphylococcus aureus
2020,2,icu,cefoxitin,2,84,2.38,Staphylococcus aureus
2020,3,icu,tetracycline,22,63,34.92,Staphylococcus aureus
2020,3,icu,,16,63,25.4,Staphylococcus aureus
2020,3,icu,clindamycin,5,63,7.94,Staphylococcus aureus
2020,3,icu,erythromycin,5,63,7.94,Staphylococcus aureus
2020,3,icu,ciprofloxacin,4,63,6.35,Staphylococcus aureus
2020,3,icu,oxacillin,4,63,6.35,Staphylococcus aureus
2020,3,icu,levofloxacin,3,63,4.76,Staphylococcus aureus
2020,3,icu,gentamicin,2,63,3.17,Staphylococcus aureus
2020,3,icu,cefoxitin,1,63,1.59,Staphylococcus aureus
2020,3,icu,trimethoprim/sulfamethoxazole,1,63,1.59,Staphylococcus aureus
2020,4,icu,tetracycline,14,64,21.88,Staphylococcus aureus
2020,4,icu,,13,64,20.31,Staphylococcus aureus
2020,4,icu,erythromycin,11,64,17.19,Staphylococcus aureus
2020,4,icu,oxacillin,8,64,12.5,Staphylococcus aureus
2020,4,icu,clindamycin,7,64,10.94,Staphylococcus aureus
2020,4,icu,ciprofloxacin,4,64,6.25,Staphylococcus aureus
2020,4,icu,levofloxacin,4,64,6.25,Staphylococcus aureus
2020,4,icu,gentamicin,1,64,1.56,Staphylococcus aureus
2020,4,icu,trimethoprim/sulfamethoxazole,1,64,1.56,Staphylococcus aureus
2020,4,icu,vancomycin,1,64,1.56,Staphylococcus aureus
2020,5,icu,,17,63,26.98,Staphylococcus aureus
2020,5,icu,tetracycline,13,63,20.63,Staphylococcus aureus
2020,5,icu,erythromycin,7,63,11.11,Staphylococcus aureus
2020,5,icu,clindamycin,6,63,9.52,Staphylococcus aureus
2020,5,icu,oxacillin,6,63,9.52,Staphylococcus aureus
2020,5,icu,ciprofloxacin,5,63,7.94,Staphylococcus aureus
2020,5,icu,levofloxacin,5,63,7.94,Staphylococcus aureus
2020,5,icu,gentamicin,2,63,3.17,Staphylococcus aureus
2020,5,icu,trimethoprim/sulfamethoxazole,2,63,3.17,Staphylococcus aureus
2020,6,icu,tetracycline,25,107,23.36,Staphylococcus aureus
2020,6,icu,,22,107,20.56,Staphylococcus aureus
2020,6,icu,oxacillin,11,107,10.28,Staphylococcus aureus
2020,6,icu,erythromycin,10,107,9.35,Staphylococcus aureus
2020,6,icu,ciprofloxacin,9,107,8.41,Staphylococcus aureus
2020,6,icu,clindamycin,9,107,8.41,Staphylococcus aureus
2020,6,icu,levofloxacin,8,107,7.48,Staphylococcus aureus
2020,6,icu,trimethoprim/sulfamethoxazole,5,107,4.67,Staphylococcus aureus
2020,6,icu,cefoxitin,4,107,3.74,Staphylococcus aureus
2020,6,icu,gentamicin,4,107,3.74,Staphylococcus aureus
2020,7,icu,,23,59,38.98,Staphylococcus aureus
2020,7,icu,tetracycline,12,59,20.34,Staphylococcus aureus
2020,7,icu,erythromycin,5,59,8.47,Staphylococcus aureus
2020,7,icu,clindamycin,4,59,6.78,Staphylococcus aureus
2020,7,icu,oxacillin,4,59,6.78,Staphylococcus aureus
2020,7,icu,ciprofloxacin,3,59,5.08,Staphylococcus aureus
2020,7,icu,levofloxacin,3,59,5.08,Staphylococcus aureus
2020,7,icu,gentamicin,2,59,3.39,Staphylococcus aureus
2020,7,icu,trimethoprim/sulfamethoxazole,2,59,3.39,Staphylococcus aureus
2020,7,icu,cefoxitin,1,59,1.69,Staphylococcus aureus
2020,8,icu,tetracycline,17,71,23.94,Staphylococcus aureus
2020,8,icu,,16,71,22.54,Staphylococcus aureus
2020,8,icu,erythromycin,8,71,11.27,Staphylococcus aureus
2020,8,icu,oxacillin,6,71,8.45,Staphylococcus aureus
2020,8,icu,ciprofloxacin,5,71,7.04,Staphylococcus aureus
