year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2017,1,in,tetracycline,8,38,21.05,Staphylococcus aureus
2017,1,in,cefoxitin,6,38,15.79,Staphylococcus aureus
2017,1,in,,6,38,15.79,Staphylococcus aureus
2017,1,in,ciprofloxacin,4,38,10.53,Staphylococcus aureus
2017,1,in,clindamycin,4,38,10.53,Staphylococcus aureus
2017,1,in,erythromycin,4,38,10.53,Staphylococcus aureus
2017,1,in,gentamicin,4,38,10.53,Staphylococcus aureus
2017,1,in,trimethoprim/sulfamethoxazole,2,38,5.26,Staphylococcus aureus
2017,2,in,,13,17,76.47,Staphylococcus aureus
2017,2,in,tetracycline,3,17,17.65,Staphylococcus aureus
2017,2,in,trimethoprim/sulfamethoxazole,1,17,5.88,Staphylococcus aureus
2017,3,in,tetracycline,7,36,19.44,Staphylococcus aureus
2017,3,in,cefoxitin,5,36,13.89,Staphylococcus aureus
2017,3,in,clindamycin,5,36,13.89,Staphylococcus aureus
2017,3,in,erythromycin,5,36,13.89,Staphylococcus aureus
2017,3,in,,5,36,13.89,Staphylococcus aureus
2017,3,in,ciprofloxacin,4,36,11.11,Staphylococcus aureus
2017,3,in,gentamicin,3,36,8.33,Staphylococcus aureus
2017,3,in,trimethoprim/sulfamethoxazole,2,36,5.56,Staphylococcus aureus
2017,4,in,,6,20,30.0,Staphylococcus aureus
2017,4,in,tetracycline,5,20,25.0,Staphylococcus aureus
2017,4,in,clindamycin,2,20,10.0,Staphylococcus aureus
2017,4,in,erythromycin,2,20,10.0,Staphylococcus aureus
2017,4,in,trimethoprim/sulfamethoxazole,2,20,10.0,Staphylococcus aureus
2017,4,in,cefoxitin,1,20,5.0,Staphylococcus aureus
2017,4,in,ciprofloxacin,1,20,5.0,Staphylococcus aureus
2017,4,in,gentamicin,1,20,5.0,Staphylococcus aureus
2017,5,in,tetracycline,9,37,24.32,Staphylococcus aureus
2017,5,in,,9,37,24.32,Staphylococcus aureus
2017,5,in,clindamycin,4,37,10.81,Staphylococcus aureus
2017,5,in,erythromycin,4,37,10.81,Staphylococcus aureus
2017,5,in,cefoxitin,3,37,8.11,Staphylococcus aureus
