year,month,ward_type,resistant_drug_name,drug_count,total_rows_in_ward_month,percentage,organism_full
2017,1,out,tetracycline,2,3,66.67,Staphylococcus aureus
2017,1,out,trimethoprim/sulfamethoxazole,1,3,33.33,Staphylococcus aureus
2017,5,out,cefoxitin,1,9,11.11,Staphylococcus aureus
2017,5,out,ciprofloxacin,1,9,11.11,Staphylococcus aureus
2017,5,out,clindamycin,1,9,11.11,Staphylococcus aureus
2017,5,out,erythromycin,1,9,11.11,Staphylococcus aureus
2017,5,out,gentamicin,1,9,11.11,Staphylococcus aureus
2017,5,out,tetracycline,1,9,11.11,Staphylococcus aureus
2017,5,out,trimethoprim/sulfamethoxazole,1,9,11.11,Staphylococcus aureus
2017,5,out,vancomycin,1,9,11.11,Staphylococcus aureus
2017,5,out,,1,9,11.11,Staphylococcus aureus
2017,6,out,cefoxitin,1,7,14.29,Staphylococcus aureus
2017,6,out,ciprofloxacin,1,7,14.29,Staphylococcus aureus
2017,6,out,clindamycin,1,7,14.29,Staphylococcus aureus
2017,6,out,erythromycin,1,7,14.29,Staphylococcus aureus
2017,6,out,gentamicin,1,7,14.29,Staphylococcus aureus
2017,6,out,tetracycline,1,7,14.29,Staphylococcus aureus
2017,6,out,trimethoprim/sulfamethoxazole,1,7,14.29,Staphylococcus aureus
2017,7,out,,1,1,100.0,Staphylococcus aureus
2017,10,out,tetracycline,5,24,20.83,Staphylococcus aureus
2017,10,out,clindamycin,4,24,16.67,Staphylococcus aureus
2017,10,out,erythromycin,4,24,16.67,Staphylococcus aureus
2017,10,out,cefoxitin,3,24,12.5,Staphylococcus aureus
2017,10,out,levofloxacin,3,24,12.5,Staphylococcus aureus
2017,10,out,ciprofloxacin,2,24,8.33,Staphylococcus aureus
2017,10,out,gentamicin,2,24,8.33,Staphylococcus aureus
2017,10,out,,1,24,4.17,Staphylococcus aureus
2017,11,out,erythromycin,1,3,33.33,Staphylococcus aureus
2017,11,out,tetracycline,1,3,33.33,Staphylococcus aureus
2017,11,out,trimethoprim/sulfamethoxazole,1,3,33.33,Staphylococcus aureus
2017,12,out,,1,1,100.0,Staphylococcus aureus
2018,1,out,levofloxacin,2,9,22.22,Staphylococcus aureus
2018,1,out,tetracycline,2,9,22.22,Staphylococcus aureus
2018,1,out,cefoxitin,1,9,11.11,Staphylococcus aureus
2018,1,out,ciprofloxacin,1,9,11.11,Staphylococcus aureus
2018,1,out,clindamycin,1,9,11.11,Staphylococcus aureus
2018,1,out,erythromycin,1,9,11.11,Staphylococcus aureus
2018,1,out,,1,9,11.11,Staphylococcus aureus
2018,2,out,,4,5,80.0,Staphylococcus aureus
2018,2,out,tetracycline,1,5,20.0,Staphylococcus aureus
2018,3,out,,2,2,100.0,Staphylococcus aureus
2018,4,out,,3,8,37.5,Staphylococcus aureus
2018,4,out,cefoxitin,1,8,12.5,Staphylococcus aureus
2018,4,out,ciprofloxacin,1,8,12.5,Staphylococcus aureus
2018,4,out,clindamycin,1,8,12.5,Staphylococcus aureus
2018,4,out,erythromycin,1,8,12.5,Staphylococcus aureus
2018,4,out,gentamicin,1,8,12.5,Staphylococcus aureus
2018,5,out,tetracycline,3,7,42.86,Staphylococcus aureus
2018,5,out,,3,7,42.86,Staphylococcus aureus
2018,5,out,trimethoprim/sulfamethoxazole,1,7,14.29,Staphylococcus aureus
2018,6,out,trimethoprim/sulfamethoxazole,1,2,50.0,Staphylococcus aureus
2018,6,out,,1,2,50.0,Staphylococcus aureus
2018,7,out,,3,7,42.86,Staphylococcus aureus
2018,7,out,erythromycin,2,7,28.57,Staphylococcus aureus
2018,7,out,clindamycin,1,7,14.29,Staphylococcus aureus
2018,7,out,tetracycline,1,7,14.29,Staphylococcus aureus
2018,8,out,,3,8,37.5,Staphylococcus aureus
2018,8,out,cefoxitin,1,8,12.5,Staphylococcus aureus
2018,8,out,ciprofloxacin,1,8,12.5,Staphylococcus aureus
2018,8,out,clindamycin,1,8,12.5,Staphylococcus aureus
2018,8,out,erythromycin,1,8,12.5,Staphylococcus aureus
2018,8,out,gentamicin,1,8,12.5,Staphylococcus aureus
2018,9,out,tetracycline,4,8,50.0,Staphylococcus aureus
2018,9,out,,4,8,50.0,Staphylococcus aureus
2018,10,out,,1,1,100.0,Staphylococcus aureus
2018,11,out,tetracycline,4,9,44.44,Staphylococcus aureus
2018,11,out,,3,9,33.33,Staphylococcus aureus
2018,11,out,clindamycin,1,9,11.11,Staphylococcus aureus
2018,11,out,erythromycin,1,9,11.11,Staphylococcus aureus
2018,12,out,tetracycline,4,11,36.36,Staphylococcus aureus
2018,12,out,erythromycin,3,11,27.27,Staphylococcus aureus
2018,12,out,clindamycin,2,11,18.18,Staphylococcus aureus
2018,12,out,cefoxitin,1,11,9.09,Staphylococcus aureus
2018,12,out,,1,11,9.09,Staphylococcus aureus
2019,1,out,cefoxitin,1,1,100.0,Staphylococcus aureus
2019,3,out,,3,3,100.0,Staphylococcus aureus
2019,4,out,tetracycline,2,3,66.67,Staphylococcus aureus
2019,4,out,,1,3,33.33,Staphylococcus aureus
2019,5,out,tetracycline,2,7,28.57,Staphylococcus aureus
2019,5,out,trimethoprim/sulfamethoxazole,2,7,28.57,Staphylococcus aureus
2019,5,out,cefoxitin,1,7,14.29,Staphylococcus aureus
2019,5,out,ciprofloxacin,1,7,14.29,Staphylococcus aureus
2019,5,out,,1,7,14.29,Staphylococcus aureus
2019,6,out,cefoxitin,1,2,50.0,Staphylococcus aureus
2019,6,out,,1,2,50.0,Staphylococcus aureus
2019,7,out,,1,1,100.0,Staphylococcus aureus
2019,9,out,,1,1,100.0,Staphylococcus aureus
2019,10,out,,2,2,100.0,Staphylococcus aureus
