Bacteria,Ward_Type,Drug_Name,ACF_Lag12,Seasonal_Strength,Has_Seasonality
Acinetobacter baumannii,icu,Sensitive/None,0.43726133477878953,0.5742388752654566,True
Acinetobacter baumannii,icu,amikacin,0.4695865835972722,0.23541116916511562,True
Acinetobacter baumannii,icu,ampicillin/sulbactam,0.20736710628044058,0.23382729014151127,False
Acinetobacter baumannii,icu,cefepime,0.7705620801910165,0.10732277818415026,True
Acinetobacter baumannii,icu,cefotaxime,0.11250984770326014,0.2915469909400722,False
Acinetobacter baumannii,icu,ceftazidime,0.7224004477368774,0.21705197987720382,True
Acinetobacter baumannii,icu,ceftriaxone,0.6261134444998552,0.1100950472886908,True
Acinetobacter baumannii,icu,ciprofloxacin,0.6611860963027126,0.15330234515137542,True
Acinetobacter baumannii,icu,gentamicin,0.5584005221240557,0.16350391815669896,True
Acinetobacter baumannii,icu,imipenem,-0.230443646392506,0.25719181174849237,False
Acinetobacter baumannii,icu,levofloxacin,0.2301794623050162,0.14303564807677327,False
Acinetobacter baumannii,icu,meropenem,0.6385718082965361,0.22914557685280423,True
Acinetobacter baumannii,icu,piperacillin/tazobactam,0.5777765618013919,0.27147888864996494,True
Acinetobacter baumannii,icu,trimethoprim/sulfamethoxazole,0.2478757355544514,0.033726366512690675,False
Acinetobacter baumannii,in,Sensitive/None,0.6008191143053535,0.7582667550963937,True
Acinetobacter baumannii,in,amikacin,0.5237841017432316,0.5297001560358858,True
Acinetobacter baumannii,in,ampicillin/sulbactam,0.11831575022984854,0.2697894681996629,False
Acinetobacter baumannii,in,cefepime,0.7482945844116274,0.16442687760881403,True
Acinetobacter baumannii,in,cefotaxime,0.25852239556895,0.12533990984518462,False
Acinetobacter baumannii,in,ceftazidime,0.5541065891149576,0.1803053821075885,True
Acinetobacter baumannii,in,ceftriaxone,0.28604435044610893,0.10473710824267346,False
Acinetobacter baumannii,in,ciprofloxacin,0.5283820886613033,0.19357029035103712,True
Acinetobacter baumannii,in,gentamicin,0.5783734352333543,0.2696243020027388,True
