Source_Folder,Source_File,Organism,Target_Drug,Model,RMSE,WAPE,Best_Model_By_WAPE
All data,Acinetobacter_baumannii.csv,Acinetobacter baumannii,imipenem,SARIMA,0.3746,3.795,XGBoost
All data,Acinetobacter_baumannii.csv,Acinetobacter baumannii,imipenem,ARIMA,0.3566,3.5929,XGBoost
All data,Acinetobacter_baumannii.csv,Acinetobacter baumannii,imipenem,TES,0.7938,8.1424,XGBoost
All data,Acinetobacter_baumannii.csv,Acinetobacter baumannii,imipenem,SES,0.5148,5.3352,XGBoost
All data,Acinetobacter_baumannii.csv,Acinetobacter baumannii,imipenem,XGBoost,0.1314,1.1195,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,ertapenem,SARIMA,0.2118,17.4327,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,ertapenem,ARIMA,0.391,36.0374,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,ertapenem,TES,0.236,20.5386,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,ertapenem,SES,0.3229,29.5825,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,ertapenem,XGBoost,0.1559,12.5021,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,imipenem,SARIMA,0.1353,13.37,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,imipenem,ARIMA,0.268,29.026,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,imipenem,TES,0.1915,20.272,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,imipenem,SES,0.2542,27.5401,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,imipenem,XGBoost,0.1098,11.3775,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,meropenem,SARIMA,0.1295,11.618,SARIMA
All data,Escherichia_coli.csv,Escherichia coli,meropenem,ARIMA,0.1903,18.9297,SARIMA
All data,Escherichia_coli.csv,Escherichia coli,meropenem,TES,0.248,26.1856,SARIMA
All data,Escherichia_coli.csv,Escherichia coli,meropenem,SES,0.3137,33.7775,SARIMA
All data,Escherichia_coli.csv,Escherichia coli,meropenem,XGBoost,0.1489,14.0927,SARIMA
All data,Escherichia_coli.csv,Escherichia coli,cefepime,SARIMA,0.5934,14.6864,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,cefepime,ARIMA,0.5779,14.2273,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,cefepime,TES,0.9405,24.4469,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,cefepime,SES,0.5836,14.3975,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,cefepime,XGBoost,0.2852,6.1677,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,ceftazidime,SARIMA,1.0433,20.7073,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,ceftazidime,ARIMA,1.2587,24.981,XGBoost
All data,Escherichia_coli.csv,Escherichia coli,ceftazidime,TES,1.1997,23.8103,XGBoost
