"organism_full","year","month","region","Resistant_Drug_Classes","pattern_count","total_rows_in_region_month","percentage","y_beta","month_numeric","sin_month","cos_month","season","season_id","region_id","year_month","time_id","mdr_id_numeric","data_type","future_year","R_scaled","R_logit","predicted_logit","predicted_scaled","predicted_percent","predicted_lower_CI","predicted_upper_CI"
"Acinetobacter baumannii",2015,1,1,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",45,72,62.5,0.625,1,0.5,0.866025403784439,"winter",3,1,201501,1,1,"historical",NA,0.625,0.510825623765991,0.757938610515205,0.680906016604606,68.0906016604606,63.8982982540133,72.0093308426581
"Acinetobacter baumannii",2015,1,11,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",16,22,72.73,0.7273,1,0.5,0.866025403784439,"winter",3,11,201501,1,1,"historical",NA,0.7273,0.980966757308952,0.424244689132542,0.604498519207304,60.4498519207304,55.9711692623722,64.7597943864196
"Acinetobacter baumannii",2015,1,12,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",15,19,78.95,0.7895,1,0.5,0.866025403784439,"winter",3,12,201501,1,1,"historical",NA,0.7895,1.32191418057326,0.308869247945381,0.57660923341413,57.660923341413,53.0975715014071,62.0972199171757
"Acinetobacter baumannii",2015,1,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",6,15,40,0.4,1,0.5,0.866025403784439,"winter",3,13,201501,1,1,"historical",NA,0.4,-0.405465108108164,0.899233128329573,0.710791884770735,71.0791884770735,67.1576209678485,74.7088414342589
"Acinetobacter baumannii",2015,1,2,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",10,22,45.45,0.4545,1,0.5,0.866025403784439,"winter",3,2,201501,1,1,"historical",NA,0.4545,-0.182504891655592,1.00849594458006,0.732725700029931,73.2725700029931,69.4929910613296,76.7406159966088
"Acinetobacter baumannii",2015,1,3,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,7,28.57,0.2857,1,0.5,0.866025403784439,"winter",3,3,201501,1,1,"historical",NA,0.2857,-0.916360732924199,0.267895623103302,0.566576210744541,56.6576210744541,52.0290831224484,61.1728405611529
"Acinetobacter baumannii",2015,1,4,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",45,53,84.91,0.8491,1,0.5,0.866025403784439,"winter",3,4,201501,1,1,"historical",NA,0.8491,1.72755959923151,1.09275526596577,0.748900201000407,74.8900201000407,71.2827461977988,78.1828565881274
"Acinetobacter baumannii",2015,1,5,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",77,119,64.71,0.6471,1,0.5,0.866025403784439,"winter",3,5,201501,1,1,"historical",NA,0.6471,0.606316111381996,0.916822379503679,0.714394201440044,71.4394201440044,67.5499621443898,75.034981967107
"Acinetobacter baumannii",2015,1,6,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",53,74,71.62,0.7162,1,0.5,0.866025403784439,"winter",3,6,201501,1,1,"historical",NA,0.7162,0.92568969283839,0.890923051322915,0.70908062122106,70.908062122106,66.8933034045457,74.6206762820141
"Acinetobacter baumannii",2015,1,7,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",95,136,69.85,0.6985,1,0.5,0.866025403784439,"winter",3,7,201501,1,1,"historical",NA,0.6985,0.840165162529776,1.01148894129367,0.73331143633046,73.331143633046,69.5857229604612,76.7693082556521
"Acinetobacter baumannii",2015,1,8,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",13,16,81.25,0.8125,1,0.5,0.866025403784439,"winter",3,8,201501,1,1,"historical",NA,0.8125,1.46633706879343,0.621828591847969,0.650634318917909,65.0634318917909,60.7743655645875,69.1217966461214
"Acinetobacter baumannii",2015,1,9,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",56,104,53.85,0.5385,1,0.5,0.866025403784439,"winter",3,9,201501,1,1,"historical",NA,0.5385,0.154305442653536,0.753248191328074,0.679886051498847,67.9886051498847,63.8661117152595,71.8480865163242
"Acinetobacter baumannii",2015,2,1,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",26,53,49.06,0.4906,2,0.866025403784439,0.5,"winter",3,1,201502,2,1,"historical",NA,0.4906,-0.0376044307209676,0.764254344765208,0.682276684596602,68.2276684596602,64.1714846709159,72.024834952513
"Acinetobacter baumannii",2015,2,11,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",9,15,60,0.6,2,0.866025403784439,0.5,"winter",3,11,201502,2,1,"historical",NA,0.6,0.405465108108164,0.430560423382545,0.606007484417399,60.6007484417399,56.2713344645914,64.7698837703303
"Acinetobacter baumannii",2015,2,12,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",10,12,83.33,0.8333,2,0.866025403784439,0.5,"winter",3,12,201502,2,1,"historical",NA,0.8333,1.60919793163141,0.315184982195385,0.578150349310727,57.8150349310727,53.4005622854197,62.1080556938848
"Acinetobacter baumannii",2015,2,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",8,19,42.11,0.4211,2,0.866025403784439,0.5,"winter",3,13,201502,2,1,"historical",NA,0.4211,-0.318259415917077,0.905548862579577,0.7120884594852,71.20884594852,67.426147974932,74.7169868074227
"Acinetobacter baumannii",2015,2,2,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",17,27,62.96,0.6296,2,0.866025403784439,0.5,"winter",3,2,201502,2,1,"historical",NA,0.6296,0.530501194331169,1.01481167883007,0.733960746103947,73.3960746103947,69.7521421009462,76.7473650059818
"Acinetobacter baumannii",2015,2,4,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",49,62,79.03,0.7903,2,0.866025403784439,0.5,"winter",3,4,201502,2,1,"historical",NA,0.7903,1.32673468230306,1.09907100021578,0.750085998551547,75.0085998551547,71.5320609806833,78.1900267965028
"Acinetobacter baumannii",2015,2,5,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",65,99,65.66,0.6566,2,0.866025403784439,0.5,"winter",3,5,201502,2,1,"historical",NA,0.6566,0.648179056604117,0.923138113753682,0.715681086283153,71.5681086283153,67.8170124896232,75.0428909719339
"Acinetobacter baumannii",2015,2,6,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",60,72,83.33,0.8333,2,0.866025403784439,0.5,"winter",3,6,201502,2,1,"historical",NA,0.8333,1.60919793163141,0.897238785572919,0.710381741864856,71.0381741864856,67.1584923490465,74.6326540780059
"Acinetobacter baumannii",2015,2,7,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",86,115,74.78,0.7478,2,0.866025403784439,0.5,"winter",3,7,201502,2,1,"historical",NA,0.7478,1.08691313901219,1.01780467554368,0.734544756348016,73.4544756348016,69.8434023064258,76.7769198362019
"Acinetobacter baumannii",2015,2,8,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",9,11,81.82,0.8182,2,0.866025403784439,0.5,"winter",3,8,201502,2,1,"historical",NA,0.8182,1.50419962375192,0.628144326097972,0.652068574791403,65.2068574791403,61.0648134605042,69.1310086457203
"Acinetobacter baumannii",2015,2,9,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",47,68,69.12,0.6912,2,0.866025403784439,0.5,"winter",3,9,201502,2,1,"historical",NA,0.6912,0.805735399339225,0.759563925578077,0.681259049825828,68.1259049825828,64.1473811972074,71.8566323526731
"Acinetobacter baumannii",2015,3,1,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",35,63,55.56,0.5556,3,1,6.12323399573677e-17,"summer",1,1,201503,3,1,"historical",NA,0.5556,0.223323553114714,0.770379737363785,0.683603032828583,68.3603032828583,64.4050412344888,72.0666804973195
