organism_full,year,month,province,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Enterococcus faecalis,2015,5,อุดรธานี,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2020,1,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",12,26,46.15
Enterococcus faecalis,2020,1,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",10,26,38.46
Enterococcus faecalis,2020,1,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",4,26,15.38
Enterococcus faecalis,2020,2,ราชบุรี,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2020,2,ราชบุรี,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2020,2,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",6,16,37.5
Enterococcus faecalis,2020,2,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",6,16,37.5
Enterococcus faecalis,2020,2,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",2,16,12.5
Enterococcus faecalis,2020,2,สมุทรปราการ,"MACROLIDES, PHENICOLS, TETRACYCLINES",2,16,12.5
Enterococcus faecalis,2020,3,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",12,18,66.67
Enterococcus faecalis,2020,3,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",4,18,22.22
Enterococcus faecalis,2020,3,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",2,18,11.11
Enterococcus faecalis,2020,6,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,5,40.0
Enterococcus faecalis,2020,6,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,6,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,6,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,8,ขอนแก่น,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2020,8,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2020,9,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,3,66.67
Enterococcus faecalis,2020,9,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,3,33.33
Enterococcus faecalis,2020,12,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0
Enterococcus faecalis,2021,1,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,1,สมุทรสาคร,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,2,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,3,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,4,นครสวรรค์,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,4,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,3,100.0
Enterococcus faecalis,2021,5,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,6,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,7,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,7,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2023,1,ชัยภูมิ,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2023,1,อุทัยธานี,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2023,11,สงขลา,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2024,4,ชัยภูมิ,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2024,7,กรุงเทพมหานคร,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2024,8,ขอนแก่น,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
