organism_full,year,month,province,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Enterococcus faecium,2015,5,อุดรธานี,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2019,8,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,1,ขอนแก่น,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,1,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",14,26,53.85
Enterococcus faecium,2020,1,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",10,26,38.46
Enterococcus faecium,2020,1,สมุทรปราการ,"MACROLIDES, PENICILLINS, TETRACYCLINES",2,26,7.69
Enterococcus faecium,2020,2,สงขลา,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,2,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",20,28,71.43
Enterococcus faecium,2020,2,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",6,28,21.43
Enterococcus faecium,2020,2,สมุทรปราการ,"MACROLIDES, PENICILLINS, TETRACYCLINES",2,28,7.14
Enterococcus faecium,2020,3,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",4,8,50.0
Enterococcus faecium,2020,3,สมุทรปราการ,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,8,50.0
Enterococcus faecium,2020,4,ราชบุรี,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,6,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,12,เพชรบูรณ์,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,1,ขอนแก่น,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,2,นครสวรรค์,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,3,สงขลา,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,6,นครสวรรค์,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,6,สมุทรสาคร,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,7,นครสวรรค์,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,7,ราชบุรี,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,11,ขอนแก่น,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2022,6,อุดรธานี,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2022,7,ขอนแก่น,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2023,10,ขอนแก่น,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,1,ขอนแก่น,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,5,ขอนแก่น,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,8,ขอนแก่น,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,9,ขอนแก่น,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,10,ขอนแก่น,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
