organism_full,year,month,province,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Staphylococcus aureus,2017,1,ศรีสะเกษ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,5,40.0
Staphylococcus aureus,2017,1,ศรีสะเกษ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,5,40.0
Staphylococcus aureus,2017,2,ศรีสะเกษ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,2,100.0
Staphylococcus aureus,2017,3,ศรีสะเกษ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,5,40.0
Staphylococcus aureus,2017,3,ศรีสะเกษ,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2017,4,ศรีสะเกษ,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,4,50.0
Staphylococcus aureus,2017,6,ศรีสะเกษ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,4,25.0
Staphylococcus aureus,2017,6,ศรีสะเกษ,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,4,25.0
Staphylococcus aureus,2017,7,ศรีสะเกษ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0
Staphylococcus aureus,2017,8,ศรีสะเกษ,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,8,25.0
Staphylococcus aureus,2017,8,ศรีสะเกษ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,8,12.5
Staphylococcus aureus,2017,8,ศรีสะเกษ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2017,10,ชุมพร,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,5,40.0
Staphylococcus aureus,2017,10,ชุมพร,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0
Staphylococcus aureus,2017,10,ชุมพร,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2017,10,ศรีสะเกษ,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2017,11,ชุมพร,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,2,100.0
Staphylococcus aureus,2017,11,ศรีสะเกษ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,8,37.5
Staphylococcus aureus,2017,11,ศรีสะเกษ,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2017,12,ศรีสะเกษ,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2018,1,ศรีสะเกษ,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0
Staphylococcus aureus,2018,1,ศรีสะเกษ,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2018,2,ศรีสะเกษ,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
