"organism_full","year","month","region","Resistant_Drug_Classes","pattern_count","total_rows_in_region_month","percentage","y_beta","month_numeric","sin_month","cos_month","season","season_id","region_id","year_month","time_id","mdr_id_numeric","future_year","fitted_mean","predicted_percent"
"Acinetobacter baumannii",2015,1,1,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",45,72,62.5,0.625,1,0.5,0.866025403784439,"winter",3,1,201501,1,1,NA,0.675511899905913,67.5511899905913
"Acinetobacter baumannii",2015,1,1,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",13,72,18.06,0.1806,1,0.5,0.866025403784439,"winter",3,1,201501,1,2,NA,0.149241482662105,14.9241482662105
"Acinetobacter baumannii",2015,1,1,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,72,6.94,0.0694,1,0.5,0.866025403784439,"winter",3,1,201501,1,4,NA,0.0717172660937085,7.17172660937085
"Acinetobacter baumannii",2015,1,1,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,72,1.39,0.0139,1,0.5,0.866025403784439,"winter",3,1,201501,1,3,NA,0.0773591278914242,7.73591278914242
"Acinetobacter baumannii",2015,1,1,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,72,1.39,0.0139,1,0.5,0.866025403784439,"winter",3,1,201501,1,5,NA,0.0345838343443087,3.45838343443087
"Acinetobacter baumannii",2015,1,11,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",16,22,72.73,0.7273,1,0.5,0.866025403784439,"winter",3,11,201501,1,1,NA,0.661028155417636,66.1028155417636
"Acinetobacter baumannii",2015,1,11,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",6,22,27.27,0.2727,1,0.5,0.866025403784439,"winter",3,11,201501,1,3,NA,0.0728224700408799,7.28224700408799
"Acinetobacter baumannii",2015,1,12,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",15,19,78.95,0.7895,1,0.5,0.866025403784439,"winter",3,12,201501,1,1,NA,0.652728171266085,65.2728171266085
"Acinetobacter baumannii",2015,1,12,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,19,10.53,0.1053,1,0.5,0.866025403784439,"winter",3,12,201501,1,3,NA,0.0703755669261377,7.03755669261377
"Acinetobacter baumannii",2015,1,12,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,19,5.26,0.0526,1,0.5,0.866025403784439,"winter",3,12,201501,1,2,NA,0.136731728897082,13.6731728897082
"Acinetobacter baumannii",2015,1,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",6,15,40,0.4,1,0.5,0.866025403784439,"winter",3,13,201501,1,1,NA,0.685420480984502,68.5420480984502
"Acinetobacter baumannii",2015,1,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,15,20,0.2,1,0.5,0.866025403784439,"winter",3,13,201501,1,2,NA,0.155117080262729,15.5117080262729
"Acinetobacter baumannii",2015,1,13,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,15,20,0.2,1,0.5,0.866025403784439,"winter",3,13,201501,1,4,NA,0.0748096042236986,7.48096042236986
"Acinetobacter baumannii",2015,1,13,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,15,6.67,0.0667,1,0.5,0.866025403784439,"winter",3,13,201501,1,3,NA,0.0806734147193553,8.06734147193553
"Acinetobacter baumannii",2015,1,2,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",10,22,45.45,0.4545,1,0.5,0.866025403784439,"winter",3,2,201501,1,1,NA,0.680075631388014,68.0075631388014
"Acinetobacter baumannii",2015,1,2,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",8,22,36.36,0.3636,1,0.5,0.866025403784439,"winter",3,2,201501,1,2,NA,0.151908567406919,15.1908567406919
"Acinetobacter baumannii",2015,1,2,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,22,4.55,0.0455,1,0.5,0.866025403784439,"winter",3,2,201501,1,3,NA,0.0788605030425848,7.88605030425848
"Acinetobacter baumannii",2015,1,2,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,22,4.55,0.0455,1,0.5,0.866025403784439,"winter",3,2,201501,1,4,NA,0.0731179779666236,7.31179779666236
"Acinetobacter baumannii",2015,1,3,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,7,28.57,0.2857,1,0.5,0.866025403784439,"winter",3,3,201501,1,1,NA,0.670196645541231,67.0196645541231
"Acinetobacter baumannii",2015,1,4,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",45,53,84.91,0.8491,1,0.5,0.866025403784439,"winter",3,4,201501,1,1,NA,0.67413868654336,67.413868654336
"Acinetobacter baumannii",2015,1,4,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,53,5.66,0.0566,1,0.5,0.866025403784439,"winter",3,4,201501,1,4,NA,0.071295639630881,7.1295639630881
"Acinetobacter baumannii",2015,1,4,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,53,3.77,0.0377,1,0.5,0.866025403784439,"winter",3,4,201501,1,2,NA,0.148437771216642,14.8437771216642
"Acinetobacter baumannii",2015,1,4,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,53,3.77,0.0377,1,0.5,0.866025403784439,"winter",3,4,201501,1,3,NA,0.0769071270244969,7.69071270244969
"Acinetobacter baumannii",2015,1,5,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",77,119,64.71,0.6471,1,0.5,0.866025403784439,"winter",3,5,201501,1,1,NA,0.674754116632732,67.4754116632732
"Acinetobacter baumannii",2015,1,5,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",27,119,22.69,0.2269,1,0.5,0.866025403784439,"winter",3,5,201501,1,2,NA,0.148794442104468,14.8794442104468
"Acinetobacter baumannii",2015,1,5,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",7,119,5.88,0.0588,1,0.5,0.866025403784439,"winter",3,5,201501,1,3,NA,0.0771074718537636,7.71074718537636
"Acinetobacter baumannii",2015,1,5,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,119,2.52,0.0252,1,0.5,0.866025403784439,"winter",3,5,201501,1,4,NA,0.071481304327205,7.1481304327205
"Acinetobacter baumannii",2015,1,6,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",53,74,71.62,0.7162,1,0.5,0.866025403784439,"winter",3,6,201501,1,1,NA,0.674546956164819,67.4546956164819
"Acinetobacter baumannii",2015,1,6,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",10,74,13.51,0.1351,1,0.5,0.866025403784439,"winter",3,6,201501,1,2,NA,0.148680458192093,14.8680458192093
"Acinetobacter baumannii",2015,1,6,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",5,74,6.76,0.0676,1,0.5,0.866025403784439,"winter",3,6,201501,1,3,NA,0.0770434090414192,7.70434090414192
"Acinetobacter baumannii",2015,1,6,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,74,1.35,0.0135,1,0.5,0.866025403784439,"winter",3,6,201501,1,4,NA,0.0714230612557303,7.14230612557303
"Acinetobacter baumannii",2015,1,7,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",95,136,69.85,0.6985,1,0.5,0.866025403784439,"winter",3,7,201501,1,1,NA,0.67232986316428,67.232986316428
"Acinetobacter baumannii",2015,1,7,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",30,136,22.06,0.2206,1,0.5,0.866025403784439,"winter",3,7,201501,1,2,NA,0.147403310780598,14.7403310780598
"Acinetobacter baumannii",2015,1,7,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,136,1.47,0.0147,1,0.5,0.866025403784439,"winter",3,7,201501,1,3,NA,0.0763253944291416,7.63253944291416
"Acinetobacter baumannii",2015,1,7,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,136,1.47,0.0147,1,0.5,0.866025403784439,"winter",3,7,201501,1,4,NA,0.0707533971850062,7.07533971850062
"Acinetobacter baumannii",2015,1,8,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",13,16,81.25,0.8125,1,0.5,0.866025403784439,"winter",3,8,201501,1,1,NA,0.671291452855604,67.1291452855604
"Acinetobacter baumannii",2015,1,8,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,16,12.5,0.125,1,0.5,0.866025403784439,"winter",3,8,201501,1,2,NA,0.146820956761703,14.6820956761703
"Acinetobacter baumannii",2015,1,8,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,16,6.25,0.0625,1,0.5,0.866025403784439,"winter",3,8,201501,1,4,NA,0.0704493376867349,7.04493376867349
"Acinetobacter baumannii",2015,1,9,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",56,104,53.85,0.5385,1,0.5,0.866025403784439,"winter",3,9,201501,1,1,NA,0.6603535993496,66.03535993496
"Acinetobacter baumannii",2015,1,9,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",37,104,35.58,0.3558,1,0.5,0.866025403784439,"winter",3,9,201501,1,2,NA,0.140763085462746,14.0763085462746
"Acinetobacter baumannii",2015,1,9,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",6,104,5.77,0.0577,1,0.5,0.866025403784439,"winter",3,9,201501,1,3,NA,0.0726148180026659,7.26148180026659
"Acinetobacter baumannii",2015,1,9,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,104,0.96,0.0096,1,0.5,0.866025403784439,"winter",3,9,201501,1,4,NA,0.0672940096110136,6.72940096110136
"Acinetobacter baumannii",2015,1,9,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,104,0.96,0.0096,1,0.5,0.866025403784439,"winter",3,9,201501,1,5,NA,0.0323704069579308,3.23704069579308
"Acinetobacter baumannii",2015,2,1,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",26,53,49.06,0.4906,2,0.866025403784439,0.5,"winter",3,1,201502,2,1,NA,0.675742271988348,67.5742271988348
"Acinetobacter baumannii",2015,2,1,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",24,53,45.28,0.4528,2,0.866025403784439,0.5,"winter",3,1,201502,2,2,NA,0.149374055473181,14.9374055473181
"Acinetobacter baumannii",2015,2,1,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,53,1.89,0.0189,2,0.866025403784439,0.5,"winter",3,1,201502,2,3,NA,0.0774335206965651,7.74335206965651
"Acinetobacter baumannii",2015,2,11,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",9,15,60,0.6,2,0.866025403784439,0.5,"winter",3,11,201502,2,1,NA,0.661263716470123,66.1263716470123
"Acinetobacter baumannii",2015,2,11,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,15,26.67,0.2667,2,0.866025403784439,0.5,"winter",3,11,201502,2,2,NA,0.141260641901911,14.1260641901911
"Acinetobacter baumannii",2015,2,11,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,15,13.33,0.1333,2,0.866025403784439,0.5,"winter",3,11,201502,2,3,NA,0.0728927503705629,7.28927503705629
"Acinetobacter baumannii",2015,2,12,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",10,12,83.33,0.8333,2,0.866025403784439,0.5,"winter",3,12,201502,2,1,NA,0.652966477734632,65.2966477734632
"Acinetobacter baumannii",2015,2,12,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,12,8.33,0.0833,2,0.866025403784439,0.5,"winter",3,12,201502,2,2,NA,0.136854784566899,13.6854784566899
"Acinetobacter baumannii",2015,2,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",8,19,42.11,0.4211,2,0.866025403784439,0.5,"winter",3,13,201502,2,1,NA,0.685647480444676,68.5647480444676
"Acinetobacter baumannii",2015,2,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",7,19,36.84,0.3684,2,0.866025403784439,0.5,"winter",3,13,201502,2,2,NA,0.155253637290047,15.5253637290047
