organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage
Enterococcus faecalis,2020,1,6.0,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",12,26,46.15
Enterococcus faecalis,2020,1,6.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",10,26,38.46
Enterococcus faecalis,2020,1,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",4,26,15.38
Enterococcus faecalis,2020,2,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",6,16,37.5
Enterococcus faecalis,2020,2,6.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",6,16,37.5
Enterococcus faecalis,2020,2,6.0,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",2,16,12.5
Enterococcus faecalis,2020,2,6.0,"MACROLIDES, PHENICOLS, TETRACYCLINES",2,16,12.5
Enterococcus faecalis,2020,3,6.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",12,18,66.67
Enterococcus faecalis,2020,3,6.0,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",4,18,22.22
Enterococcus faecalis,2020,3,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",2,18,11.11
