organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage
Enterococcus faecalis,2015,5,8.0,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2020,1,6.0,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",12,26,46.15
Enterococcus faecalis,2020,1,6.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",10,26,38.46
Enterococcus faecalis,2020,1,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",4,26,15.38
Enterococcus faecalis,2020,2,5.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2020,2,5.0,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2020,2,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",6,16,37.5
Enterococcus faecalis,2020,2,6.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",6,16,37.5
Enterococcus faecalis,2020,2,6.0,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",2,16,12.5
Enterococcus faecalis,2020,2,6.0,"MACROLIDES, PHENICOLS, TETRACYCLINES",2,16,12.5
Enterococcus faecalis,2020,3,6.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",12,18,66.67
Enterococcus faecalis,2020,3,6.0,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",4,18,22.22
Enterococcus faecalis,2020,3,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",2,18,11.11
Enterococcus faecalis,2020,6,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,5,40.0
Enterococcus faecalis,2020,6,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,6,5.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,6,5.0,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,8,5.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2020,8,7.0,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2020,9,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,3,66.67
Enterococcus faecalis,2020,9,5.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,3,33.33
Enterococcus faecalis,2020,12,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0
Enterococcus faecalis,2021,1,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,1,5.0,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,2,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,3,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,4,3.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,4,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,3,100.0
Enterococcus faecalis,2021,5,5.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,6,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,7,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,7,5.0,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2023,1,13.0,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",2,2,100.0
Enterococcus faecalis,2023,11,12.0,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2024,4,9.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2024,7,13.0,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2024,8,7.0,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
