organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage
Enterococcus faecium,2015,5,8.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2019,8,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,1,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",14,26,53.85
Enterococcus faecium,2020,1,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",10,26,38.46
Enterococcus faecium,2020,1,6.0,"MACROLIDES, PENICILLINS, TETRACYCLINES",2,26,7.69
Enterococcus faecium,2020,1,7.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,2,12.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,2,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",20,28,71.43
Enterococcus faecium,2020,2,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",6,28,21.43
Enterococcus faecium,2020,2,6.0,"MACROLIDES, PENICILLINS, TETRACYCLINES",2,28,7.14
Enterococcus faecium,2020,3,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",4,8,50.0
Enterococcus faecium,2020,3,6.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,8,50.0
Enterococcus faecium,2020,4,5.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,6,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,12,2.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,1,7.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,2,3.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,3,12.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,6,3.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,6,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,7,3.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,7,5.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,11,7.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2022,6,8.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2022,7,7.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2023,10,7.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,1,7.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,5,7.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,8,7.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,9,7.0,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,10,7.0,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
