"organism_full","year","month","region","Resistant_Drug_Classes","pattern_count","total_rows_in_region_month","percentage","y_beta","month_numeric","sin_month","cos_month","season","season_id","region_id","year_month","time_id","mdr_id_numeric","data_type","future_year","R_scaled","R_logit","predicted_logit","predicted_scaled","predicted_percent","predicted_lower_CI","predicted_upper_CI"
"Pseudomonas aeruginosa ",2016,2,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",11,18,61.11,0.6111,2,0.866025403784439,0.5,"winter",3,13,201602,2,1,"historical",NA,0.6111,0.451938370739168,1.54210710798587,0.823770827967813,82.3770827967813,57.1634785505773,94.2442477794389
"Pseudomonas aeruginosa ",2016,3,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",9,15,60,0.6,3,1,6.12323399573677e-17,"summer",1,13,201603,3,1,"historical",NA,0.6,0.405465108108164,1.63169343002374,0.836401489668078,83.6401489668078,61.2480713291018,94.297957180159
"Pseudomonas aeruginosa ",2016,3,4,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",2,2,100,0.9999,3,1,6.12323399573677e-17,"summer",1,4,201603,3,1,"historical",NA,0.999,6.90675477864855,4.39755191841684,0.98784219866859,98.784219866859,95.689500020979,99.6648697138591
"Pseudomonas aeruginosa ",2016,4,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",10,16,62.5,0.625,4,0.866025403784439,-0.5,"summer",1,13,201604,4,1,"historical",NA,0.625,0.510825623765991,1.71813347186739,0.847888259480758,84.7888259480758,64.4129692519446,94.4952239853222
"Pseudomonas aeruginosa ",2016,5,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",2,11,18.18,0.1818,5,0.5,-0.866025403784439,"summer",1,13,201605,5,1,"historical",NA,0.1818,-1.50419962375192,1.8189566047458,0.860440880776116,86.0440880776116,67.53215205004,94.8120589623553
"Pseudomonas aeruginosa ",2016,6,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",3,5,60,0.6,6,1.22464679914735e-16,-1,"rainy",2,13,201606,6,1,"historical",NA,0.6,0.405465108108164,1.94699017464131,0.875118079963472,87.5118079963472,70.8852863128749,95.2761759422142
"Pseudomonas aeruginosa ",2016,7,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",8,11,72.73,0.7273,7,-0.5,-0.866025403784439,"rainy",2,13,201607,7,1,"historical",NA,0.7273,0.980966757308952,2.05760094424868,0.886713401679887,88.6713401679887,73.55240238432,95.657687840623
"Pseudomonas aeruginosa ",2016,7,4,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",1,1,100,0.9999,7,-0.5,-0.866025403784439,"rainy",2,4,201607,7,1,"historical",NA,0.999,6.90675477864855,4.82345943264179,0.992025180162163,99.2025180162163,97.4697593974373,99.7516726068709
"Pseudomonas aeruginosa ",2016,8,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",9,21,42.86,0.4286,8,-0.866025403784438,-0.5,"rainy",2,13,201608,8,1,"historical",NA,0.4286,-0.287565406757196,2.10492793732897,0.891381226365738,89.1381226365738,74.5151896491453,95.8390845978839
"Pseudomonas aeruginosa ",2016,9,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",6,13,46.15,0.4615,9,-1,-1.83697019872103e-16,"rainy",2,13,201609,9,1,"historical",NA,0.4615,-0.154305442653536,2.15479799840685,0.89611628128192,89.611628128192,75.4425000349186,96.0351358273896
"Pseudomonas aeruginosa ",2016,10,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",8,12,66.67,0.6667,10,-0.866025403784439,0.5,"winter",3,13,201610,10,1,"historical",NA,0.6667,0.69329718431032,2.22494969546678,0.902467735257818,90.2467735257818,76.6881463221869,96.2999241554211
"Pseudomonas aeruginosa ",2016,11,13,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",8,12,66.67,0.6667,11,-0.5,0.866025403784438,"winter",3,13,201611,11,1,"historical",NA,0.6667,0.69329718431032,2.32643265256554,0.911042648468756,91.1042648468756,78.4196595282309,96.6514163248773
"Pseudomonas aeruginosa ",2016,12,4,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",1,1,100,0.9999,12,-2.44929359829471e-16,1,"winter",3,4,201612,12,1,"historical",NA,0.999,6.90675477864855,5.24927470402847,0.994776106582484,99.4776106582485,98.3870748306007,99.8320686327233
"Pseudomonas aeruginosa ",2017,1,2,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",1,1,100,0.9999,1,0.5,0.866025403784439,"winter",3,2,201701,13,1,"historical",NA,0.999,6.90675477864855,3.16973566166615,0.959679357277726,95.9679357277726,88.6483074590298,98.6402268023674
"Pseudomonas aeruginosa ",2017,2,4,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",1,1,100,0.9999,2,0.866025403784439,0.5,"winter",3,4,201702,14,1,"historical",NA,0.999,6.90675477864855,5.57841225503929,0.996235663623023,99.6235663623023,98.8484220879465,99.8775955594795
"Pseudomonas aeruginosa ",2017,5,4,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",2,2,100,0.9999,5,0.5,-0.866025403784439,"summer",1,4,201705,16,1,"historical",NA,0.999,6.90675477864855,6.02430519605713,0.997586606682641,99.7586606682641,99.2659523077712,99.92091621706
"Pseudomonas aeruginosa ",2017,5,9,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",1,1,100,0.9999,5,0.5,-0.866025403784439,"summer",1,9,201705,16,1,"historical",NA,0.999,6.90675477864855,4.0040563144203,0.982085295622097,98.2085295622097,94.8546204566708,99.3903142930301
"Pseudomonas aeruginosa ",2017,6,9,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",1,1,100,0.9999,6,1.22464679914735e-16,-1,"rainy",2,9,201706,17,1,"historical",NA,0.999,6.90675477864855,4.09704299469974,0.983650012051079,98.3650012051079,95.2907581687666,99.4440544192123
"Pseudomonas aeruginosa ",2018,3,12,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",1,2,50,0.5,3,1,6.12323399573677e-17,"summer",1,12,201803,19,1,"historical",NA,0.5,0,2.82078518751389,0.943788736365411,94.3788736365411,85.8358120893339,97.8955580812117
"Pseudomonas aeruginosa ",2018,3,6,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",1,1,100,0.9999,3,1,6.12323399573677e-17,"summer",1,6,201803,19,1,"historical",NA,0.999,6.90675477864855,4.05379510547341,0.98293972443175,98.293972443175,95.2079623238048,99.4050509049182
"Pseudomonas aeruginosa ",2018,4,12,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",1,1,100,0.9999,4,0.866025403784439,-0.5,"summer",1,12,201804,20,1,"historical",NA,0.999,6.90675477864855,2.90039418584379,0.947865919495062,94.7865919495062,86.8544335137671,98.0404002247129
