organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage
Pseudomonas aeruginosa ,2019,1,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",7,11,63.64
Pseudomonas aeruginosa ,2019,1,8.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,11,27.27
Pseudomonas aeruginosa ,2019,1,8.0,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,11,9.09
Pseudomonas aeruginosa ,2019,2,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,8,50.0
Pseudomonas aeruginosa ,2019,2,8.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,8,37.5
Pseudomonas aeruginosa ,2019,2,8.0,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,8,12.5
Pseudomonas aeruginosa ,2019,3,8.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",8,13,61.54
Pseudomonas aeruginosa ,2019,3,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,13,23.08
Pseudomonas aeruginosa ,2019,3,8.0,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,13,7.69
Pseudomonas aeruginosa ,2019,4,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",7,11,63.64
Pseudomonas aeruginosa ,2019,4,8.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,11,36.36
Pseudomonas aeruginosa ,2019,5,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",13,18,72.22
Pseudomonas aeruginosa ,2019,5,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",3,18,16.67
Pseudomonas aeruginosa ,2019,5,8.0,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",2,18,11.11
Pseudomonas aeruginosa ,2019,6,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",15,20,75.0
Pseudomonas aeruginosa ,2019,6,8.0,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",2,20,10.0
Pseudomonas aeruginosa ,2019,6,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,20,5.0
Pseudomonas aeruginosa ,2019,6,8.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,20,5.0
Pseudomonas aeruginosa ,2019,7,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",20,24,83.33
Pseudomonas aeruginosa ,2019,7,8.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,24,4.17
Pseudomonas aeruginosa ,2019,7,8.0,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,24,4.17
Pseudomonas aeruginosa ,2019,8,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",12,25,48.0
